#{"t_start": 1747230436.640331, "env_id": "None"}
r,l,t
21.0,21,0.031942
11.0,11,0.055729
12.0,12,0.067172
14.0,14,0.074917
63.0,63,0.123114
54.0,54,0.173755
18.0,18,0.194671
25.0,25,0.213626
19.0,19,0.232219
36.0,36,0.265965
29.0,29,0.29421
16.0,16,0.308568
19.0,19,0.324255
10.0,10,0.338446
23.0,23,0.366537
15.0,15,0.384358
15.0,15,0.401987
26.0,26,0.430566
35.0,35,0.461511
18.0,18,0.489161
18.0,18,0.510207
23.0,23,0.54134
18.0,18,0.56637
17.0,17,0.587544
16.0,16,0.599527
42.0,42,0.623185
13.0,13,0.630913
14.0,14,0.641466
20.0,20,0.659313
41.0,41,0.680566
11.0,11,0.688717
17.0,17,0.697418
22.0,22,0.711307
10.0,10,0.722167
38.0,38,0.745029
19.0,19,0.810819
14.0,14,0.831597
50.0,50,0.861517
27.0,27,0.885803
23.0,23,0.899698
15.0,15,0.911093
11.0,11,0.917515
21.0,21,0.931551
43.0,43,0.956912
12.0,12,0.962623
12.0,12,0.97178
29.0,29,0.989276
26.0,26,1.009322
31.0,31,1.026302
13.0,13,1.037785
18.0,18,1.047444
39.0,39,1.071495
11.0,11,1.078815
18.0,18,1.090004
31.0,31,1.113427
52.0,52,1.156976
10.0,10,1.162749
14.0,14,1.17347
10.0,10,1.179013
20.0,20,1.192984
8.0,8,1.20223
16.0,16,1.211014
35.0,35,1.232678
15.0,15,1.241607
20.0,20,1.254876
23.0,23,1.269239
12.0,12,1.275237
29.0,29,1.29465
21.0,21,1.307005
20.0,20,1.319651
22.0,22,1.332414
32.0,32,1.353662
19.0,19,1.363706
11.0,11,1.373294
15.0,15,1.387962
19.0,19,1.398525
14.0,14,1.407249
23.0,23,1.422793
13.0,13,1.430027
15.0,15,1.443035
25.0,25,1.466302
18.0,18,1.479042
25.0,25,1.496747
23.0,23,1.513645
13.0,13,1.528562
18.0,18,1.545352
35.0,35,1.606881
63.0,63,1.69552
12.0,12,1.703058
10.0,10,1.708776
13.0,13,1.723775
25.0,25,1.742628
24.0,24,3.197869
25.0,25,3.222559
24.0,24,3.241209
24.0,24,3.272403
19.0,19,3.297024
37.0,37,3.343519
38.0,38,3.373954
23.0,23,3.39074
17.0,17,3.408847
16.0,16,3.426237
15.0,15,3.437706
18.0,18,3.44806
45.0,45,3.492609
16.0,16,3.507269
16.0,16,3.522022
15.0,15,3.532295
21.0,21,3.558357
15.0,15,3.573201
16.0,16,3.588608
30.0,30,3.619599
11.0,11,3.639891
28.0,28,3.683867
28.0,28,3.729914
9.0,9,3.746908
25.0,25,3.798468
49.0,49,3.890136
94.0,94,4.03044
18.0,18,4.060306
54.0,54,4.116813
18.0,18,4.143699
13.0,13,4.160507
14.0,14,4.179558
26.0,26,4.212823
16.0,16,4.224507
25.0,25,4.259034
18.0,18,4.276119
38.0,38,4.311552
19.0,19,4.342409
24.0,24,4.372514
10.0,10,4.388348
57.0,57,4.46337
11.0,11,4.477237
27.0,27,4.515906
34.0,34,4.573504
27.0,27,4.60745
13.0,13,4.623812
43.0,43,4.678504
16.0,16,4.709795
27.0,27,4.746983
16.0,16,4.763182
31.0,31,4.794602
40.0,40,4.852504
26.0,26,4.894372
22.0,22,4.931072
19.0,19,4.956593
14.0,14,4.976924
35.0,35,5.026705
33.0,33,5.074961
13.0,13,5.094072
13.0,13,5.11171
107.0,107,5.195059
56.0,56,5.250483
19.0,19,5.267719
22.0,22,5.294741
19.0,19,5.312356
30.0,30,5.343944
73.0,73,5.393834
27.0,27,5.422127
14.0,14,5.432967
14.0,14,5.444312
47.0,47,5.483644
19.0,19,5.498839
14.0,14,5.511252
21.0,21,5.526328
32.0,32,5.545877
18.0,18,5.560468
13.0,13,5.567025
50.0,50,6.896551
22.0,22,7.000201
49.0,49,7.063787
57.0,57,7.120396
29.0,29,7.149746
39.0,39,7.210743
28.0,28,7.242733
30.0,30,7.261384
27.0,27,7.278371
16.0,16,7.289671
37.0,37,7.311858
15.0,15,7.323967
14.0,14,7.336419
53.0,53,7.377743
73.0,73,7.433765
26.0,26,7.460559
18.0,18,7.470842
16.0,16,7.481666
31.0,31,7.503264
70.0,70,7.555138
70.0,70,7.601441
30.0,30,7.620885
43.0,43,7.650349
20.0,20,7.66509
24.0,24,7.68145
56.0,56,7.727073
30.0,30,7.76176
36.0,36,7.798636
48.0,48,7.848473
22.0,22,7.873657
24.0,24,7.889442
34.0,34,7.913839
37.0,37,7.962125
74.0,74,8.039899
92.0,92,8.111726
12.0,12,8.130533
72.0,72,8.182386
30.0,30,8.235123
19.0,19,8.273823
91.0,91,8.372885
26.0,26,8.405091
28.0,28,8.433157
43.0,43,8.478428
54.0,54,8.55341
44.0,44,8.595066
38.0,38,8.642392
49.0,49,8.692155
33.0,33,8.739362
32.0,32,8.766671
19.0,19,8.78216
16.0,16,8.791902
54.0,54,8.826519
14.0,14,8.834051
19.0,19,8.846337
16.0,16,8.854674
21.0,21,10.287718
13.0,13,10.297164
70.0,70,10.344413
51.0,51,10.377982
65.0,65,10.417804
20.0,20,10.43886
161.0,161,10.545152
109.0,109,10.637285
120.0,120,10.719787
41.0,41,10.773911
46.0,46,10.886457
19.0,19,10.916261
28.0,28,10.946387
54.0,54,10.981639
101.0,101,11.05222
22.0,22,11.080482
21.0,21,11.101613
61.0,61,11.146821
39.0,39,11.178468
48.0,48,11.216854
61.0,61,11.270525
89.0,89,11.37107
102.0,102,11.460953
79.0,79,11.525525
34.0,34,11.563464
40.0,40,11.591705
78.0,78,11.65205
41.0,41,11.854846
12.0,12,12.051159
55.0,55,12.093957
35.0,35,12.114106
29.0,29,12.132397
20.0,20,12.148603
47.0,47,12.176761
19.0,19,12.186319
53.0,53,12.220641
59.0,59,12.256079
131.0,131,13.733157
54.0,54,13.794726
62.0,62,13.87225
113.0,113,14.030566
57.0,57,14.104765
52.0,52,14.167311
20.0,20,14.201246
48.0,48,14.24545
20.0,20,14.267412
52.0,52,14.306507
67.0,67,14.346736
81.0,81,14.406546
58.0,58,14.455317
110.0,110,14.532179
40.0,40,14.567575
27.0,27,14.59951
