#{"t_start": 1747228372.1727567, "env_id": "None"}
r,l,t
21.0,21,0.033231
11.0,11,0.047447
12.0,12,0.054352
14.0,14,0.06196
63.0,63,0.100943
54.0,54,0.143141
18.0,18,0.165653
25.0,25,0.17872
19.0,19,0.191009
36.0,36,0.21643
29.0,29,0.233893
16.0,16,0.240789
19.0,19,0.255065
10.0,10,0.259594
23.0,23,0.27345
15.0,15,0.284864
15.0,15,0.291245
26.0,26,0.308915
35.0,35,0.330569
18.0,18,0.330569
18.0,18,0.351707
23.0,23,0.362534
18.0,18,0.372723
17.0,17,0.385077
16.0,16,0.389476
42.0,42,0.418813
13.0,13,0.419828
14.0,14,0.435646
20.0,20,0.450517
41.0,41,0.47552
11.0,11,0.485917
17.0,17,0.501321
22.0,22,0.515505
10.0,10,0.520973
38.0,38,0.546768
19.0,19,0.553653
14.0,14,0.574391
50.0,50,0.603365
27.0,27,0.634759
23.0,23,0.654699
15.0,15,0.672767
11.0,11,0.681261
21.0,21,0.694621
43.0,43,0.720812
12.0,12,0.7312
12.0,12,0.7312
29.0,29,0.753798
26.0,26,0.770266
31.0,31,0.792178
13.0,13,0.802932
18.0,18,0.812586
39.0,39,0.836968
11.0,11,0.842336
18.0,18,0.855696
31.0,31,0.871491
52.0,52,0.909233
10.0,10,0.917248
14.0,14,0.91926
10.0,10,0.930955
20.0,20,0.936147
8.0,8,0.947685
16.0,16,0.953603
35.0,35,0.969758
15.0,15,0.990847
20.0,20,1.004892
23.0,23,1.019813
12.0,12,1.020915
29.0,29,1.037392
21.0,21,1.052892
20.0,20,1.070406
22.0,22,1.092883
32.0,32,1.118145
19.0,19,1.129602
11.0,11,1.138809
15.0,15,1.14794
19.0,19,1.158222
14.0,14,1.169062
23.0,23,1.182732
13.0,13,1.18866
15.0,15,1.201355
25.0,25,1.216438
18.0,18,1.225575
25.0,25,1.24033
23.0,23,1.256934
13.0,13,1.267481
18.0,18,1.277552
35.0,35,1.300903
63.0,63,1.337922
12.0,12,1.344999
10.0,10,1.352993
13.0,13,1.354012
25.0,25,1.371347
24.0,24,2.438681
25.0,25,2.458536
24.0,24,2.472118
24.0,24,2.491561
19.0,19,2.504816
37.0,37,2.532387
38.0,38,2.565514
23.0,23,2.587832
17.0,17,2.606634
16.0,16,2.622796
15.0,15,2.639564
18.0,18,2.656486
45.0,45,2.702377
16.0,16,2.703377
16.0,16,2.721343
15.0,15,2.737626
21.0,21,2.752447
15.0,15,2.755834
16.0,16,2.77215
30.0,30,2.792037
11.0,11,2.804446
28.0,28,2.823722
28.0,28,2.848762
9.0,9,2.854758
25.0,25,2.871789
49.0,49,2.910836
94.0,94,2.976456
18.0,18,2.992421
54.0,54,3.028262
18.0,18,3.042575
13.0,13,3.054787
14.0,14,3.066632
26.0,26,3.086131
16.0,16,3.094641
25.0,25,3.104167
18.0,18,3.121583
38.0,38,3.154443
19.0,19,3.169258
24.0,24,3.188292
10.0,10,3.192746
57.0,57,3.236898
11.0,11,3.244936
27.0,27,3.265918
34.0,34,3.288647
27.0,27,3.303251
13.0,13,3.320051
43.0,43,3.339054
16.0,16,3.359959
27.0,27,3.376296
16.0,16,3.388012
31.0,31,3.412078
40.0,40,3.439055
26.0,26,3.455409
22.0,22,3.467144
19.0,19,3.467144
14.0,14,3.488943
35.0,35,3.505777
33.0,33,3.535451
13.0,13,3.538768
13.0,13,3.551493
107.0,107,3.608809
56.0,56,3.634982
19.0,19,3.650825
22.0,22,3.666588
19.0,19,3.676969
30.0,30,3.692125
73.0,73,3.733301
27.0,27,3.748569
14.0,14,3.754435
14.0,14,3.754435
47.0,47,3.787938
19.0,19,3.803361
14.0,14,3.806671
21.0,21,3.823054
32.0,32,3.840346
18.0,18,3.856189
13.0,13,3.866841
50.0,50,4.730125
22.0,22,4.752112
49.0,49,4.773048
57.0,57,4.806799
29.0,29,4.81722
39.0,39,4.855876
28.0,28,4.86737
30.0,30,4.890841
27.0,27,4.90065
16.0,16,4.91945
37.0,37,4.934012
15.0,15,4.934012
14.0,14,4.955937
53.0,53,4.987329
73.0,73,5.017963
26.0,26,5.038696
18.0,18,5.05718
16.0,16,5.070269
31.0,31,5.090483
70.0,70,5.134226
70.0,70,5.173446
30.0,30,5.196205
43.0,43,5.225035
20.0,20,5.238716
24.0,24,5.255436
56.0,56,5.291129
30.0,30,5.318173
36.0,36,5.351084
48.0,48,5.393951
22.0,22,5.424056
24.0,24,5.438167
34.0,34,5.45688
37.0,37,5.491321
74.0,74,5.535521
92.0,92,5.607199
12.0,12,5.621167
72.0,72,5.669317
30.0,30,5.694786
19.0,19,5.710646
91.0,91,5.771457
26.0,26,5.793727
28.0,28,5.821149
43.0,43,5.850373
54.0,54,5.885246
44.0,44,5.924838
38.0,38,5.952134
49.0,49,5.989281
33.0,33,6.014759
32.0,32,6.041806
19.0,19,6.052817
16.0,16,6.058439
54.0,54,6.09147
14.0,14,6.105981
19.0,19,6.108202
16.0,16,6.11943
21.0,21,6.974165
13.0,13,6.982467
70.0,70,7.058262
51.0,51,7.102805
65.0,65,7.267815
20.0,20,7.30156
161.0,161,7.447535
109.0,109,7.538442
120.0,120,7.621944
41.0,41,7.660122
46.0,46,7.694753
19.0,19,7.704786
28.0,28,7.724603
54.0,54,7.759304
101.0,101,7.819996
22.0,22,7.847082
21.0,21,7.875561
61.0,61,7.911766
39.0,39,7.941236
48.0,48,7.982442
61.0,61,8.025381
89.0,89,8.070545
102.0,102,8.152311
79.0,79,8.211895
34.0,34,8.244635
40.0,40,8.259347
78.0,78,8.32959
41.0,41,8.363043
12.0,12,8.376292
55.0,55,8.412914
35.0,35,8.442398
29.0,29,8.461475
20.0,20,8.475251
47.0,47,8.506456
19.0,19,8.514114
53.0,53,8.54324
59.0,59,8.58752
131.0,131,9.527202
54.0,54,9.57018
62.0,62,9.604917
113.0,113,9.693156
57.0,57,9.733431
52.0,52,9.777468
20.0,20,9.794534
48.0,48,9.840389
20.0,20,9.863763
52.0,52,9.905389
67.0,67,9.938347
81.0,81,10.007802
58.0,58,10.051402
110.0,110,10.126782
40.0,40,10.154988
27.0,27,10.180981
22.0,22,10.195253
152.0,152,10.283458
138.0,138,10.366976
20.0,20,10.385037
62.0,62,10.42793
83.0,83,10.50047
131.0,131,10.5841
16.0,16,10.602186
40.0,40,10.629137
17.0,17,10.651104
74.0,74,10.704334
91.0,91,10.755791
58.0,58,10.807017
36.0,36,10.827837
12.0,12,10.832829
178.0,178,10.932127
14.0,14,10.950112
68.0,68,11.788991
117.0,117,11.865237
