#{"t_start": 1747230525.521893, "env_id": "None"}
r,l,t
21.0,21,0.07246
11.0,11,0.118571
12.0,12,0.148741
14.0,14,0.17537
63.0,63,0.243269
76.0,76,0.35385
20.0,20,0.398785
14.0,14,0.417443
15.0,15,0.437303
14.0,14,0.45998
37.0,37,0.52602
18.0,18,0.555597
15.0,15,0.584093
13.0,13,0.607765
20.0,20,0.642587
11.0,11,0.664807
22.0,22,0.702539
29.0,29,0.753205
17.0,17,0.788235
21.0,21,0.825917
18.0,18,0.85045
18.0,18,0.873997
26.0,26,0.909344
22.0,22,0.93945
14.0,14,0.960041
17.0,17,0.977076
20.0,20,1.005869
15.0,15,1.02748
12.0,12,1.043271
22.0,22,1.065521
21.0,21,1.097498
30.0,30,1.13497
19.0,19,1.154952
47.0,47,1.210451
26.0,26,1.244637
10.0,10,1.252098
26.0,26,1.286331
41.0,41,1.336575
14.0,14,1.36788
21.0,21,1.401388
30.0,30,1.43496
15.0,15,1.449869
12.0,12,1.459637
31.0,31,1.492853
14.0,14,1.505341
21.0,21,1.524204
13.0,13,1.536442
17.0,17,1.564971
51.0,51,1.643121
11.0,11,1.658864
26.0,26,1.681064
32.0,32,1.729572
26.0,26,1.764906
10.0,10,1.775483
14.0,14,1.79365
20.0,20,1.812306
14.0,14,1.824898
16.0,16,1.847985
10.0,10,1.863204
16.0,16,1.886217
22.0,22,1.917639
21.0,21,1.949049
14.0,14,1.966995
29.0,29,1.989238
17.0,17,2.005978
12.0,12,2.019384
24.0,24,2.050333
15.0,15,2.066337
12.0,12,2.072934
21.0,21,2.089136
12.0,12,2.106292
13.0,13,2.127548
21.0,21,2.161577
20.0,20,2.193087
21.0,21,2.220005
18.0,18,2.241614
42.0,42,2.291611
37.0,37,2.3361
14.0,14,2.354928
17.0,17,2.384868
16.0,16,2.411771
14.0,14,2.452379
11.0,11,2.485846
39.0,39,2.554567
48.0,48,2.634054
40.0,40,2.699393
28.0,28,2.736105
13.0,13,2.756129
25.0,25,2.786268
17.0,17,2.803582
57.0,57,2.87154
9.0,9,2.877913
23.0,23,2.901563
