#{"t_start": 1747228350.3351007, "env_id": "None"}
r,l,t
18.0,18,0.079213
21.0,21,0.098971
35.0,35,0.121713
20.0,20,0.132423
14.0,14,0.152779
15.0,15,0.155988
48.0,48,0.188129
17.0,17,0.200993
18.0,18,0.205369
44.0,44,0.23789
9.0,9,0.250672
13.0,13,0.255012
20.0,20,0.271723
73.0,73,0.317044
13.0,13,0.337232
36.0,36,0.349917
24.0,24,0.371202
16.0,16,0.389762
25.0,25,0.402469
24.0,24,0.405771
23.0,23,0.422175
30.0,30,0.438849
20.0,20,0.455596
24.0,24,0.471911
15.0,15,0.472967
24.0,24,0.493595
22.0,22,0.507214
12.0,12,0.515017
45.0,45,0.538092
33.0,33,0.554546
11.0,11,0.555641
16.0,16,0.571678
19.0,19,0.585638
15.0,15,0.590037
19.0,19,0.607635
14.0,14,0.618883
70.0,70,0.650087
12.0,12,0.650087
11.0,11,0.683544
13.0,13,0.683544
14.0,14,0.705912
26.0,26,0.721899
11.0,11,0.721899
10.0,10,0.73357
23.0,23,0.750166
13.0,13,0.750166
19.0,19,0.773199
12.0,12,0.783535
17.0,17,0.783535
15.0,15,0.805052
25.0,25,0.816372
22.0,22,0.816372
14.0,14,0.83959
12.0,12,0.83959
13.0,13,0.856148
10.0,10,0.856148
48.0,48,0.894824
74.0,74,0.939399
20.0,20,0.955463
26.0,26,0.967106
21.0,21,0.984109
17.0,17,0.98947
14.0,14,1.005998
14.0,14,1.005998
18.0,18,1.023181
30.0,30,1.040481
27.0,27,1.050743
24.0,24,1.072665
14.0,14,1.089451
26.0,26,1.106452
45.0,45,1.135321
16.0,16,1.139554
21.0,21,1.158407
16.0,16,1.17092
43.0,43,1.184149
15.0,15,1.205235
20.0,20,1.220926
28.0,28,1.237998
22.0,22,1.252126
15.0,15,1.259948
29.0,29,1.273093
18.0,18,1.289269
37.0,37,1.306812
27.0,27,1.323446
17.0,17,1.334451
16.0,16,1.351649
59.0,59,1.388916
24.0,24,1.405385
22.0,22,2.261394
15.0,15,2.261394
18.0,18,2.261394
14.0,14,2.288307
32.0,32,2.300995
39.0,39,2.323464
11.0,11,2.336012
39.0,39,2.357508
21.0,21,2.372868
42.0,42,2.390677
11.0,11,2.405317
17.0,17,2.407477
13.0,13,2.423093
15.0,15,2.424159
29.0,29,2.435612
61.0,61,2.486667
14.0,14,2.493016
34.0,34,2.511636
17.0,17,2.521621
19.0,19,2.521621
26.0,26,2.540773
12.0,12,2.555192
23.0,23,2.56897
16.0,16,2.574582
18.0,18,2.591026
11.0,11,2.592118
26.0,26,2.620544
77.0,77,2.651805
23.0,23,2.667888
18.0,18,2.688993
12.0,12,2.690059
10.0,10,2.70311
10.0,10,2.707519
15.0,15,2.719033
39.0,39,2.741092
18.0,18,2.75386
26.0,26,2.768921
43.0,43,2.791259
16.0,16,2.804643
18.0,18,2.80798
23.0,23,2.823765
36.0,36,2.851795
9.0,9,2.851795
34.0,34,2.878224
18.0,18,2.893071
26.0,26,2.906354
14.0,14,2.919236
14.0,14,2.924804
46.0,46,2.958824
30.0,30,2.990876
11.0,11,2.990876
19.0,19,3.022434
13.0,13,3.035947
31.0,31,3.057321
32.0,32,3.09023
16.0,16,3.10226
28.0,28,3.152308
12.0,12,3.173113
9.0,9,3.189475
15.0,15,3.203358
20.0,20,3.219869
20.0,20,3.257899
30.0,30,3.270398
21.0,21,3.303527
37.0,37,3.337822
14.0,14,3.342162
17.0,17,3.369679
15.0,15,3.370139
45.0,45,3.420155
