#{"t_start": 1747817176.530749, "env_id": "None"}
r,l,t
18.0,18,1.512239
21.0,21,1.559857
35.0,35,1.634839
20.0,20,1.66485
14.0,14,1.72884
15.0,15,1.759812
48.0,48,1.829099
17.0,17,1.853608
18.0,18,1.881114
44.0,44,1.928109
9.0,9,1.952612
13.0,13,1.996115
20.0,20,2.040352
73.0,73,2.137348
13.0,13,2.172848
36.0,36,2.219351
24.0,24,2.244862
16.0,16,2.262858
25.0,25,2.296849
24.0,24,2.328362
23.0,23,2.35086
30.0,30,2.377854
20.0,20,2.394849
24.0,24,2.415843
15.0,15,2.432353
24.0,24,2.451861
22.0,22,2.468854
12.0,12,2.477856
45.0,45,2.511847
33.0,33,2.537348
11.0,11,2.544855
16.0,16,2.562847
19.0,19,2.580841
15.0,15,2.592839
19.0,19,2.608834
14.0,14,2.619832
70.0,70,2.673843
12.0,12,2.681844
11.0,11,2.704683
13.0,13,2.714687
14.0,14,2.725678
26.0,26,2.745219
11.0,11,2.751734
10.0,10,2.760731
23.0,23,2.776726
13.0,13,2.784723
19.0,19,2.79872
12.0,12,2.809716
17.0,17,2.820713
15.0,15,2.831724
25.0,25,2.858729
22.0,22,2.875731
14.0,14,2.886729
12.0,12,2.897725
13.0,13,2.908721
10.0,10,2.91572
48.0,48,2.948226
74.0,74,2.998516
20.0,20,3.016509
26.0,26,3.043508
21.0,21,3.062833
17.0,17,3.079362
14.0,14,3.096354
14.0,14,3.124346
18.0,18,3.144866
30.0,30,3.176861
27.0,27,3.210362
24.0,24,3.232363
14.0,14,3.247864
26.0,26,3.275855
45.0,45,3.317356
16.0,16,3.330361
21.0,21,3.348867
16.0,16,3.362863
43.0,43,3.398854
15.0,15,3.413363
20.0,20,3.429364
28.0,28,3.457866
22.0,22,3.475858
15.0,15,3.490855
29.0,29,3.523904
18.0,18,3.535919
37.0,37,3.571411
27.0,27,3.593405
17.0,17,3.611404
16.0,16,3.624396
59.0,59,3.66542
24.0,24,3.686409
44.0,44,4.800815
18.0,18,4.812899
21.0,21,4.826845
14.0,14,4.835912
63.0,63,4.877411
34.0,34,4.896492
19.0,19,4.909402
53.0,53,4.943907
17.0,17,4.955418
24.0,24,4.969423
51.0,51,5.007411
32.0,32,5.035064
40.0,40,5.066898
32.0,32,5.097891
30.0,30,5.128877
13.0,13,5.140878
19.0,19,5.156384
12.0,12,5.170381
