#{"t_start": 1747226555.1908, "env_id": "None"}
r,l,t
20.0,20,0.8951
12.0,12,0.910441
19.0,19,0.925837
14.0,14,0.941403
15.0,15,0.953569
22.0,22,0.970213
17.0,17,0.983933
10.0,10,0.983933
15.0,15,0.994708
37.0,37,1.028885
10.0,10,1.033418
10.0,10,1.043908
15.0,15,1.054907
12.0,12,1.063018
18.0,18,1.074863
14.0,14,1.080603
26.0,26,1.103473
35.0,35,1.125889
21.0,21,1.132501
11.0,11,1.148395
13.0,13,1.150661
31.0,31,1.181053
41.0,41,1.207326
11.0,11,1.216628
14.0,14,1.228923
18.0,18,1.236266
29.0,29,1.264538
25.0,25,1.28108
15.0,15,1.283211
67.0,67,1.32778
23.0,23,1.349568
15.0,15,1.380864
17.0,17,1.392791
16.0,16,1.401123
10.0,10,1.415211
35.0,35,1.433666
18.0,18,1.451277
20.0,20,1.467797
22.0,22,1.486572
16.0,16,1.499248
14.0,14,1.501503
36.0,36,1.533925
18.0,18,1.545245
16.0,16,1.566565
16.0,16,1.576383
12.0,12,1.58391
24.0,24,1.60078
28.0,28,1.634802
31.0,31,1.65035
23.0,23,1.6815
13.0,13,1.68358
17.0,17,1.701101
22.0,22,1.723908
21.0,21,1.7402
13.0,13,1.75014
28.0,28,1.769071
20.0,20,1.784419
28.0,28,1.800863
25.0,25,1.820872
25.0,25,1.842917
60.0,60,1.89963
15.0,15,1.919394
30.0,30,1.943289
17.0,17,1.964812
17.0,17,1.977721
17.0,17,2.006671
24.0,24,2.074943
24.0,24,2.110065
13.0,13,2.152189
29.0,29,2.185903
19.0,19,2.211465
25.0,25,2.234249
29.0,29,2.260239
15.0,15,2.284732
16.0,16,2.296106
13.0,13,2.310331
17.0,17,2.312367
15.0,15,2.333832
14.0,14,2.350894
82.0,82,2.412095
16.0,16,2.433558
11.0,11,2.445536
18.0,18,2.445536
12.0,12,2.467262
32.0,32,2.484455
21.0,21,2.50252
25.0,25,2.517964
23.0,23,2.529189
23.0,23,2.550657
12.0,12,2.569128
30.0,30,2.584383
30.0,30,2.610547
33.0,33,2.633379
20.0,20,2.654013
26.0,26,3.737989
66.0,66,3.804167
19.0,19,3.831351
22.0,22,3.849672
28.0,28,3.884815
20.0,20,3.925614
17.0,17,3.954885
33.0,33,4.00092
14.0,14,4.05037
19.0,19,4.080657
14.0,14,4.10567
19.0,19,4.159045
15.0,15,4.214926
13.0,13,4.248006
23.0,23,4.281858
31.0,31,4.350703
23.0,23,4.399111
17.0,17,4.44648
20.0,20,4.501181
43.0,43,4.633001
14.0,14,4.700358
14.0,14,4.731439
12.0,12,4.750634
39.0,39,4.831814
16.0,16,4.853611
22.0,22,4.898092
20.0,20,4.948696
32.0,32,5.023312
13.0,13,5.052294
16.0,16,5.076954
23.0,23,5.120693
12.0,12,5.139202
15.0,15,5.177896
14.0,14,5.203622
21.0,21,5.250105
21.0,21,5.305524
31.0,31,5.370783
12.0,12,5.405103
15.0,15,5.428424
34.0,34,5.509688
60.0,60,5.646995
25.0,25,5.738122
26.0,26,5.829867
21.0,21,5.891026
22.0,22,5.94673
14.0,14,5.979627
41.0,41,6.063354
14.0,14,6.114518
27.0,27,6.154567
18.0,18,6.184357
30.0,30,6.237381
22.0,22,6.292408
13.0,13,6.33638
13.0,13,6.356729
18.0,18,6.388068
23.0,23,6.432988
35.0,35,6.498138
22.0,22,6.533888
27.0,27,6.582575
18.0,18,6.621526
15.0,15,6.642232
22.0,22,6.798588
21.0,21,6.865433
22.0,22,6.905006
12.0,12,6.930836
12.0,12,6.964176
13.0,13,7.000036
24.0,24,7.049504
11.0,11,7.067599
23.0,23,7.097618
14.0,14,7.122447
9.0,9,7.138853
14.0,14,7.150927
24.0,24,7.202436
37.0,37,7.256189
15.0,15,7.274366
13.0,13,7.303543
27.0,27,7.333104
13.0,13,7.349146
22.0,22,7.372702
18.0,18,7.395338
22.0,22,7.433771
23.0,23,7.465499
24.0,24,7.491837
12.0,12,7.505079
18.0,18,7.521871
12.0,12,7.541027
27.0,27,7.572811
25.0,25,7.5993
32.0,32,7.650698
30.0,30,7.672726
26.0,26,7.687522
