#{"t_start": 1747228297.7649682, "env_id": "None"}
r,l,t
18.0,18,0.352758
21.0,21,0.365699
35.0,35,0.395187
20.0,20,0.413264
14.0,14,0.414388
15.0,15,0.429638
48.0,48,0.447108
17.0,17,0.465016
18.0,18,0.478873
62.0,62,0.508952
19.0,19,0.540731
33.0,33,0.564381
30.0,30,0.581373
16.0,16,0.596717
14.0,14,0.609928
33.0,33,0.631075
19.0,19,0.642633
15.0,15,0.65155
38.0,38,0.677838
24.0,24,0.694842
25.0,25,0.713868
16.0,16,0.727546
80.0,80,0.784611
29.0,29,0.814327
13.0,13,0.834558
14.0,14,0.848021
16.0,16,0.86183
25.0,25,0.880087
17.0,17,0.895246
32.0,32,0.920891
31.0,31,0.944438
16.0,16,0.947932
11.0,11,0.965909
24.0,24,0.985124
23.0,23,1.004218
12.0,12,1.014635
16.0,16,1.027333
16.0,16,1.037433
14.0,14,1.045615
28.0,28,1.068681
34.0,34,1.095712
15.0,15,1.098733
16.0,16,1.115739
17.0,17,1.126778
20.0,20,1.146474
11.0,11,1.14758
30.0,30,1.165689
46.0,46,1.199348
18.0,18,1.213319
18.0,18,1.215561
25.0,25,1.248863
20.0,20,1.259062
17.0,17,1.259062
18.0,18,1.281599
15.0,15,1.296833
11.0,11,1.299028
19.0,19,1.315552
24.0,24,1.326529
24.0,24,1.347518
15.0,15,1.354737
25.0,25,1.373164
17.0,17,1.382884
14.0,14,1.39914
19.0,19,1.414298
26.0,26,1.432105
21.0,21,1.449583
15.0,15,1.459933
17.0,17,1.470731
14.0,14,1.481903
15.0,15,1.492713
11.0,11,1.499261
28.0,28,1.516226
12.0,12,1.528205
14.0,14,1.532556
18.0,18,1.549477
15.0,15,1.560473
16.0,16,1.565955
19.0,19,1.58254
23.0,23,1.599002
9.0,9,1.599002
16.0,16,1.61824
16.0,16,1.631834
30.0,30,1.651306
15.0,15,1.661417
17.0,17,1.673239
21.0,21,1.688543
20.0,20,1.704573
19.0,19,1.720483
17.0,17,1.731455
9.0,9,1.731455
25.0,25,1.754879
20.0,20,1.770618
16.0,16,1.78214
72.0,72,1.837729
18.0,18,2.786112
15.0,15,2.79479
12.0,12,2.804956
22.0,22,2.822276
19.0,19,2.836177
20.0,20,2.852444
23.0,23,2.861081
14.0,14,2.881484
12.0,12,2.887689
43.0,43,2.917656
41.0,41,2.944292
21.0,21,2.962216
9.0,9,2.968373
25.0,25,2.983636
15.0,15,2.98982
26.0,26,3.013664
15.0,15,3.022663
22.0,22,3.038705
19.0,19,3.052579
20.0,20,3.067565
29.0,29,3.091449
56.0,56,3.128556
28.0,28,3.147614
23.0,23,3.161719
29.0,29,3.181038
25.0,25,3.197841
27.0,27,3.216208
38.0,38,3.243981
31.0,31,3.266337
12.0,12,3.272371
21.0,21,3.288245
11.0,11,3.29833
16.0,16,3.311493
17.0,17,3.322345
15.0,15,3.333624
17.0,17,3.347215
22.0,22,3.362007
28.0,28,3.381245
15.0,15,3.390365
23.0,23,3.406727
26.0,26,3.42453
12.0,12,3.442224
18.0,18,3.46327
54.0,54,3.525255
50.0,50,3.565273
26.0,26,3.601919
20.0,20,3.6299
38.0,38,3.690603
45.0,45,3.779596
50.0,50,3.841576
19.0,19,3.861153
35.0,35,3.907669
71.0,71,3.974912
13.0,13,3.988504
24.0,24,4.012635
30.0,30,4.043745
11.0,11,4.044631
49.0,49,4.085298
32.0,32,4.118151
42.0,42,4.148511
61.0,61,4.21385
12.0,12,4.229565
16.0,16,4.248711
17.0,17,4.267174
13.0,13,4.283983
15.0,15,4.299339
64.0,64,4.36264
65.0,65,4.413374
42.0,42,4.455457
45.0,45,4.483668
26.0,26,4.501697
13.0,13,4.515299
20.0,20,4.531022
38.0,38,4.55153
44.0,44,4.586994
27.0,27,5.625678
16.0,16,5.63392
60.0,60,5.673241
27.0,27,5.689484
38.0,38,5.716938
20.0,20,5.732708
30.0,30,5.753084
46.0,46,5.783899
18.0,18,5.794104
22.0,22,5.808445
14.0,14,5.819382
18.0,18,5.832811
57.0,57,5.868237
16.0,16,5.878139
21.0,21,5.89151
48.0,48,5.922143
15.0,15,6.071825
31.0,31,6.100338
33.0,33,6.143778
14.0,14,6.166107
14.0,14,6.175259
22.0,22,6.200096
39.0,39,6.224155
33.0,33,6.278955
28.0,28,6.308066
36.0,36,6.332999
62.0,62,6.368825
24.0,24,6.391926
14.0,14,6.408902
39.0,39,6.433826
12.0,12,6.451772
72.0,72,6.492705
26.0,26,6.51865
14.0,14,6.537394
93.0,93,6.604675
25.0,25,6.621511
34.0,34,6.641454
25.0,25,6.655293
14.0,14,6.67449
56.0,56,6.70027
39.0,39,6.736897
24.0,24,6.769642
18.0,18,6.782023
47.0,47,6.821924
42.0,42,6.861083
16.0,16,6.883278
20.0,20,6.895154
32.0,32,6.91989
20.0,20,6.932569
26.0,26,6.9596
32.0,32,7.004685
43.0,43,7.067332
15.0,15,7.092786
21.0,21,7.132811
14.0,14,7.145962
31.0,31,7.183622
19.0,19,7.215513
11.0,11,7.236161
19.0,19,7.274552
32.0,32,7.317032
32.0,32,7.398605
50.0,50,7.492405
31.0,31,7.565955
18.0,18,7.616538
40.0,40,7.697069
24.0,24,7.767174
53.0,53,7.897735
44.0,44,9.426736
28.0,28,9.458186
57.0,57,9.502405
75.0,75,9.549647
21.0,21,9.570518
25.0,25,9.60039
71.0,71,9.650426
25.0,25,9.670986
25.0,25,9.689339
26.0,26,9.713542
23.0,23,9.738552
66.0,66,9.784153
29.0,29,9.804553
15.0,15,9.807918
25.0,25,9.831882
21.0,21,9.838806
27.0,27,9.856188
57.0,57,9.900865
17.0,17,9.917273
24.0,24,9.921547
38.0,38,9.955816
14.0,14,9.967151
35.0,35,9.989478
16.0,16,10.004315
24.0,24,10.128004
29.0,29,10.166669
31.0,31,10.188632
34.0,34,10.222857
28.0,28,10.240154
48.0,48,10.273647
66.0,66,10.317993
48.0,48,10.366931
64.0,64,10.41132
13.0,13,10.41765
34.0,34,10.440123
53.0,53,10.483826
30.0,30,10.501204
30.0,30,10.523568
45.0,45,10.55223
18.0,18,10.573288
79.0,79,10.617758
23.0,23,10.649411
42.0,42,10.673567
23.0,23,10.703668
134.0,134,10.787004
33.0,33,10.820436
32.0,32,10.837717
33.0,33,10.858183
34.0,34,10.884974
34.0,34,10.906751
33.0,33,10.938502
16.0,16,10.95591
49.0,49,10.98844
21.0,21,11.007972
41.0,41,11.043795
51.0,51,11.084147
34.0,34,11.916127
34.0,34,11.945577
66.0,66,11.990155
34.0,34,12.016155
55.0,55,12.049372
28.0,28,12.074327
37.0,37,12.106111
76.0,76,12.15361
39.0,39,12.321897
38.0,38,12.344405
20.0,20,12.358102
38.0,38,12.381258
24.0,24,12.402188
45.0,45,12.434076
49.0,49,12.469593
44.0,44,12.491512
35.0,35,12.521628
29.0,29,12.538486
25.0,25,12.554217
33.0,33,12.569379
53.0,53,12.60411
20.0,20,12.608453
24.0,24,12.625958
32.0,32,12.65379
21.0,21,12.658136
63.0,63,12.691458
50.0,50,12.738285
45.0,45,12.76913
47.0,47,12.80742
42.0,42,12.837453
44.0,44,12.870003
53.0,53,12.908343
42.0,42,12.93663
39.0,39,12.969568
65.0,65,13.018052
23.0,23,13.038903
56.0,56,13.06928
38.0,38,13.102918
39.0,39,13.123837
41.0,41,13.154868
26.0,26,13.168215
25.0,25,13.203226
54.0,54,13.224557
44.0,44,13.259457
39.0,39,13.286008
26.0,26,13.286748
78.0,78,13.341422
53.0,53,13.369901
62.0,62,13.40265
12.0,12,13.419363
33.0,33,14.410539
50.0,50,14.426364
31.0,31,14.459709
71.0,71,14.504507
30.0,30,14.537632
62.0,62,14.587099
84.0,84,14.654196
61.0,61,14.704894
30.0,30,14.732254
17.0,17,14.752821
32.0,32,14.774204
16.0,16,14.787885
40.0,40,14.820591
33.0,33,14.840153
120.0,120,14.90399
57.0,57,14.954358
45.0,45,14.987855
83.0,83,15.04949
77.0,77,15.087497
43.0,43,15.13448
44.0,44,15.171302
27.0,27,15.203322
46.0,46,15.22624
32.0,32,15.260878
36.0,36,15.276969
39.0,39,15.308991
48.0,48,15.34028
70.0,70,15.376838
21.0,21,15.393886
50.0,50,15.425138
36.0,36,15.444404
34.0,34,15.460889
85.0,85,15.504547
49.0,49,15.537896
28.0,28,15.577893
33.0,33,15.610854
28.0,28,15.627653
22.0,22,15.63881
38.0,38,15.661314
44.0,44,15.691305
23.0,23,15.705014
61.0,61,15.739049
38.0,38,15.760701
38.0,38,15.793198
23.0,23,15.80801
104.0,104,16.709852
16.0,16,16.72234
51.0,51,16.755689
32.0,32,16.772386
47.0,47,16.798718
111.0,111,16.855824
28.0,28,16.89422
77.0,77,16.935924
52.0,52,16.972476
41.0,41,17.009161
55.0,55,17.043182
82.0,82,17.098246
36.0,36,17.132295
18.0,18,17.13927
35.0,35,17.162518
42.0,42,17.193729
79.0,79,17.239319
84.0,84,17.272686
45.0,45,17.329504
64.0,64,17.37283
28.0,28,17.395808
22.0,22,17.406231
58.0,58,17.447983
179.0,179,17.550327
144.0,144,17.62623
23.0,23,17.655128
40.0,40,17.677545
23.0,23,17.688589
49.0,49,17.711359
29.0,29,17.745682
33.0,33,17.779954
132.0,132,17.857117
82.0,82,17.917863
77.0,77,17.979651
104.0,104,19.593482
43.0,43,19.633093
113.0,113,19.705006
40.0,40,19.72387
169.0,169,19.823616
27.0,27,19.854681
112.0,112,19.912071
29.0,29,19.955755
59.0,59,19.988772
79.0,79,20.037283
96.0,96,20.097733
27.0,27,20.121702
122.0,122,20.197464
98.0,98,20.257564
56.0,56,20.29973
91.0,91,20.358672
82.0,82,20.411487
19.0,19,20.429157
46.0,46,20.454661
35.0,35,20.477216
102.0,102,20.543162
49.0,49,20.567352
61.0,61,20.592931
41.0,41,20.632336
113.0,113,20.706108
65.0,65,20.751686
80.0,80,20.808127
47.0,47,20.829108
48.0,48,20.851691
75.0,75,20.901932
