#{"t_start": 1747233833.7146332, "env_id": "None"}
r,l,t
44.0,44,20.559017
85.0,85,20.776468
36.0,36,20.85054
17.0,17,20.907442
66.0,66,21.03325
27.0,27,21.080382
47.0,47,21.163459
73.0,73,21.27029
79.0,79,21.366995
141.0,141,23.318563
37.0,37,23.397383
118.0,118,23.631186
39.0,39,23.691775
126.0,126,23.845505
48.0,48,23.91974
161.0,161,24.126378
70.0,70,24.221244
66.0,66,24.281289
86.0,86,24.4154
47.0,47,24.501005
82.0,82,24.642926
42.0,42,24.736299
85.0,85,24.829683
20.0,20,24.862185
124.0,124,24.96557
103.0,103,25.040191
127.0,127,25.113561
147.0,147,25.205504
64.0,64,25.255904
70.0,70,25.371596
55.0,55,25.465501
76.0,76,25.569983
55.0,55,25.602789
90.0,90,26.825783
45.0,45,26.861702
47.0,47,26.888194
16.0,16,26.896456
142.0,142,26.976183
46.0,46,27.005571
128.0,128,27.100801
96.0,96,27.215705
170.0,170,27.421588
68.0,68,27.579826
135.0,135,27.829987
79.0,79,27.968048
55.0,55,28.060316
79.0,79,28.176998
79.0,79,28.278373
39.0,39,28.338551
138.0,138,28.523369
78.0,78,28.618413
26.0,26,28.643811
56.0,56,28.692228
137.0,137,28.773137
219.0,219,28.901633
138.0,138,28.986433
75.0,75,30.199604
96.0,96,30.256646
168.0,168,30.357308
62.0,62,30.400122
65.0,65,30.45127
91.0,91,30.503443
98.0,98,30.619808
172.0,172,30.743369
229.0,229,30.885142
53.0,53,30.923246
47.0,47,30.948845
170.0,170,31.113778
148.0,148,31.25672
147.0,147,31.357759
165.0,165,31.480949
126.0,126,31.611579
104.0,104,31.699744
75.0,75,33.280522
29.0,29,33.294487
145.0,145,33.380147
171.0,171,33.584769
151.0,151,33.835094
251.0,251,34.082397
85.0,85,34.137314
127.0,127,34.220882
78.0,78,34.275735
22.0,22,34.30176
27.0,27,34.322675
254.0,254,34.489899
46.0,46,34.55123
68.0,68,34.616086
123.0,123,34.677624
68.0,68,34.730658
81.0,81,34.826179
28.0,28,34.88848
88.0,88,34.99186
158.0,158,35.190412
322.0,322,36.624566
68.0,68,36.677449
176.0,176,36.826636
189.0,189,36.936008
122.0,122,37.076109
75.0,75,37.112658
79.0,79,37.171234
103.0,103,37.239873
237.0,237,37.490512
126.0,126,37.673936
194.0,194,37.923981
203.0,203,38.150096
153.0,153,38.258597
