#{"t_start": 1747227010.6742518, "env_id": "None"}
r,l,t
21.0,21,0.762138
11.0,11,0.777085
12.0,12,0.788105
14.0,14,0.797711
63.0,63,0.837271
76.0,76,0.889698
20.0,20,0.908895
14.0,14,0.918428
15.0,15,0.9259
14.0,14,0.935457
37.0,37,0.95673
18.0,18,0.969649
15.0,15,0.983059
13.0,13,0.990522
20.0,20,1.002428
11.0,11,1.01021
22.0,22,1.034555
29.0,29,1.056059
17.0,17,1.069439
21.0,21,1.087448
18.0,18,1.103453
18.0,18,1.11856
26.0,26,1.139991
22.0,22,1.160544
14.0,14,1.17354
17.0,17,1.191558
20.0,20,1.209737
15.0,15,1.223895
12.0,12,1.23589
22.0,22,1.253347
21.0,21,1.26832
30.0,30,1.291019
19.0,19,1.305166
47.0,47,1.355016
26.0,26,1.372629
10.0,10,1.379046
26.0,26,1.397498
41.0,41,1.424761
14.0,14,1.43533
21.0,21,1.449232
30.0,30,1.46957
15.0,15,1.479213
12.0,12,1.488221
31.0,31,1.511706
14.0,14,1.521272
21.0,21,1.538216
13.0,13,1.550198
17.0,17,1.562114
51.0,51,1.599586
11.0,11,1.606398
26.0,26,1.622129
32.0,32,1.641969
26.0,26,1.659379
10.0,10,1.668258
14.0,14,1.678192
20.0,20,1.692628
14.0,14,1.706491
16.0,16,1.722354
10.0,10,1.733196
16.0,16,1.746097
22.0,22,1.762229
21.0,21,1.784943
14.0,14,1.806656
29.0,29,1.834443
17.0,17,1.845142
12.0,12,1.854952
24.0,24,1.872851
15.0,15,1.885278
12.0,12,1.894116
21.0,21,1.910198
12.0,12,1.922154
13.0,13,1.933043
21.0,21,1.9476
20.0,20,1.962229
21.0,21,1.980749
18.0,18,2.013418
42.0,42,2.051868
37.0,37,2.078956
14.0,14,2.091532
17.0,17,2.107114
16.0,16,2.128732
14.0,14,2.152157
11.0,11,2.166327
39.0,39,2.218282
48.0,48,2.279604
40.0,40,2.330423
28.0,28,2.373671
13.0,13,2.392125
25.0,25,2.434555
17.0,17,2.459936
57.0,57,2.51836
9.0,9,2.527102
23.0,23,2.55004
19.0,19,4.168395
12.0,12,4.174771
36.0,36,4.19842
13.0,13,4.206838
22.0,22,4.223665
40.0,40,4.247705
22.0,22,4.259202
26.0,26,4.273362
11.0,11,4.278653
11.0,11,4.285805
30.0,30,4.299303
23.0,23,4.311584
12.0,12,4.31833
12.0,12,4.324492
17.0,17,4.3342
18.0,18,4.343011
35.0,35,4.365843
16.0,16,4.375147
20.0,20,4.384947
16.0,16,4.393209
22.0,22,4.405312
19.0,19,4.415841
21.0,21,4.427305
23.0,23,4.440481
16.0,16,4.449799
24.0,24,4.466742
19.0,19,4.480364
31.0,31,4.497726
10.0,10,4.503982
43.0,43,4.526819
19.0,19,4.539656
49.0,49,4.566726
18.0,18,4.57711
15.0,15,4.58523
51.0,51,4.617978
11.0,11,4.624636
26.0,26,4.638726
18.0,18,4.650344
20.0,20,4.66075
11.0,11,4.669796
42.0,42,4.707391
16.0,16,4.74253
15.0,15,4.768771
33.0,33,4.808525
41.0,41,4.855536
24.0,24,4.90484
20.0,20,4.945482
46.0,46,4.986073
18.0,18,4.999763
11.0,11,5.009277
20.0,20,5.025538
16.0,16,5.040524
12.0,12,5.047922
13.0,13,5.060154
16.0,16,5.075994
14.0,14,5.089051
18.0,18,5.104597
28.0,28,5.126096
29.0,29,5.146508
31.0,31,5.165955
46.0,46,5.197683
14.0,14,5.20794
32.0,32,5.232374
60.0,60,5.275122
19.0,19,5.289853
28.0,28,5.308887
14.0,14,5.321482
16.0,16,5.33366
16.0,16,5.34608
20.0,20,5.359869
10.0,10,5.367805
53.0,53,5.404432
42.0,42,5.432462
10.0,10,5.439161
15.0,15,5.449732
54.0,54,5.486582
9.0,9,5.492745
34.0,34,5.514324
17.0,17,5.527517
11.0,11,5.536276
13.0,13,5.545183
15.0,15,5.556934
31.0,31,5.579034
12.0,12,5.587121
8.0,8,5.592642
22.0,22,5.607121
19.0,19,5.622238
19.0,19,5.638011
18.0,18,5.649545
47.0,47,6.837651
21.0,21,6.87044
26.0,26,6.899706
18.0,18,6.917549
54.0,54,6.955492
20.0,20,6.970326
15.0,15,6.980641
16.0,16,6.993595
13.0,13,7.009367
32.0,32,7.029722
41.0,41,7.057102
40.0,40,7.082296
10.0,10,7.089271
31.0,31,7.106834
17.0,17,7.119299
35.0,35,7.14302
12.0,12,7.15149
69.0,69,7.198144
20.0,20,7.213623
16.0,16,7.227086
15.0,15,7.24505
15.0,15,7.257059
20.0,20,7.269755
13.0,13,7.279752
16.0,16,7.294473
15.0,15,7.308312
21.0,21,7.344544
20.0,20,7.37642
16.0,16,7.395489
32.0,32,7.429724
12.0,12,7.444315
16.0,16,7.465383
53.0,53,7.54123
18.0,18,7.558755
22.0,22,7.578117
21.0,21,7.600338
13.0,13,7.612695
20.0,20,7.631551
27.0,27,7.659324
23.0,23,7.678807
11.0,11,7.689733
18.0,18,7.70512
23.0,23,7.726627
12.0,12,7.739625
18.0,18,7.760444
68.0,68,7.82446
11.0,11,7.845325
46.0,46,7.890557
22.0,22,7.91632
18.0,18,7.949487
18.0,18,7.982808
14.0,14,8.001728
27.0,27,8.022985
26.0,26,8.044711
17.0,17,8.057719
25.0,25,8.077876
24.0,24,8.095684
15.0,15,8.108052
23.0,23,8.12528
24.0,24,8.151101
20.0,20,8.17448
21.0,21,8.18918
10.0,10,8.198816
17.0,17,8.211933
37.0,37,8.241233
15.0,15,8.259023
13.0,13,8.28671
24.0,24,8.334275
18.0,18,8.359276
46.0,46,8.403472
29.0,29,8.425928
28.0,28,8.448731
19.0,19,8.466327
24.0,24,8.496144
18.0,18,8.518275
10.0,10,8.530906
20.0,20,8.558734
38.0,38,8.595019
31.0,31,8.617804
11.0,11,8.635599
14.0,14,8.650779
17.0,17,8.665929
17.0,17,8.681185
16.0,16,8.695888
13.0,13,8.706637
10.0,10,8.714636
10.0,10,8.727952
25.0,25,8.747677
19.0,19,8.763693
16.0,16,8.782795
14.0,14,8.811389
27.0,27,8.8498
13.0,13,8.869066
9.0,9,10.747267
13.0,13,10.758986
13.0,13,10.773503
24.0,24,10.798089
33.0,33,10.826338
12.0,12,10.833607
22.0,22,10.848223
12.0,12,10.856744
13.0,13,10.863871
42.0,42,10.889137
15.0,15,10.90076
14.0,14,10.916764
19.0,19,10.932676
22.0,22,10.951082
13.0,13,10.963776
9.0,9,10.982514
22.0,22,11.000715
20.0,20,11.010668
10.0,10,11.018985
13.0,13,11.02953
17.0,17,11.03722
24.0,24,11.049759
19.0,19,11.059453
11.0,11,11.06479
16.0,16,11.073258
14.0,14,11.080433
12.0,12,11.0868
17.0,17,11.096575
29.0,29,11.110478
29.0,29,11.12687
25.0,25,11.138957
14.0,14,11.147057
25.0,25,11.160932
18.0,18,11.169088
18.0,18,11.179379
13.0,13,11.186677
19.0,19,11.198459
12.0,12,11.205218
20.0,20,11.216517
10.0,10,11.223915
10.0,10,11.230331
42.0,42,11.259506
43.0,43,11.291824
46.0,46,11.326635
25.0,25,11.344363
20.0,20,11.362628
12.0,12,11.372004
19.0,19,11.385776
16.0,16,11.396968
13.0,13,11.408837
31.0,31,11.430036
39.0,39,11.454755
25.0,25,11.476684
26.0,26,11.49463
9.0,9,11.501161
12.0,12,11.512442
13.0,13,11.520996
81.0,81,11.584361
48.0,48,11.618488
18.0,18,11.633374
45.0,45,11.667139
39.0,39,11.697569
25.0,25,11.715653
18.0,18,11.729457
29.0,29,11.751348
18.0,18,11.766167
16.0,16,11.782083
13.0,13,11.793918
18.0,18,11.808298
30.0,30,11.831707
13.0,13,11.8433
14.0,14,11.85334
24.0,24,11.876235
33.0,33,11.903503
24.0,24,11.926451
12.0,12,11.934898
19.0,19,11.951199
32.0,32,11.982523
23.0,23,12.001003
10.0,10,12.012287
15.0,15,12.024877
18.0,18,12.037264
23.0,23,12.059468
13.0,13,12.072469
12.0,12,12.082963
18.0,18,12.09775
20.0,20,12.114544
17.0,17,12.129239
58.0,58,12.172575
9.0,9,12.179643
31.0,31,12.201215
14.0,14,12.213831
40.0,40,12.248074
20.0,20,12.266031
61.0,61,13.981557
19.0,19,14.004007
19.0,19,14.023843
35.0,35,14.052423
17.0,17,14.069313
25.0,25,14.090623
53.0,53,14.134311
43.0,43,14.18241
16.0,16,14.195863
19.0,19,14.213485
14.0,14,14.226764
31.0,31,14.25817
94.0,94,14.338308
14.0,14,14.350157
13.0,13,14.361902
25.0,25,14.379622
17.0,17,14.391333
28.0,28,14.412798
22.0,22,14.430214
12.0,12,14.441305
29.0,29,14.478726
28.0,28,14.50073
10.0,10,14.509317
19.0,19,14.523415
31.0,31,14.550914
11.0,11,14.560107
24.0,24,14.579368
12.0,12,14.587975
32.0,32,14.614226
10.0,10,14.622594
47.0,47,14.656223
29.0,29,14.680806
10.0,10,14.689176
27.0,27,14.721308
17.0,17,14.743352
44.0,44,14.774956
20.0,20,14.78915
40.0,40,14.842577
23.0,23,14.869814
20.0,20,14.886431
33.0,33,14.921599
14.0,14,14.938833
16.0,16,14.956616
21.0,21,14.983372
14.0,14,14.999897
21.0,21,15.02266
21.0,21,15.041689
23.0,23,15.064314
21.0,21,15.086179
11.0,11,15.099231
17.0,17,15.116604
18.0,18,15.133545
14.0,14,15.149267
45.0,45,15.187454
15.0,15,15.201128
21.0,21,15.220664
12.0,12,15.232411
20.0,20,15.249642
55.0,55,15.295626
32.0,32,15.319817
24.0,24,15.339767
22.0,22,15.359283
12.0,12,15.369139
17.0,17,15.384716
24.0,24,15.406867
21.0,21,15.423942
10.0,10,15.431818
22.0,22,15.452225
16.0,16,15.480595
34.0,34,15.505827
47.0,47,15.548124
13.0,13,15.558416
25.0,25,15.583912
18.0,18,15.600612
17.0,17,15.61701
18.0,18,15.638692
12.0,12,15.652825
29.0,29,15.682393
21.0,21,15.703753
29.0,29,15.730142
22.0,22,15.749327
25.0,25,15.772275
55.0,55,15.825274
17.0,17,15.845737
8.0,8,15.852207
25.0,25,17.210671
24.0,24,17.234779
24.0,24,17.257567
13.0,13,17.26982
45.0,45,17.310883
27.0,27,17.335308
72.0,72,17.399879
9.0,9,17.406879
23.0,23,17.426327
16.0,16,17.44027
44.0,44,17.484857
31.0,31,17.517161
21.0,21,17.538692
24.0,24,17.566112
51.0,51,17.615637
17.0,17,17.63551
25.0,25,17.663286
18.0,18,17.686622
22.0,22,17.70924
13.0,13,17.730344
16.0,16,17.762187
17.0,17,17.79199
23.0,23,17.832291
29.0,29,17.903623
9.0,9,17.935597
50.0,50,18.064195
10.0,10,18.076591
22.0,22,18.102386
13.0,13,18.11776
39.0,39,18.173478
24.0,24,18.210642
24.0,24,18.231896
51.0,51,18.277105
33.0,33,18.303696
12.0,12,18.313783
22.0,22,18.334097
19.0,19,18.354655
25.0,25,18.376723
14.0,14,18.388091
13.0,13,18.401131
17.0,17,18.416352
13.0,13,18.424727
17.0,17,18.438243
25.0,25,18.456287
11.0,11,18.46695
11.0,11,18.474379
26.0,26,18.493117
59.0,59,18.532713
16.0,16,18.542688
18.0,18,18.55548
14.0,14,18.570014
53.0,53,18.606693
12.0,12,18.618343
26.0,26,18.639637
12.0,12,18.648924
11.0,11,18.65734
12.0,12,18.667001
25.0,25,18.68199
13.0,13,18.691492
28.0,28,18.711301
15.0,15,18.722756
22.0,22,18.739969
27.0,27,18.767406
18.0,18,18.78172
27.0,27,18.802074
34.0,34,18.827572
21.0,21,18.849723
20.0,20,18.868685
43.0,43,18.90611
15.0,15,18.919481
15.0,15,18.934308
17.0,17,18.952039
18.0,18,18.971355
42.0,42,19.017778
23.0,23,19.041374
14.0,14,19.056087
22.0,22,19.075006
14.0,14,19.089244
32.0,32,19.121499
24.0,24,19.143348
11.0,11,19.156193
10.0,10,19.166508
38.0,38,19.199886
10.0,10,19.208401
19.0,19,19.226572
19.0,19,19.244363
30.0,30,19.274424
23.0,23,19.294892
15.0,15,20.550132
22.0,22,20.564984
13.0,13,20.57692
39.0,39,20.606566
11.0,11,20.616285
16.0,16,20.626892
17.0,17,20.641118
20.0,20,20.657671
13.0,13,20.669489
21.0,21,20.686921
20.0,20,20.705199
16.0,16,20.722585
19.0,19,20.743346
30.0,30,20.773911
14.0,14,20.786792
16.0,16,20.800393
14.0,14,20.81332
17.0,17,20.826767
22.0,22,20.854486
17.0,17,20.872379
19.0,19,20.942441
29.0,29,21.023008
42.0,42,21.083115
23.0,23,21.110689
11.0,11,21.122706
41.0,41,21.164677
53.0,53,21.211403
20.0,20,21.227346
32.0,32,21.25651
15.0,15,21.26907
17.0,17,21.282711
13.0,13,21.291945
