#{"t_start": 1747226962.191233, "env_id": "None"}
r,l,t
21.0,21,0.027091
11.0,11,0.045054
12.0,12,0.059315
14.0,14,0.070016
63.0,63,0.11831
54.0,54,0.16594
18.0,18,0.189867
25.0,25,0.212251
19.0,19,0.226719
36.0,36,0.261886
29.0,29,0.28809
16.0,16,0.302827
19.0,19,0.323175
10.0,10,0.329772
23.0,23,0.35552
15.0,15,0.37077
15.0,15,0.379025
26.0,26,0.406865
35.0,35,0.437849
18.0,18,0.453235
18.0,18,0.467498
23.0,23,0.48746
18.0,18,0.503804
17.0,17,0.521576
16.0,16,0.537555
42.0,42,0.575832
13.0,13,0.605031
14.0,14,0.618174
20.0,20,0.63748
41.0,41,0.674093
11.0,11,0.690764
17.0,17,0.709529
22.0,22,0.739692
10.0,10,0.752647
38.0,38,0.788823
19.0,19,0.807638
14.0,14,0.824543
50.0,50,0.875059
27.0,27,0.897425
23.0,23,0.928345
15.0,15,0.946219
11.0,11,0.964128
21.0,21,0.989144
43.0,43,1.040976
12.0,12,1.050259
12.0,12,1.060923
29.0,29,1.083843
26.0,26,1.106133
31.0,31,1.130605
13.0,13,1.145325
18.0,18,1.160365
39.0,39,1.196015
11.0,11,1.210023
18.0,18,1.225901
31.0,31,1.252722
52.0,52,1.299833
10.0,10,1.310466
14.0,14,1.323893
10.0,10,1.335157
20.0,20,1.350656
8.0,8,1.358048
16.0,16,1.371688
35.0,35,1.404923
15.0,15,1.421947
20.0,20,1.438747
23.0,23,1.458058
12.0,12,1.468369
29.0,29,1.504341
21.0,21,1.543399
20.0,20,1.563538
22.0,22,1.579457
32.0,32,1.605546
19.0,19,1.621133
11.0,11,1.629264
15.0,15,1.642937
19.0,19,1.659502
14.0,14,1.672112
23.0,23,1.694257
13.0,13,1.704308
15.0,15,1.717322
25.0,25,1.73857
18.0,18,1.752385
25.0,25,1.774092
23.0,23,1.792649
13.0,13,1.811566
18.0,18,1.830689
35.0,35,1.874134
63.0,63,1.930338
12.0,12,1.940628
10.0,10,1.95634
13.0,13,1.969803
25.0,25,1.994601
24.0,24,3.263215
25.0,25,3.292007
24.0,24,3.314994
24.0,24,3.33482
19.0,19,3.349084
37.0,37,3.418539
38.0,38,3.475901
23.0,23,3.559202
17.0,17,3.629577
16.0,16,3.690101
15.0,15,3.717854
18.0,18,3.759439
45.0,45,3.859118
16.0,16,3.913456
16.0,16,3.97055
15.0,15,4.010772
21.0,21,4.037433
15.0,15,4.060221
16.0,16,4.082185
30.0,30,4.114758
11.0,11,4.13296
28.0,28,4.165867
28.0,28,4.191868
9.0,9,4.202241
25.0,25,4.232617
49.0,49,4.281262
94.0,94,4.379146
18.0,18,4.40041
54.0,54,4.466396
18.0,18,4.490906
13.0,13,4.509996
14.0,14,4.52851
26.0,26,4.559944
16.0,16,4.57634
25.0,25,4.598758
18.0,18,4.615817
38.0,38,4.646072
19.0,19,4.663125
24.0,24,4.688288
10.0,10,4.698091
57.0,57,4.747855
11.0,11,4.756953
27.0,27,4.779415
34.0,34,4.812111
27.0,27,4.844769
13.0,13,4.862479
43.0,43,4.908074
16.0,16,4.92246
27.0,27,4.960677
16.0,16,4.980853
31.0,31,5.010111
40.0,40,5.047376
26.0,26,5.071675
22.0,22,5.09138
19.0,19,5.10757
14.0,14,5.118964
35.0,35,5.149403
33.0,33,5.184802
13.0,13,5.198688
13.0,13,5.213308
107.0,107,5.315792
56.0,56,5.368278
19.0,19,5.390263
22.0,22,5.414556
19.0,19,5.431915
30.0,30,5.465409
73.0,73,5.541784
27.0,27,5.566684
14.0,14,5.580822
14.0,14,5.596623
47.0,47,5.655898
19.0,19,5.681493
14.0,14,5.700835
21.0,21,5.73519
32.0,32,5.781064
18.0,18,5.813367
13.0,13,5.832947
50.0,50,7.281687
22.0,22,7.292689
49.0,49,7.321954
57.0,57,7.355758
29.0,29,7.375421
39.0,39,7.396667
28.0,28,7.41597
30.0,30,7.433867
27.0,27,7.449377
16.0,16,7.460946
37.0,37,7.481789
15.0,15,7.492427
14.0,14,7.49911
53.0,53,7.530307
73.0,73,7.573047
26.0,26,7.587126
18.0,18,7.597855
16.0,16,7.606304
31.0,31,7.626105
70.0,70,7.668805
70.0,70,7.711169
30.0,30,7.731719
43.0,43,7.757605
20.0,20,7.769735
24.0,24,7.785455
56.0,56,7.821861
30.0,30,7.8545
36.0,36,7.890183
48.0,48,7.93581
22.0,22,7.960965
24.0,24,7.979701
34.0,34,8.006984
37.0,37,8.04607
74.0,74,8.110291
92.0,92,8.179812
12.0,12,8.198267
72.0,72,8.246296
30.0,30,8.2773
19.0,19,8.297013
91.0,91,8.36194
26.0,26,8.386982
28.0,28,8.416862
43.0,43,8.456281
54.0,54,8.501624
44.0,44,8.537775
38.0,38,8.574213
49.0,49,8.616272
33.0,33,8.650752
32.0,32,8.680694
19.0,19,8.693824
16.0,16,8.704179
54.0,54,8.748957
14.0,14,8.75818
19.0,19,8.771108
16.0,16,8.782842
21.0,21,10.023835
13.0,13,10.036034
70.0,70,10.083466
51.0,51,10.118418
65.0,65,10.162736
20.0,20,10.185529
161.0,161,10.299082
109.0,109,10.380836
120.0,120,10.469254
41.0,41,10.503276
46.0,46,10.548114
19.0,19,10.570801
28.0,28,10.587867
54.0,54,10.625031
101.0,101,10.702667
22.0,22,10.725511
21.0,21,10.75056
61.0,61,10.793914
39.0,39,10.833687
48.0,48,10.885585
61.0,61,10.943547
89.0,89,11.03193
102.0,102,11.117547
79.0,79,11.180631
34.0,34,11.217195
40.0,40,11.243521
78.0,78,11.305717
41.0,41,11.342316
12.0,12,11.358393
55.0,55,11.400348
35.0,35,11.426172
29.0,29,11.55506
20.0,20,11.588163
47.0,47,11.626058
19.0,19,11.65548
53.0,53,11.722172
59.0,59,11.767956
131.0,131,12.959312
54.0,54,13.01485
62.0,62,13.071981
113.0,113,13.154884
57.0,57,13.199323
52.0,52,13.246273
20.0,20,13.270509
48.0,48,13.311266
20.0,20,13.334963
52.0,52,13.370732
67.0,67,13.421381
81.0,81,13.486048
58.0,58,13.530636
110.0,110,13.607255
40.0,40,13.640546
27.0,27,13.670116
22.0,22,13.686213
152.0,152,13.785205
138.0,138,13.88424
20.0,20,13.908536
62.0,62,13.969686
83.0,83,14.066136
131.0,131,14.314478
16.0,16,14.350613
40.0,40,14.400835
17.0,17,14.448614
74.0,74,14.544791
91.0,91,14.667599
58.0,58,14.749564
36.0,36,14.787423
12.0,12,14.798087
178.0,178,15.020219
14.0,14,15.054271
68.0,68,16.281271
117.0,117,16.37129
53.0,53,16.414525
39.0,39,16.450408
82.0,82,16.505371
91.0,91,16.572424
49.0,49,16.614457
80.0,80,16.678829
32.0,32,16.709833
82.0,82,16.767283
19.0,19,16.779289
213.0,213,16.916009
111.0,111,16.994438
146.0,146,17.102015
101.0,101,17.181523
112.0,112,17.268232
33.0,33,17.302086
51.0,51,17.346506
55.0,55,17.393619
50.0,50,17.448659
59.0,59,17.504854
28.0,28,17.531377
89.0,89,17.590419
60.0,60,17.642555
61.0,61,17.690472
36.0,36,17.729014
37.0,37,17.765081
246.0,246,18.926893
67.0,67,18.978427
156.0,156,19.078352
60.0,60,19.127073
200.0,200,19.255067
55.0,55,19.296214
36.0,36,19.32743
55.0,55,19.377148
180.0,180,19.59613
41.0,41,19.679469
55.0,55,19.747821
64.0,64,19.977406
157.0,157,20.182703
191.0,191,20.41315
74.0,74,20.516318
14.0,14,20.547853
169.0,169,20.740843
195.0,195,20.993185
129.0,129,21.127359
129.0,129,22.408931
165.0,165,22.53327
198.0,198,22.668988
77.0,77,22.729939
140.0,140,22.823636
168.0,168,22.946046
201.0,201,23.087802
122.0,122,23.183591
22.0,22,23.209578
149.0,149,23.315188
177.0,177,23.431898
166.0,166,23.565324
22.0,22,23.585996
30.0,30,23.618
46.0,46,23.649756
80.0,80,23.70253
291.0,291,25.201293
58.0,58,25.252422
124.0,124,25.34532
160.0,160,25.460093
144.0,144,25.557819
48.0,48,25.598828
157.0,157,25.698561
98.0,98,25.773344
