#{"t_start": 1747230312.179242, "env_id": "None"}
r,l,t
18.0,18,1.097959
21.0,21,1.129857
35.0,35,1.18187
20.0,20,1.224253
14.0,14,1.24371
15.0,15,1.268245
48.0,48,1.324296
17.0,17,1.341075
18.0,18,1.362862
44.0,44,1.403785
9.0,9,1.419493
13.0,13,1.431704
20.0,20,1.450193
73.0,73,1.500671
13.0,13,1.517608
36.0,36,1.539363
24.0,24,1.556515
16.0,16,1.576078
25.0,25,1.68662
24.0,24,1.721024
23.0,23,1.747174
30.0,30,1.777172
20.0,20,1.805625
24.0,24,1.842381
15.0,15,1.86605
24.0,24,1.908847
22.0,22,1.963681
12.0,12,1.984443
45.0,45,2.059815
33.0,33,2.116039
11.0,11,2.130104
16.0,16,2.152535
19.0,19,2.184507
15.0,15,2.209058
19.0,19,2.244296
14.0,14,2.266235
70.0,70,2.366554
12.0,12,2.378787
11.0,11,2.396106
13.0,13,2.405898
14.0,14,2.428467
26.0,26,2.447814
11.0,11,2.456595
10.0,10,2.470157
23.0,23,2.490877
13.0,13,2.505316
19.0,19,2.524121
12.0,12,2.536547
17.0,17,2.56142
15.0,15,2.579637
25.0,25,2.615139
22.0,22,2.635995
14.0,14,2.649964
12.0,12,2.656705
13.0,13,2.667231
10.0,10,2.673738
48.0,48,2.708478
74.0,74,2.786871
20.0,20,2.800165
26.0,26,2.821712
21.0,21,2.840228
17.0,17,2.856766
14.0,14,2.875467
14.0,14,2.900987
18.0,18,2.919531
30.0,30,2.957052
27.0,27,2.991614
24.0,24,3.018395
14.0,14,3.033619
26.0,26,3.060466
45.0,45,3.101671
16.0,16,3.113067
21.0,21,3.136134
16.0,16,3.153077
43.0,43,3.197665
15.0,15,3.212631
20.0,20,3.236441
28.0,28,3.267129
22.0,22,3.29928
15.0,15,3.310834
29.0,29,3.34887
18.0,18,3.369099
37.0,37,3.40475
27.0,27,3.428973
17.0,17,3.444562
16.0,16,3.457886
59.0,59,3.506111
24.0,24,3.522048
22.0,22,4.747921
15.0,15,4.754922
18.0,18,4.770825
14.0,14,4.780748
32.0,32,4.798737
39.0,39,4.821837
11.0,11,4.830677
39.0,39,4.853855
