#{"t_start": 1747226889.6505518, "env_id": "None"}
r,l,t
18.0,18,7.539956
21.0,21,7.567825
35.0,35,7.598416
20.0,20,7.620862
14.0,14,7.631881
15.0,15,7.651736
48.0,48,7.687263
17.0,17,7.701727
18.0,18,7.715013
44.0,44,7.73755
9.0,9,7.754472
13.0,13,7.765556
20.0,20,7.784686
73.0,73,7.837423
13.0,13,7.855228
36.0,36,7.91119
24.0,24,7.931769
16.0,16,7.945754
25.0,25,7.958734
24.0,24,7.965202
23.0,23,7.988123
30.0,30,8.032506
20.0,20,8.055827
24.0,24,8.065267
15.0,15,8.083902
24.0,24,8.099226
22.0,22,8.10482
12.0,12,8.121344
45.0,45,8.152584
33.0,33,8.171889
11.0,11,8.182639
16.0,16,8.18809
19.0,19,8.204317
15.0,15,8.213871
19.0,19,8.220572
14.0,14,8.237899
70.0,70,8.288261
12.0,12,8.299079
11.0,11,8.299079
13.0,13,8.317945
14.0,14,8.321139
26.0,26,8.332429
11.0,11,8.354825
10.0,10,8.354825
23.0,23,8.365714
13.0,13,8.386878
19.0,19,8.403521
12.0,12,8.405643
17.0,17,8.420716
15.0,15,8.437918
25.0,25,8.454988
22.0,22,8.471561
14.0,14,8.487182
12.0,12,8.488272
13.0,13,8.505312
10.0,10,8.517316
48.0,48,8.550175
74.0,74,8.599142
20.0,20,8.619077
26.0,26,8.635728
21.0,21,8.651069
17.0,17,8.655336
14.0,14,8.67208
14.0,14,8.683182
18.0,18,8.698758
30.0,30,8.720621
27.0,27,8.738618
24.0,24,8.755088
14.0,14,8.766818
26.0,26,8.78528
45.0,45,8.816819
16.0,16,8.827425
21.0,21,8.839474
16.0,16,8.849831
43.0,43,8.892932
15.0,15,8.903569
20.0,20,8.924042
28.0,28,8.94951
22.0,22,8.971902
15.0,15,8.988061
29.0,29,9.000078
18.0,18,9.021872
37.0,37,9.056376
27.0,27,9.073114
17.0,17,9.083513
16.0,16,9.103217
59.0,59,9.139151
24.0,24,9.155931
22.0,22,10.441672
15.0,15,10.458555
18.0,18,10.467839
14.0,14,10.48554
32.0,32,10.50622
39.0,39,10.551743
11.0,11,10.551743
39.0,39,10.594978
21.0,21,10.606894
42.0,42,10.640243
11.0,11,10.651449
17.0,17,10.670684
13.0,13,10.677561
15.0,15,10.691915
29.0,29,10.721525
61.0,61,10.785107
14.0,14,10.796347
34.0,34,10.831987
17.0,17,10.842216
19.0,19,10.873924
26.0,26,10.904883
12.0,12,10.91978
23.0,23,10.940799
16.0,16,10.961375
18.0,18,10.979552
11.0,11,10.993041
26.0,26,11.023318
77.0,77,11.09892
23.0,23,11.116138
18.0,18,11.135604
12.0,12,11.145655
10.0,10,11.155871
10.0,10,11.155871
15.0,15,11.174776
39.0,39,11.207731
18.0,18,11.225181
26.0,26,11.235368
43.0,43,11.277157
16.0,16,11.284477
18.0,18,11.303034
23.0,23,11.318114
36.0,36,11.343745
9.0,9,11.354993
34.0,34,11.379218
18.0,18,11.390179
26.0,26,11.407578
14.0,14,11.422285
14.0,14,11.423346
46.0,46,11.466807
30.0,30,11.49055
11.0,11,11.49055
19.0,19,11.501948
13.0,13,11.523996
31.0,31,11.535153
32.0,32,11.569811
16.0,16,11.575125
28.0,28,11.590029
12.0,12,11.607881
9.0,9,11.607881
15.0,15,11.625221
20.0,20,11.636484
20.0,20,11.65647
30.0,30,11.685449
21.0,21,11.701448
37.0,37,11.723814
14.0,14,11.741098
17.0,17,11.752558
15.0,15,11.752558
45.0,45,11.791115
12.0,12,11.802949
30.0,30,11.83731
14.0,14,11.847156
37.0,37,11.880698
23.0,23,11.904419
70.0,70,11.95662
36.0,36,11.987609
18.0,18,12.004509
11.0,11,12.00654
15.0,15,12.024684
14.0,14,12.037861
