#{"t_start": 1747226930.3299782, "env_id": "None"}
r,l,t
18.0,18,0.087058
21.0,21,0.110407
35.0,35,0.139256
20.0,20,0.155469
14.0,14,0.166059
15.0,15,0.166059
48.0,48,0.205618
17.0,17,0.216374
18.0,18,0.216374
44.0,44,0.256531
9.0,9,0.270075
13.0,13,0.275765
20.0,20,0.289403
73.0,73,0.333749
13.0,13,0.355428
36.0,36,0.372568
24.0,24,0.382835
16.0,16,0.404828
25.0,25,0.415821
24.0,24,0.434483
23.0,23,0.439004
30.0,30,0.466875
20.0,20,0.472598
24.0,24,0.490902
15.0,15,0.509234
24.0,24,0.516599
22.0,22,0.538725
12.0,12,0.539852
45.0,45,0.572917
33.0,33,0.605628
11.0,11,0.605628
16.0,16,0.622399
19.0,19,0.638249
15.0,15,0.639372
19.0,19,0.656248
14.0,14,0.674969
70.0,70,0.727639
12.0,12,0.743418
11.0,11,0.761136
13.0,13,0.772312
14.0,14,0.800227
26.0,26,0.823593
11.0,11,0.842185
10.0,10,0.858015
23.0,23,0.890413
13.0,13,0.907644
19.0,19,0.937506
12.0,12,0.955551
17.0,17,1.036201
15.0,15,1.076079
25.0,25,1.168375
22.0,22,1.209158
14.0,14,1.236985
12.0,12,1.254794
13.0,13,1.273513
10.0,10,1.28564
48.0,48,1.334749
74.0,74,1.417849
20.0,20,1.446315
26.0,26,1.47328
21.0,21,1.502907
17.0,17,1.521724
14.0,14,1.537491
14.0,14,1.554515
18.0,18,1.574846
30.0,30,1.630101
27.0,27,1.673012
24.0,24,1.714016
14.0,14,1.744093
26.0,26,1.784991
45.0,45,1.849413
16.0,16,1.871588
21.0,21,1.900496
16.0,16,1.922591
43.0,43,1.972232
15.0,15,1.991233
20.0,20,2.002247
28.0,28,2.036925
22.0,22,2.057698
15.0,15,2.074731
29.0,29,2.091675
18.0,18,2.106864
37.0,37,2.140437
27.0,27,2.166312
17.0,17,2.174882
16.0,16,2.190783
59.0,59,2.246945
24.0,24,2.26622
22.0,22,3.436177
15.0,15,3.446726
18.0,18,3.461221
14.0,14,3.474359
32.0,32,3.498797
39.0,39,3.532104
11.0,11,3.541442
39.0,39,3.573443
21.0,21,3.591207
42.0,42,3.623838
11.0,11,3.629953
17.0,17,3.645305
13.0,13,3.657273
15.0,15,3.670769
29.0,29,3.703176
61.0,61,3.753562
14.0,14,3.763623
34.0,34,3.791918
17.0,17,3.806394
19.0,19,3.822431
26.0,26,3.840336
12.0,12,3.842529
23.0,23,3.852846
16.0,16,3.875382
18.0,18,3.892312
11.0,11,3.898345
26.0,26,3.92135
77.0,77,3.972147
23.0,23,3.989873
18.0,18,3.997107
12.0,12,4.009613
10.0,10,4.009613
10.0,10,4.023604
15.0,15,4.036537
39.0,39,4.053087
18.0,18,4.074555
26.0,26,4.094367
43.0,43,4.120906
16.0,16,4.125372
18.0,18,4.143403
23.0,23,4.159986
36.0,36,4.188019
9.0,9,4.192339
34.0,34,4.214182
18.0,18,4.224063
26.0,26,4.251107
14.0,14,4.260126
14.0,14,4.271097
46.0,46,4.303316
30.0,30,4.324578
11.0,11,4.330646
19.0,19,4.348078
13.0,13,4.358678
31.0,31,4.377997
32.0,32,4.409032
16.0,16,4.421167
28.0,28,4.44004
12.0,12,4.448087
9.0,9,4.456833
15.0,15,4.470178
20.0,20,4.483043
20.0,20,4.49629
30.0,30,4.521557
21.0,21,4.536901
37.0,37,4.562699
14.0,14,4.574289
17.0,17,4.58981
15.0,15,4.599859
45.0,45,4.633851
12.0,12,4.643937
30.0,30,4.672049
14.0,14,4.681688
37.0,37,4.714664
23.0,23,4.737857
70.0,70,4.788572
36.0,36,4.808403
18.0,18,4.829146
11.0,11,4.84747
15.0,15,4.865495
14.0,14,4.878784
15.0,15,4.891351
26.0,26,4.912553
20.0,20,4.923269
14.0,14,4.942412
17.0,17,4.956862
18.0,18,4.972696
23.0,23,4.992453
11.0,11,5.00065
