#{"t_start": 1747226414.0940485, "env_id": "None"}
r,l,t
21.0,21,0.025911
11.0,11,0.037589
12.0,12,0.048654
14.0,14,0.057049
63.0,63,0.096309
54.0,54,0.130053
18.0,18,0.155818
25.0,25,0.163003
19.0,19,0.182009
36.0,36,0.190172
29.0,29,0.213179
16.0,16,0.230248
19.0,19,0.24201
10.0,10,0.24201
23.0,23,0.262079
15.0,15,0.279288
15.0,15,0.288536
26.0,26,0.309078
35.0,35,0.328995
18.0,18,0.34563
18.0,18,0.360314
23.0,23,0.377813
18.0,18,0.393616
17.0,17,0.405313
16.0,16,0.412262
42.0,42,0.446042
13.0,13,0.462812
14.0,14,0.477987
20.0,20,0.494668
41.0,41,0.527236
11.0,11,0.529347
17.0,17,0.547315
22.0,22,0.576954
10.0,10,0.596402
38.0,38,0.629157
19.0,19,0.647459
14.0,14,0.659434
50.0,50,0.705482
27.0,27,0.728795
23.0,23,0.743577
15.0,15,0.760128
11.0,11,0.768315
21.0,21,0.774482
43.0,43,0.814872
12.0,12,0.824898
12.0,12,0.824898
29.0,29,0.862622
26.0,26,0.880941
31.0,31,0.989752
13.0,13,1.018682
18.0,18,1.049801
39.0,39,1.074906
11.0,11,1.090958
18.0,18,1.110206
31.0,31,1.129566
52.0,52,1.175408
10.0,10,1.175408
14.0,14,1.197524
10.0,10,1.209371
20.0,20,1.226212
8.0,8,1.230747
16.0,16,1.245933
35.0,35,1.264701
15.0,15,1.281189
20.0,20,1.297667
23.0,23,1.31505
12.0,12,1.325792
29.0,29,1.346632
21.0,21,1.363265
20.0,20,1.376968
22.0,22,1.392477
32.0,32,1.414184
19.0,19,1.430605
11.0,11,1.431728
15.0,15,1.44856
19.0,19,1.463197
14.0,14,1.472976
23.0,23,1.489665
13.0,13,1.514562
15.0,15,1.530408
25.0,25,1.564485
18.0,18,1.607448
25.0,25,1.644969
23.0,23,1.675223
13.0,13,1.70639
18.0,18,1.731312
35.0,35,1.775328
63.0,63,1.87326
12.0,12,1.896102
10.0,10,1.911895
13.0,13,1.923372
25.0,25,1.948751
24.0,24,3.088936
25.0,25,3.1204
24.0,24,3.143293
24.0,24,3.159851
19.0,19,3.18121
37.0,37,3.21441
38.0,38,3.248007
23.0,23,3.266991
17.0,17,3.276922
16.0,16,3.295738
15.0,15,3.299124
18.0,18,3.316672
45.0,45,3.360204
16.0,16,3.360204
16.0,16,3.381404
15.0,15,3.3968
21.0,21,3.413528
15.0,15,3.416764
16.0,16,3.428051
30.0,30,3.463087
11.0,11,3.46635
28.0,28,3.485728
28.0,28,3.515064
9.0,9,3.518447
25.0,25,3.534042
49.0,49,3.577087
94.0,94,3.647915
18.0,18,3.662025
54.0,54,3.696707
18.0,18,3.71279
13.0,13,3.71612
14.0,14,3.731317
26.0,26,3.748108
16.0,16,3.762758
25.0,25,3.779217
18.0,18,3.803459
38.0,38,3.828196
19.0,19,3.850252
24.0,24,3.866732
10.0,10,3.866732
57.0,57,3.93527
11.0,11,3.948666
27.0,27,3.972575
34.0,34,4.032925
27.0,27,4.064561
13.0,13,4.080749
43.0,43,4.11063
16.0,16,4.128419
27.0,27,4.147054
16.0,16,4.150743
31.0,31,4.17742
40.0,40,4.199704
26.0,26,4.216995
22.0,22,4.233019
19.0,19,4.250375
14.0,14,4.266483
35.0,35,4.291918
33.0,33,4.313613
13.0,13,4.319208
13.0,13,4.32762
107.0,107,4.409899
56.0,56,4.448792
19.0,19,4.464803
22.0,22,4.47656
19.0,19,4.496087
30.0,30,4.516155
73.0,73,4.560007
27.0,27,4.581681
14.0,14,4.593318
14.0,14,4.593318
47.0,47,4.635954
19.0,19,4.650825
14.0,14,4.661693
21.0,21,4.678699
32.0,32,4.700612
18.0,18,4.715473
13.0,13,4.717591
50.0,50,5.712527
22.0,22,5.729492
49.0,49,5.76159
57.0,57,5.794278
29.0,29,5.820256
39.0,39,5.848245
28.0,28,5.866609
30.0,30,5.8847
27.0,27,5.910262
16.0,16,5.922723
37.0,37,5.950395
15.0,15,5.962248
14.0,14,5.971853
53.0,53,6.011016
73.0,73,6.062174
26.0,26,6.081822
18.0,18,6.095655
16.0,16,6.095655
31.0,31,6.126827
70.0,70,6.178892
70.0,70,6.227893
30.0,30,6.251268
43.0,43,6.278591
20.0,20,6.301709
24.0,24,6.312091
56.0,56,6.361364
30.0,30,6.38768
36.0,36,6.428887
48.0,48,6.478241
22.0,22,6.495548
24.0,24,6.517785
34.0,34,6.546496
37.0,37,6.578964
74.0,74,6.643789
92.0,92,6.722962
12.0,12,6.752283
72.0,72,6.844744
30.0,30,6.905588
19.0,19,6.934412
91.0,91,7.029868
26.0,26,7.054661
28.0,28,7.079483
43.0,43,7.129761
54.0,54,7.179332
44.0,44,7.212623
38.0,38,7.251937
49.0,49,7.296619
33.0,33,7.338075
32.0,32,7.384985
19.0,19,7.402256
16.0,16,7.413316
54.0,54,7.46223
14.0,14,7.469706
19.0,19,7.485825
16.0,16,7.50471
21.0,21,8.807426
13.0,13,8.834917
70.0,70,8.881636
51.0,51,8.930482
65.0,65,8.980141
20.0,20,9.007227
161.0,161,9.129007
109.0,109,9.236664
120.0,120,9.337112
41.0,41,9.364104
46.0,46,9.421635
19.0,19,9.446783
28.0,28,9.468443
54.0,54,9.520293
101.0,101,9.614358
22.0,22,9.636882
21.0,21,9.67284
61.0,61,9.734509
39.0,39,9.78433
48.0,48,9.850679
61.0,61,9.928153
89.0,89,10.173536
102.0,102,10.321789
79.0,79,10.454864
34.0,34,10.5321
40.0,40,10.587435
78.0,78,10.721726
41.0,41,10.803529
12.0,12,10.849953
55.0,55,10.919186
35.0,35,10.960046
29.0,29,10.994524
20.0,20,11.016402
47.0,47,11.061417
19.0,19,11.072053
53.0,53,11.116402
59.0,59,11.171044
131.0,131,12.628719
54.0,54,12.683158
62.0,62,12.733897
113.0,113,12.830428
57.0,57,12.866785
52.0,52,12.922428
20.0,20,12.940392
48.0,48,12.985168
20.0,20,13.009638
52.0,52,13.049146
67.0,67,13.084151
81.0,81,13.159162
58.0,58,13.203872
110.0,110,13.283218
40.0,40,13.322968
27.0,27,13.357428
22.0,22,13.374954
152.0,152,13.49862
138.0,138,13.600239
20.0,20,13.637518
62.0,62,13.699663
83.0,83,13.768371
131.0,131,13.884894
16.0,16,13.921093
40.0,40,13.951849
17.0,17,13.973841
74.0,74,14.041928
91.0,91,14.150134
58.0,58,14.216784
36.0,36,14.24039
12.0,12,14.251707
178.0,178,14.418664
14.0,14,14.441647
