#{"t_start": 1747227129.2511709, "env_id": "None"}
r,l,t
21.0,21,0.037532
11.0,11,0.052417
12.0,12,0.063133
14.0,14,0.071597
63.0,63,0.122435
76.0,76,0.187567
20.0,20,0.215095
14.0,14,0.224764
15.0,15,0.236913
14.0,14,0.24854
37.0,37,0.276576
18.0,18,0.289177
15.0,15,0.301829
13.0,13,0.312419
20.0,20,0.329326
11.0,11,0.336145
22.0,22,0.359458
29.0,29,0.381758
17.0,17,0.396572
21.0,21,0.415747
18.0,18,0.432104
18.0,18,0.44803
26.0,26,0.475633
22.0,22,0.496644
14.0,14,0.507202
17.0,17,0.527542
20.0,20,0.54609
15.0,15,0.561978
12.0,12,0.575775
22.0,22,0.601005
21.0,21,0.637738
30.0,30,0.669876
19.0,19,0.690214
47.0,47,0.742885
26.0,26,0.768735
10.0,10,0.780597
26.0,26,0.804219
41.0,41,0.841754
14.0,14,0.854445
21.0,21,0.880064
30.0,30,0.914118
15.0,15,0.928866
12.0,12,0.940114
31.0,31,0.978627
14.0,14,0.996848
21.0,21,1.020566
13.0,13,1.033851
17.0,17,1.054629
51.0,51,1.116637
11.0,11,1.128402
26.0,26,1.159461
32.0,32,1.191834
26.0,26,1.215297
10.0,10,1.240511
14.0,14,1.265861
20.0,20,1.288259
14.0,14,1.319291
16.0,16,1.34846
10.0,10,1.369701
16.0,16,1.390619
22.0,22,1.445793
21.0,21,1.497495
14.0,14,1.518106
29.0,29,1.577322
17.0,17,1.63787
12.0,12,1.666986
24.0,24,1.738939
15.0,15,1.783546
12.0,12,1.812136
21.0,21,1.848954
12.0,12,1.866411
13.0,13,1.884447
21.0,21,1.919698
20.0,20,1.943966
21.0,21,1.975121
18.0,18,1.999313
42.0,42,2.062369
37.0,37,2.110111
14.0,14,2.128317
17.0,17,2.155029
16.0,16,2.175394
14.0,14,2.197544
11.0,11,2.219507
39.0,39,2.420058
48.0,48,2.582239
40.0,40,2.689464
28.0,28,2.743825
13.0,13,2.760785
25.0,25,2.796654
17.0,17,2.822554
57.0,57,2.892204
9.0,9,2.900536
23.0,23,2.943565
19.0,19,4.307877
12.0,12,4.317669
36.0,36,4.354086
13.0,13,4.369148
22.0,22,4.391559
40.0,40,4.428023
22.0,22,4.450704
26.0,26,4.473298
11.0,11,4.484039
11.0,11,4.494888
30.0,30,4.528055
23.0,23,4.550821
12.0,12,4.560552
12.0,12,4.57142
17.0,17,4.589806
18.0,18,4.605943
35.0,35,4.6461
16.0,16,4.667074
20.0,20,4.688395
16.0,16,4.709878
