#{"t_start": 1747233891.5529013, "env_id": "None"}
r,l,t
18.0,18,0.732667
21.0,21,0.783126
35.0,35,0.837515
20.0,20,0.892088
14.0,14,0.914567
15.0,15,0.934953
48.0,48,1.010132
17.0,17,1.04296
18.0,18,1.070532
44.0,44,1.131872
9.0,9,1.15259
13.0,13,1.172912
20.0,20,1.203418
73.0,73,1.319697
13.0,13,1.363331
36.0,36,1.411266
24.0,24,1.4457
16.0,16,1.467997
25.0,25,1.510803
24.0,24,1.55061
23.0,23,1.585816
30.0,30,1.639375
20.0,20,1.676538
24.0,24,1.720781
15.0,15,1.751528
24.0,24,1.802723
22.0,22,1.842302
12.0,12,1.85505
45.0,45,1.920994
33.0,33,1.983164
11.0,11,2.000512
16.0,16,2.029929
19.0,19,2.057703
15.0,15,2.079189
19.0,19,2.115393
14.0,14,2.145183
70.0,70,2.267732
12.0,12,2.28848
11.0,11,2.315949
13.0,13,2.336427
14.0,14,2.356588
26.0,26,2.403059
11.0,11,2.422653
10.0,10,2.448314
23.0,23,2.48898
13.0,13,2.510334
19.0,19,2.533864
12.0,12,2.555541
17.0,17,2.579656
15.0,15,2.594719
25.0,25,2.625714
22.0,22,2.658811
14.0,14,2.679743
12.0,12,2.696608
13.0,13,2.717864
10.0,10,2.738301
48.0,48,2.796494
74.0,74,2.880233
20.0,20,2.90209
26.0,26,2.930327
21.0,21,2.948254
17.0,17,2.958929
14.0,14,2.971658
14.0,14,2.991263
18.0,18,3.008143
30.0,30,3.044182
27.0,27,3.088883
24.0,24,3.12246
14.0,14,3.146895
26.0,26,3.177274
45.0,45,3.236653
16.0,16,3.258427
21.0,21,3.283432
16.0,16,3.310378
43.0,43,3.385906
15.0,15,3.410068
20.0,20,3.443066
28.0,28,3.483599
22.0,22,3.518519
15.0,15,3.541469
29.0,29,3.579077
18.0,18,3.59524
37.0,37,3.705091
27.0,27,3.767458
17.0,17,3.788094
16.0,16,3.812342
59.0,59,3.890065
24.0,24,3.916882
22.0,22,5.301409
15.0,15,5.308574
18.0,18,5.321761
14.0,14,5.329151
32.0,32,5.349459
39.0,39,5.375163
12.0,12,5.38254
26.0,26,5.399643
21.0,21,5.412655
28.0,28,5.43716
18.0,18,5.448545
18.0,18,5.466792
16.0,16,5.484984
13.0,13,5.505845
33.0,33,5.554835
33.0,33,5.598598
14.0,14,5.61947
34.0,34,5.66352
16.0,16,5.68518
13.0,13,5.701474
19.0,19,5.724716
18.0,18,5.740839
20.0,20,5.787494
12.0,12,5.808982
13.0,13,5.825324
28.0,28,5.864905
9.0,9,5.877948
36.0,36,5.919287
32.0,32,5.960962
11.0,11,5.974869
13.0,13,5.993345
24.0,24,6.024273
21.0,21,6.058949
12.0,12,6.081817
26.0,26,6.118139
26.0,26,6.163198
13.0,13,6.189703
16.0,16,6.221241
14.0,14,6.257411
24.0,24,6.297067
19.0,19,6.331704
24.0,24,6.380864
12.0,12,6.405022
35.0,35,6.475187
15.0,15,6.49919
19.0,19,6.532274
73.0,73,6.67058
14.0,14,6.694413
26.0,26,6.762414
48.0,48,6.859105
16.0,16,6.881409
21.0,21,6.911324
22.0,22,6.942665
14.0,14,6.966561
61.0,61,7.038448
15.0,15,7.058541
27.0,27,7.088924
70.0,70,7.171556
11.0,11,7.179228
14.0,14,7.194665
18.0,18,7.217999
20.0,20,7.239197
30.0,30,7.272205
29.0,29,7.305648
23.0,23,7.335173
14.0,14,7.345656
25.0,25,7.37751
39.0,39,7.409638
12.0,12,7.419331
20.0,20,7.452298
21.0,21,7.474884
20.0,20,7.509395
16.0,16,7.530495
13.0,13,7.545533
39.0,39,7.580217
20.0,20,7.617643
37.0,37,7.73298
16.0,16,7.788044
15.0,15,7.831835
13.0,13,7.867348
29.0,29,7.926255
57.0,57,8.011033
31.0,31,8.064112
18.0,18,8.103655
15.0,15,8.141027
25.0,25,8.17926
40.0,40,8.254049
39.0,39,11.922279
13.0,13,11.947213
64.0,64,12.046443
25.0,25,12.084449
36.0,36,12.137295
32.0,32,12.175984
11.0,11,12.192981
17.0,17,12.215833
73.0,73,12.316793
9.0,9,12.348767
11.0,11,12.372333
18.0,18,12.436914
30.0,30,12.534781
28.0,28,12.624476
21.0,21,12.685785
12.0,12,12.720933
39.0,39,12.822769
32.0,32,12.884882
12.0,12,12.913005
16.0,16,12.948354
37.0,37,13.011235
21.0,21,13.054068
13.0,13,13.081606
47.0,47,13.150746
42.0,42,13.199125
16.0,16,13.214019
12.0,12,13.228318
48.0,48,13.289173
73.0,73,13.35071
11.0,11,13.362557
25.0,25,13.384107
22.0,22,13.404134
24.0,24,13.421578
16.0,16,13.433245
38.0,38,13.45767
17.0,17,13.469345
31.0,31,13.51519
11.0,11,13.522604
82.0,82,13.585419
40.0,40,13.628631
17.0,17,13.655342
23.0,23,13.677452
44.0,44,13.713155
16.0,16,13.783498
21.0,21,13.831443
29.0,29,13.880707
11.0,11,13.918744
24.0,24,13.952891
13.0,13,13.975369
53.0,53,14.054058
29.0,29,14.126936
11.0,11,14.176114
12.0,12,14.240568
30.0,30,14.357186
53.0,53,14.475433
15.0,15,14.520566
15.0,15,14.564437
21.0,21,14.587856
15.0,15,14.601847
24.0,24,14.632804
41.0,41,14.709815
39.0,39,14.779575
12.0,12,14.802716
14.0,14,14.831412
62.0,62,14.906508
13.0,13,14.934394
26.0,26,14.979487
28.0,28,15.019717
18.0,18,15.054801
18.0,18,15.138395
15.0,15,15.169724
17.0,17,15.204597
43.0,43,15.295186
57.0,57,15.388918
14.0,14,15.419013
21.0,21,18.680909
30.0,30,18.718111
44.0,44,18.799401
14.0,14,18.822004
15.0,15,18.858084
32.0,32,18.933525
21.0,21,18.985254
52.0,52,19.135731
29.0,29,19.186935
26.0,26,19.230174
37.0,37,19.338831
30.0,30,19.430617
43.0,43,19.57109
59.0,59,19.774975
32.0,32,19.901477
18.0,18,19.984214
13.0,13,20.031186
17.0,17,20.092767
15.0,15,20.14622
22.0,22,20.211406
57.0,57,20.389286
11.0,11,20.418483
27.0,27,20.49376
17.0,17,20.552
18.0,18,20.612764
24.0,24,20.685347
20.0,20,20.731495
13.0,13,20.766205
17.0,17,20.80724
18.0,18,20.849122
14.0,14,20.879583
21.0,21,20.930625
23.0,23,21.007239
57.0,57,21.104495
