#{"t_start": 1747228232.869713, "env_id": "None"}
r,l,t
18.0,18,1.317214
21.0,21,1.353516
35.0,35,1.41915
20.0,20,1.47013
14.0,14,1.511219
15.0,15,1.538787
48.0,48,1.616193
17.0,17,1.629876
18.0,18,1.67105
44.0,44,1.751093
9.0,9,1.790951
13.0,13,1.791971
20.0,20,1.904355
73.0,73,2.07668
13.0,13,2.107957
36.0,36,2.167106
24.0,24,2.217077
16.0,16,2.243445
25.0,25,2.284237
24.0,24,2.330283
23.0,23,2.367223
30.0,30,2.406611
20.0,20,2.4266
24.0,24,2.45413
15.0,15,2.471439
24.0,24,2.493875
22.0,22,2.507461
12.0,12,2.52512
45.0,45,2.568402
33.0,33,2.597245
11.0,11,2.60848
16.0,16,2.622809
19.0,19,2.640014
15.0,15,2.652589
19.0,19,2.667425
14.0,14,2.681404
70.0,70,2.73545
12.0,12,2.7518
11.0,11,2.763329
13.0,13,2.794655
14.0,14,2.808392
26.0,26,2.831602
11.0,11,2.842222
10.0,10,2.85321
23.0,23,2.871915
13.0,13,2.882701
19.0,19,2.896872
12.0,12,2.908242
17.0,17,2.924904
15.0,15,2.939386
25.0,25,2.957842
22.0,22,2.976676
14.0,14,2.989037
12.0,12,2.991069
13.0,13,3.007399
10.0,10,3.014292
48.0,48,3.052221
74.0,74,3.104257
20.0,20,3.117828
26.0,26,3.136812
21.0,21,3.154529
17.0,17,3.156545
14.0,14,3.174139
14.0,14,3.186621
18.0,18,3.201677
30.0,30,3.224888
27.0,27,3.242905
24.0,24,3.257479
14.0,14,3.273019
26.0,26,3.291992
45.0,45,3.323875
16.0,16,3.336483
21.0,21,3.351355
16.0,16,3.363391
43.0,43,3.386123
15.0,15,3.404688
20.0,20,3.420043
28.0,28,3.440529
22.0,22,3.454749
15.0,15,3.467089
29.0,29,3.487762
18.0,18,3.501497
37.0,37,3.527681
27.0,27,3.546355
17.0,17,3.557595
16.0,16,3.570117
59.0,59,3.611158
24.0,24,3.627903
44.0,44,4.574526
18.0,18,4.577111
21.0,21,4.596483
14.0,14,4.607464
63.0,63,4.640389
34.0,34,4.658103
19.0,19,4.670549
53.0,53,4.701541
17.0,17,4.710486
24.0,24,4.725304
51.0,51,4.759229
32.0,32,4.777253
40.0,40,4.802492
32.0,32,4.823604
30.0,30,4.842415
13.0,13,4.851585
19.0,19,4.865088
12.0,12,4.875593
24.0,24,4.890846
19.0,19,4.904535
13.0,13,4.913912
27.0,27,4.927821
15.0,15,4.94116
39.0,39,4.96463
15.0,15,4.983906
12.0,12,4.998596
24.0,24,5.01862
15.0,15,5.035164
23.0,23,5.042915
27.0,27,5.074026
78.0,78,5.154002
13.0,13,5.164382
28.0,28,5.194387
46.0,46,5.238458
14.0,14,5.239469
23.0,23,5.268803
17.0,17,5.288494
87.0,87,5.377477
21.0,21,5.397623
33.0,33,5.429062
28.0,28,5.459685
22.0,22,5.480966
38.0,38,5.517442
81.0,81,5.581594
21.0,21,5.595986
15.0,15,5.610427
13.0,13,5.622855
16.0,16,5.633865
47.0,47,5.676558
63.0,63,5.728935
17.0,17,5.749012
22.0,22,5.781769
40.0,40,5.825364
58.0,58,5.879949
20.0,20,5.90524
25.0,25,5.959709
74.0,74,6.030916
17.0,17,6.057292
31.0,31,6.089359
18.0,18,6.111527
15.0,15,6.143427
14.0,14,6.158571
54.0,54,6.207451
44.0,44,6.248774
24.0,24,6.279797
25.0,25,6.309628
24.0,24,6.337174
18.0,18,6.361138
32.0,32,7.628935
38.0,38,7.650255
73.0,73,7.688499
33.0,33,7.725011
45.0,45,7.765657
15.0,15,7.785642
77.0,77,7.829145
12.0,12,7.840311
24.0,24,7.867521
65.0,65,7.905238
22.0,22,7.943326
56.0,56,7.977157
19.0,19,7.995184
22.0,22,8.021965
24.0,24,8.042834
21.0,21,8.058917
39.0,39,8.093129
37.0,37,8.122133
26.0,26,8.159893
19.0,19,8.177196
14.0,14,8.188671
106.0,106,8.280768
19.0,19,8.304375
12.0,12,8.314859
57.0,57,8.453997
19.0,19,8.490059
27.0,27,8.53179
86.0,86,8.590897
50.0,50,8.644441
29.0,29,8.678181
40.0,40,8.713079
13.0,13,8.722826
24.0,24,8.739384
14.0,14,8.750154
64.0,64,8.797412
54.0,54,8.833554
23.0,23,8.861747
131.0,131,8.946289
20.0,20,8.964681
20.0,20,8.996396
21.0,21,9.015235
14.0,14,9.029028
29.0,29,9.051115
27.0,27,9.073909
20.0,20,9.089576
16.0,16,9.097072
20.0,20,9.125785
22.0,22,9.150478
32.0,32,9.176447
13.0,13,9.181588
14.0,14,9.198353
64.0,64,9.250634
13.0,13,9.260695
46.0,46,9.294987
24.0,24,9.314766
20.0,20,9.328673
17.0,17,9.341839
39.0,39,9.373187
12.0,12,9.38871
54.0,54,9.428613
59.0,59,10.566699
113.0,113,10.64316
58.0,58,10.692699
47.0,47,10.719932
64.0,64,10.758756
53.0,53,10.806659
124.0,124,10.88524
53.0,53,10.926072
30.0,30,10.954446
84.0,84,11.012249
32.0,32,11.033633
27.0,27,11.060836
13.0,13,11.064742
21.0,21,11.082763
17.0,17,11.092554
33.0,33,11.117997
37.0,37,11.142229
54.0,54,11.179838
48.0,48,11.214886
34.0,34,11.243763
31.0,31,11.278347
17.0,17,11.290244
12.0,12,11.300935
123.0,123,11.391836
39.0,39,11.424474
82.0,82,11.475347
22.0,22,11.499575
61.0,61,11.542593
23.0,23,11.57835
21.0,21,11.59458
34.0,34,11.614766
74.0,74,11.668869
27.0,27,11.698071
21.0,21,11.71429
60.0,60,11.78938
32.0,32,11.844571
67.0,67,11.904244
40.0,40,11.962394
46.0,46,12.015804
22.0,22,12.0518
43.0,43,12.117353
24.0,24,12.167985
19.0,19,12.190333
18.0,18,12.213656
151.0,151,13.731644
59.0,59,13.800568
34.0,34,13.836071
39.0,39,13.865661
25.0,25,13.88558
85.0,85,13.956933
50.0,50,14.00202
35.0,35,14.037579
39.0,39,14.069275
107.0,107,14.161785
13.0,13,14.185784
88.0,88,14.254665
15.0,15,14.272622
103.0,103,14.370786
20.0,20,14.406286
56.0,56,14.468528
55.0,55,14.51922
16.0,16,14.549271
35.0,35,14.581233
67.0,67,14.636953
102.0,102,14.710639
18.0,18,14.732214
50.0,50,14.764533
66.0,66,14.937502
125.0,125,15.045669
93.0,93,15.131155
129.0,129,15.229955
44.0,44,15.26963
85.0,85,15.350255
