#{"t_start": 1747226720.4708557, "env_id": "None"}
r,l,t
18.0,18,1.467271
21.0,21,1.545645
35.0,35,1.602543
20.0,20,1.634273
14.0,14,1.636861
15.0,15,1.659682
48.0,48,1.708328
17.0,17,1.724502
18.0,18,1.740718
44.0,44,1.779633
9.0,9,1.791251
13.0,13,1.808136
20.0,20,1.825949
73.0,73,1.880527
13.0,13,1.903985
36.0,36,1.940778
24.0,24,1.960744
16.0,16,1.9783
25.0,25,2.002522
24.0,24,2.041997
23.0,23,2.073603
30.0,30,2.109427
20.0,20,2.125002
24.0,24,2.160946
15.0,15,2.180743
24.0,24,2.216926
22.0,22,2.240373
12.0,12,2.25216
45.0,45,2.292483
33.0,33,2.338222
11.0,11,2.355903
16.0,16,2.376626
19.0,19,2.395152
15.0,15,2.413115
19.0,19,2.436429
14.0,14,2.452229
70.0,70,2.508021
12.0,12,2.518278
11.0,11,2.528448
13.0,13,2.539885
14.0,14,2.553777
26.0,26,2.575045
11.0,11,2.586062
10.0,10,2.595614
23.0,23,2.614588
13.0,13,2.626867
19.0,19,2.645263
12.0,12,2.65487
17.0,17,2.669495
15.0,15,2.680103
25.0,25,2.702867
22.0,22,2.725874
14.0,14,2.739547
12.0,12,2.750666
13.0,13,2.763284
10.0,10,2.771633
48.0,48,2.808754
74.0,74,2.852927
20.0,20,2.877807
26.0,26,2.896838
21.0,21,2.913003
17.0,17,2.941782
14.0,14,2.984597
14.0,14,3.02575
18.0,18,3.05957
30.0,30,3.114129
27.0,27,3.145401
24.0,24,3.169239
14.0,14,3.187242
26.0,26,3.212586
45.0,45,3.272309
16.0,16,3.291231
21.0,21,3.32627
16.0,16,3.348984
43.0,43,3.430844
15.0,15,3.454727
20.0,20,3.496702
28.0,28,3.536067
22.0,22,3.575345
15.0,15,3.601924
29.0,29,3.695887
18.0,18,3.732074
37.0,37,3.813169
27.0,27,3.849937
17.0,17,3.880221
16.0,16,3.922036
59.0,59,4.023572
24.0,24,4.043808
44.0,44,5.406001
18.0,18,5.420757
21.0,21,5.441354
14.0,14,5.441354
63.0,63,5.4917
34.0,34,5.512008
19.0,19,5.530861
53.0,53,5.571969
17.0,17,5.586402
24.0,24,5.605356
51.0,51,5.644354
32.0,32,5.661855
40.0,40,5.706817
32.0,32,5.731674
30.0,30,5.754297
13.0,13,5.764908
19.0,19,5.781289
12.0,12,5.791102
24.0,24,5.809745
19.0,19,5.825307
13.0,13,5.827418
27.0,27,5.854417
15.0,15,5.864682
39.0,39,5.896914
15.0,15,5.906546
12.0,12,5.918015
