#{"t_start": 1747230372.8312325, "env_id": "None"}
r,l,t
18.0,18,6.685563
21.0,21,6.717804
35.0,35,6.751408
20.0,20,6.774997
14.0,14,6.787782
15.0,15,6.802267
48.0,48,6.836619
17.0,17,6.846758
18.0,18,6.854911
44.0,44,6.884696
9.0,9,6.901154
13.0,13,6.909849
20.0,20,6.921234
73.0,73,6.964263
13.0,13,6.979757
36.0,36,7.001907
24.0,24,7.018452
16.0,16,7.038743
25.0,25,7.055745
24.0,24,7.086073
23.0,23,7.172397
30.0,30,7.225614
20.0,20,7.239647
24.0,24,7.282796
15.0,15,7.308611
24.0,24,7.363928
22.0,22,7.401304
12.0,12,7.41139
45.0,45,7.459475
33.0,33,7.503612
11.0,11,7.519668
16.0,16,7.544677
19.0,19,7.571251
15.0,15,7.589197
19.0,19,7.613739
14.0,14,7.627747
70.0,70,7.711169
12.0,12,7.726984
11.0,11,7.751191
13.0,13,7.769197
14.0,14,7.789306
26.0,26,7.817642
11.0,11,7.828297
10.0,10,7.834823
23.0,23,7.853664
13.0,13,7.865469
19.0,19,7.88672
12.0,12,7.900649
17.0,17,7.926297
15.0,15,7.938979
25.0,25,7.967226
22.0,22,7.987402
14.0,14,8.003827
12.0,12,8.01758
13.0,13,8.03468
10.0,10,8.044694
48.0,48,8.093334
74.0,74,8.17369
20.0,20,8.2026
26.0,26,8.23603
21.0,21,8.270452
17.0,17,8.292301
14.0,14,8.365522
14.0,14,8.415557
18.0,18,8.450554
30.0,30,8.498947
27.0,27,8.523001
24.0,24,8.562681
14.0,14,8.58662
26.0,26,8.618295
45.0,45,8.668225
16.0,16,8.68273
21.0,21,8.697067
16.0,16,8.70805
43.0,43,8.739189
15.0,15,8.75138
20.0,20,8.763824
28.0,28,8.788255
22.0,22,8.810264
15.0,15,8.825786
29.0,29,8.852617
18.0,18,8.868727
37.0,37,8.89696
27.0,27,8.923778
17.0,17,8.940709
16.0,16,8.954216
59.0,59,9.000649
24.0,24,9.019843
22.0,22,10.320748
15.0,15,10.329074
18.0,18,10.344369
14.0,14,10.359206
32.0,32,10.391431
39.0,39,10.439171
11.0,11,10.446478
39.0,39,10.489137
21.0,21,10.513355
42.0,42,10.555578
11.0,11,10.568335
17.0,17,10.576765
13.0,13,10.589022
15.0,15,10.603073
29.0,29,10.63678
61.0,61,10.699902
14.0,14,10.710903
34.0,34,10.74502
17.0,17,10.763014
19.0,19,10.785006
26.0,26,10.822537
12.0,12,10.838891
23.0,23,10.86681
16.0,16,10.875505
18.0,18,10.898491
11.0,11,10.912243
26.0,26,10.941958
77.0,77,11.022478
23.0,23,11.046673
18.0,18,11.073631
12.0,12,11.086362
10.0,10,11.096046
10.0,10,11.103959
15.0,15,11.117045
39.0,39,11.161154
18.0,18,11.175567
26.0,26,11.191993
43.0,43,11.227224
16.0,16,11.241627
18.0,18,11.256531
23.0,23,11.272485
36.0,36,11.308166
9.0,9,11.397777
34.0,34,11.44926
18.0,18,11.466473
26.0,26,11.50759
14.0,14,11.529503
14.0,14,11.547115
46.0,46,11.587434
30.0,30,11.6091
11.0,11,11.61701
19.0,19,11.63313
13.0,13,11.650671
31.0,31,11.67543
32.0,32,11.695654
16.0,16,11.705727
28.0,28,11.72734
12.0,12,11.742459
9.0,9,11.754111
15.0,15,11.762147
20.0,20,11.786288
20.0,20,11.800949
30.0,30,11.822913
21.0,21,11.837335
37.0,37,11.870972
14.0,14,11.889763
17.0,17,11.9087
15.0,15,11.92783
45.0,45,11.969746
12.0,12,11.976913
30.0,30,12.006902
14.0,14,12.018534
37.0,37,12.043503
23.0,23,12.05886
70.0,70,12.119968
36.0,36,12.159158
18.0,18,12.177758
11.0,11,12.196987
15.0,15,12.20989
14.0,14,12.225647
15.0,15,12.244776
26.0,26,12.283561
20.0,20,12.313541
14.0,14,12.324978
17.0,17,12.339792
18.0,18,12.35594
23.0,23,12.389353
11.0,11,12.399432
13.0,13,12.420208
17.0,17,13.588086
11.0,11,13.59449
19.0,19,13.603998
33.0,33,13.634405
60.0,60,13.679055
50.0,50,13.711514
12.0,12,13.725175
21.0,21,13.750436
16.0,16,13.767825
58.0,58,13.822381
23.0,23,13.835309
11.0,11,13.842814
14.0,14,13.859543
21.0,21,13.881616
24.0,24,13.905921
22.0,22,13.922909
29.0,29,13.952073
33.0,33,13.989884
41.0,41,14.028556
16.0,16,14.040874
29.0,29,14.07953
15.0,15,14.096303
11.0,11,14.108615
24.0,24,14.139628
69.0,69,14.299973
26.0,26,14.401754
42.0,42,14.536153
14.0,14,14.560657
13.0,13,14.583895
22.0,22,14.611055
21.0,21,14.642281
13.0,13,14.663116
10.0,10,14.677813
16.0,16,14.702976
30.0,30,14.742892
15.0,15,14.760195
20.0,20,14.784993
20.0,20,14.800708
19.0,19,14.821372
40.0,40,14.848722
30.0,30,14.889108
16.0,16,14.898222
21.0,21,14.925622
15.0,15,14.938225
16.0,16,14.95018
45.0,45,14.990745
11.0,11,15.005369
24.0,24,15.030179
25.0,25,15.059674
55.0,55,15.106504
13.0,13,15.113784
13.0,13,15.135314
30.0,30,15.170633
14.0,14,15.179263
17.0,17,15.1972
15.0,15,15.211538
24.0,24,15.233752
12.0,12,15.247977
14.0,14,15.262179
33.0,33,15.295737
13.0,13,15.311391
14.0,14,15.329811
98.0,98,15.429899
12.0,12,15.439385
24.0,24,15.463119
16.0,16,15.476476
14.0,14,15.489026
12.0,12,15.497205
75.0,75,15.559834
12.0,12,15.573007
16.0,16,15.593041
28.0,28,15.62814
15.0,15,15.642403
21.0,21,15.664544
16.0,16,15.677764
16.0,16,15.693648
41.0,41,15.726601
17.0,17,15.737952
45.0,45,15.764652
14.0,14,15.776638
20.0,20,15.793189
26.0,26,15.814455
13.0,13,15.834738
39.0,39,15.865268
22.0,22,16.988294
14.0,14,17.001307
31.0,31,17.025005
23.0,23,17.041621
35.0,35,17.06628
27.0,27,17.087192
14.0,14,17.098002
31.0,31,17.127669
16.0,16,17.144498
64.0,64,17.201748
44.0,44,17.237548
21.0,21,17.262671
23.0,23,17.294
26.0,26,17.320471
61.0,61,17.375617
30.0,30,17.396194
22.0,22,17.413453
16.0,16,17.429024
42.0,42,17.479653
13.0,13,17.502337
38.0,38,17.572493
14.0,14,17.593445
13.0,13,17.614524
19.0,19,17.643074
14.0,14,17.738624
41.0,41,17.815318
11.0,11,17.835183
51.0,51,17.907754
54.0,54,17.977012
45.0,45,18.017685
16.0,16,18.040562
12.0,12,18.055483
50.0,50,18.110341
26.0,26,18.143587
43.0,43,18.18697
15.0,15,18.208502
20.0,20,18.233619
11.0,11,18.244567
27.0,27,18.27955
23.0,23,18.307942
14.0,14,18.318888
32.0,32,18.350233
17.0,17,18.36205
12.0,12,18.368685
39.0,39,18.410203
10.0,10,18.417326
14.0,14,18.428729
16.0,16,18.443879
15.0,15,18.460797
17.0,17,18.476771
10.0,10,18.487514
37.0,37,18.522785
9.0,9,18.531193
35.0,35,18.57045
22.0,22,18.581641
19.0,19,18.608003
14.0,14,18.625321
16.0,16,18.645372
24.0,24,18.670947
34.0,34,18.703167
15.0,15,18.715639
23.0,23,18.736059
21.0,21,18.749542
34.0,34,18.786218
15.0,15,18.805608
12.0,12,18.826833
20.0,20,18.855122
41.0,41,18.896005
28.0,28,18.928287
16.0,16,18.938523
18.0,18,18.957515
9.0,9,18.965454
18.0,18,18.985872
52.0,52,19.029283
29.0,29,19.057392
15.0,15,19.064689
16.0,16,19.076262
19.0,19,19.094586
37.0,37,19.127742
23.0,23,19.143657
28.0,28,19.167325
18.0,18,19.182769
12.0,12,19.195523
45.0,45,20.541543
45.0,45,20.575702
15.0,15,20.587985
25.0,25,20.612936
19.0,19,20.635708
11.0,11,20.651399
25.0,25,20.683947
12.0,12,20.69442
21.0,21,20.714209
68.0,68,20.760209
16.0,16,20.774115
18.0,18,20.786111
15.0,15,20.795475
42.0,42,20.825162
24.0,24,20.844844
11.0,11,20.851178
25.0,25,20.868178
23.0,23,20.883011
12.0,12,20.892604
28.0,28,20.909751
35.0,35,20.934276
40.0,40,20.962866
12.0,12,20.96911
31.0,31,20.995691
9.0,9,21.001377
18.0,18,21.01539
20.0,20,21.027969
12.0,12,21.03438
14.0,14,21.045835
15.0,15,21.054371
11.0,11,21.062019
37.0,37,21.095931
10.0,10,21.109036
53.0,53,21.163538
15.0,15,21.174426
10.0,10,21.179723
36.0,36,21.202736
13.0,13,21.217442
12.0,12,21.229337
19.0,19,21.251633
21.0,21,21.268168
20.0,20,21.283717
34.0,34,21.306373
15.0,15,21.317112
14.0,14,21.456145
16.0,16,21.49894
13.0,13,21.522146
21.0,21,21.552099
15.0,15,21.58103
14.0,14,21.597112
14.0,14,21.610708
18.0,18,21.629131
15.0,15,21.64279
20.0,20,21.659918
12.0,12,21.667989
41.0,41,21.698548
31.0,31,21.720688
19.0,19,21.735487
27.0,27,21.756539
17.0,17,21.766899
13.0,13,21.776823
26.0,26,21.797734
16.0,16,21.809142
17.0,17,21.826606
13.0,13,21.834393
40.0,40,21.858687
12.0,12,21.865047
48.0,48,21.897663
20.0,20,21.911569
20.0,20,21.935518
16.0,16,21.951175
16.0,16,21.96242
92.0,92,22.018621
11.0,11,22.027417
15.0,15,22.039013
16.0,16,22.058778
37.0,37,22.103017
9.0,9,22.115565
25.0,25,22.141306
19.0,19,22.160903
17.0,17,22.179714
12.0,12,22.19399
10.0,10,22.200168
15.0,15,22.209667
18.0,18,22.221465
16.0,16,22.234352
12.0,12,22.242966
16.0,16,22.253808
13.0,13,22.263121
19.0,19,22.278018
10.0,10,22.283852
13.0,13,22.295556
72.0,72,22.344761
36.0,36,23.606517
20.0,20,23.626813
11.0,11,23.637099
29.0,29,23.655696
21.0,21,23.67108
17.0,17,23.687287
20.0,20,23.711495
15.0,15,23.727988
23.0,23,23.756412
65.0,65,23.826557
35.0,35,23.862706
12.0,12,23.871276
17.0,17,23.888471
16.0,16,23.904783
16.0,16,23.922402
14.0,14,23.941005
14.0,14,23.960091
11.0,11,23.977529
25.0,25,24.009904
33.0,33,24.05229
24.0,24,24.077052
37.0,37,24.112952
27.0,27,24.143879
59.0,59,24.199678
17.0,17,24.217656
20.0,20,24.236474
18.0,18,24.261475
42.0,42,24.297299
30.0,30,24.319232
26.0,26,24.344425
30.0,30,24.382241
12.0,12,24.389937
11.0,11,24.403376
41.0,41,24.441883
15.0,15,24.455513
33.0,33,24.487772
49.0,49,24.529728
17.0,17,24.54032
25.0,25,24.554773
11.0,11,24.564562
33.0,33,24.587413
38.0,38,24.611977
30.0,30,24.628943
19.0,19,24.638581
9.0,9,24.645489
22.0,22,24.657357
13.0,13,24.66617
44.0,44,24.697987
11.0,11,24.703133
33.0,33,24.724639
39.0,39,24.747475
12.0,12,24.753666
14.0,14,24.763404
26.0,26,24.778313
16.0,16,24.786368
16.0,16,24.797068
11.0,11,24.802803
26.0,26,24.821726
29.0,29,24.839837
11.0,11,24.847869
46.0,46,24.885713
9.0,9,24.891208
31.0,31,24.914149
11.0,11,24.921633
18.0,18,24.933738
20.0,20,24.946662
28.0,28,24.963795
18.0,18,24.973972
15.0,15,24.982671
20.0,20,24.996441
14.0,14,25.00417
15.0,15,25.016278
23.0,23,25.029865
13.0,13,25.038895
11.0,11,25.048083
21.0,21,25.063582
46.0,46,25.098328
16.0,16,25.112038
40.0,40,25.146697
23.0,23,25.17107
13.0,13,25.183081
16.0,16,25.197853
41.0,41,25.222174
35.0,35,25.251147
29.0,29,25.286336
24.0,24,25.305706
14.0,14,25.321781
13.0,13,26.7405
11.0,11,26.750864
26.0,26,26.769618
12.0,12,26.783337
8.0,8,26.790375
11.0,11,26.800503
13.0,13,26.814427
17.0,17,26.823891
42.0,42,26.851769
36.0,36,26.873982
16.0,16,26.888208
16.0,16,26.900208
52.0,52,26.935644
20.0,20,26.952854
23.0,23,26.98387
15.0,15,27.004322
17.0,17,27.023549
23.0,23,27.054433
18.0,18,27.076143
13.0,13,27.087268
26.0,26,27.113708
36.0,36,27.154343
40.0,40,27.202649
11.0,11,27.212342
18.0,18,27.237554
14.0,14,27.250507
16.0,16,27.271694
25.0,25,27.29646
18.0,18,27.317428
31.0,31,27.348891
14.0,14,27.365729
19.0,19,27.384278
51.0,51,27.432333
47.0,47,27.478636
13.0,13,27.488644
28.0,28,27.520391
17.0,17,27.533266
33.0,33,27.560688
18.0,18,27.574222
19.0,19,27.590629
23.0,23,27.610506
14.0,14,27.62218
14.0,14,27.635302
19.0,19,27.650161
18.0,18,27.66832
13.0,13,27.685791
21.0,21,27.708609
22.0,22,27.736153
14.0,14,27.75197
38.0,38,27.803293
21.0,21,27.829647
35.0,35,27.871305
43.0,43,27.925771
19.0,19,27.953122
33.0,33,27.986735
11.0,11,27.995913
20.0,20,28.019952
29.0,29,28.048213
23.0,23,28.068371
21.0,21,28.09214
20.0,20,28.120856
14.0,14,28.139119
18.0,18,28.162161
16.0,16,28.252268
71.0,71,28.335206
16.0,16,28.35097
17.0,17,28.36491
23.0,23,28.391513
18.0,18,28.403708
12.0,12,28.411836
27.0,27,28.436713
18.0,18,28.455167
62.0,62,28.506573
46.0,46,28.54297
16.0,16,28.555046
32.0,32,28.577788
13.0,13,28.585724
37.0,37,28.606953
16.0,16,28.61787
44.0,44,28.648737
39.0,39,28.674825
14.0,14,28.686511
15.0,15,28.699882
30.0,30,28.725157
15.0,15,28.737779
49.0,49,28.781773
26.0,26,30.142945
19.0,19,30.170175
10.0,10,30.180112
47.0,47,30.221142
13.0,13,30.229998
25.0,25,30.247023
17.0,17,30.269124
19.0,19,30.287805
17.0,17,30.308611
43.0,43,30.351788
22.0,22,30.36767
15.0,15,30.376114
16.0,16,30.389095
26.0,26,30.422371
40.0,40,30.459599
21.0,21,30.480618
13.0,13,30.495806
14.0,14,30.507828
26.0,26,30.528024
25.0,25,30.550968
13.0,13,30.558473
13.0,13,30.570095
27.0,27,30.591508
20.0,20,30.607986
19.0,19,30.626064
16.0,16,30.642827
17.0,17,30.654588
24.0,24,30.67778
14.0,14,30.692507
23.0,23,30.716691
16.0,16,30.727073
22.0,22,30.74268
43.0,43,30.784063
10.0,10,30.796162
15.0,15,30.803891
23.0,23,30.829434
14.0,14,30.849096
19.0,19,30.869201
17.0,17,30.883991
13.0,13,30.898875
36.0,36,30.920105
18.0,18,30.932629
18.0,18,30.948285
16.0,16,30.97138
26.0,26,31.003208
33.0,33,31.038829
11.0,11,31.050246
10.0,10,31.064138
17.0,17,31.079912
15.0,15,31.093289
31.0,31,31.133183
22.0,22,31.157902
11.0,11,31.171429
15.0,15,31.191766
26.0,26,31.22153
18.0,18,31.250286
13.0,13,31.265597
20.0,20,31.290064
42.0,42,31.342399
17.0,17,31.361389
10.0,10,31.371547
13.0,13,31.381953
32.0,32,31.409615
13.0,13,31.424258
24.0,24,31.442577
26.0,26,31.474283
22.0,22,31.491572
59.0,59,31.52712
12.0,12,31.537226
35.0,35,31.555453
25.0,25,31.570255
18.0,18,31.578671
33.0,33,31.597688
18.0,18,31.607938
20.0,20,31.622109
45.0,45,31.651556
12.0,12,31.657848
13.0,13,31.665313
16.0,16,31.675502
13.0,13,31.684491
50.0,50,31.713283
14.0,14,31.722856
12.0,12,31.731265
40.0,40,31.761587
13.0,13,31.771531
13.0,13,31.78518
11.0,11,31.792167
28.0,28,31.811512
24.0,24,31.829854
8.0,8,31.836776
27.0,27,31.856954
11.0,11,31.869052
12.0,12,31.877701
28.0,28,31.905506
31.0,31,31.923018
21.0,21,31.936136
