#{"t_start": 1747226335.1059306, "env_id": "None"}
r,l,t
18.0,18,0.802361
21.0,21,0.823063
35.0,35,0.850079
20.0,20,0.869607
14.0,14,0.878638
15.0,15,0.886209
48.0,48,0.918682
17.0,17,0.92945
18.0,18,0.937454
44.0,44,0.971779
9.0,9,0.983447
13.0,13,0.983447
20.0,20,0.996061
73.0,73,1.047622
13.0,13,1.068541
36.0,36,1.080993
24.0,24,1.101761
16.0,16,1.120908
25.0,25,1.135826
24.0,24,1.153169
23.0,23,1.16922
30.0,30,1.186896
20.0,20,1.20348
24.0,24,1.220872
15.0,15,1.235025
24.0,24,1.251656
22.0,22,1.268355
12.0,12,1.27058
45.0,45,1.303864
33.0,33,1.319949
11.0,11,1.336987
16.0,16,1.352681
19.0,19,1.36841
15.0,15,1.378973
19.0,19,1.401527
14.0,14,1.403671
70.0,70,1.456444
12.0,12,1.463841
11.0,11,1.479124
13.0,13,1.485689
14.0,14,1.500292
26.0,26,1.519691
11.0,11,1.519691
10.0,10,1.536687
23.0,23,1.554319
13.0,13,1.566754
19.0,19,1.579185
12.0,12,1.586853
17.0,17,1.602109
15.0,15,1.611959
25.0,25,1.623208
22.0,22,1.631799
14.0,14,1.653617
12.0,12,1.660141
13.0,13,1.669397
10.0,10,1.675335
48.0,48,1.70869
74.0,74,1.754101
20.0,20,1.770429
26.0,26,1.787166
21.0,21,1.801161
17.0,17,1.803296
14.0,14,1.814767
14.0,14,1.83199
18.0,18,1.836392
30.0,30,1.84914
27.0,27,1.879472
24.0,24,1.897261
14.0,14,1.898878
26.0,26,1.920458
45.0,45,1.963827
16.0,16,1.975662
21.0,21,1.989367
16.0,16,2.003081
43.0,43,2.034559
15.0,15,2.037845
20.0,20,2.053648
28.0,28,2.079509
22.0,22,2.089984
15.0,15,2.103971
29.0,29,2.138291
18.0,18,2.154834
37.0,37,2.198706
27.0,27,2.234211
17.0,17,2.254024
16.0,16,2.271229
59.0,59,2.351771
24.0,24,2.391212
22.0,22,3.817174
15.0,15,3.817174
18.0,18,3.836201
14.0,14,3.838395
32.0,32,3.854675
39.0,39,3.884557
11.0,11,3.888803
39.0,39,3.915476
21.0,21,3.916553
42.0,42,3.954094
11.0,11,3.960593
17.0,17,3.969389
13.0,13,3.975884
15.0,15,3.983863
29.0,29,4.004421
61.0,61,4.038729
14.0,14,4.04888
34.0,34,4.07081
17.0,17,4.072964
19.0,19,4.088545
26.0,26,4.106322
12.0,12,4.116659
23.0,23,4.136328
16.0,16,4.142068
18.0,18,4.154942
11.0,11,4.167917
26.0,26,4.186191
77.0,77,4.23359
23.0,23,4.253147
18.0,18,4.255354
12.0,12,4.272838
10.0,10,4.272838
10.0,10,4.288848
15.0,15,4.29916
39.0,39,4.322866
18.0,18,4.336663
26.0,26,4.354138
43.0,43,4.372673
16.0,16,4.388957
18.0,18,4.403377
23.0,23,4.418673
36.0,36,4.438829
9.0,9,4.442099
34.0,34,4.473855
18.0,18,4.48886
26.0,26,4.506129
14.0,14,4.518151
14.0,14,4.523479
46.0,46,4.555951
30.0,30,4.587623
11.0,11,4.590874
19.0,19,4.606958
13.0,13,4.622462
31.0,31,4.705882
32.0,32,4.733651
16.0,16,4.750967
28.0,28,4.771903
12.0,12,4.787807
9.0,9,4.789949
15.0,15,4.805766
20.0,20,4.822682
20.0,20,4.837923
30.0,30,4.856688
21.0,21,4.872034
37.0,37,4.906755
14.0,14,4.92142
17.0,17,4.934829
15.0,15,4.934829
45.0,45,4.976044
12.0,12,4.984763
30.0,30,5.005624
14.0,14,5.016376
37.0,37,5.039911
23.0,23,5.056396
70.0,70,5.101799
36.0,36,5.12353
18.0,18,5.134268
11.0,11,5.152259
15.0,15,5.155531
14.0,14,5.173709
15.0,15,5.18543
26.0,26,5.20164
20.0,20,5.215518
14.0,14,5.222642
17.0,17,5.236074
18.0,18,5.240311
23.0,23,5.257578
11.0,11,5.272966
13.0,13,5.276992
17.0,17,6.328966
11.0,11,6.33458
19.0,19,6.349979
33.0,33,6.368304
60.0,60,6.408339
47.0,47,6.439995
19.0,19,6.453849
13.0,13,6.460119
13.0,13,6.468806
37.0,37,6.49003
46.0,46,6.52475
12.0,12,6.5333
34.0,34,6.552721
15.0,15,6.567809
40.0,40,6.590723
12.0,12,6.60112
16.0,16,6.608684
41.0,41,6.641964
52.0,52,6.679649
26.0,26,6.68987
18.0,18,6.722549
25.0,25,6.735155
15.0,15,6.735155
27.0,27,6.756259
16.0,16,6.777577
31.0,31,6.797489
20.0,20,6.811891
15.0,15,6.818778
30.0,30,6.840987
12.0,12,6.840987
13.0,13,6.857435
23.0,23,6.877649
20.0,20,6.892188
12.0,12,6.902337
14.0,14,6.902337
32.0,32,6.918717
14.0,14,6.940693
19.0,19,6.957892
14.0,14,6.967815
12.0,12,6.975421
15.0,15,6.989457
41.0,41,7.003152
18.0,18,7.02481
32.0,32,7.056844
19.0,19,7.07035
16.0,16,7.07576
40.0,40,7.109153
35.0,35,7.138667
20.0,20,7.153396
57.0,57,7.190219
20.0,20,7.205467
55.0,55,7.236368
16.0,16,7.236368
21.0,21,7.256912
14.0,14,7.273603
13.0,13,7.275816
22.0,22,7.291133
35.0,35,7.319978
13.0,13,7.32431
10.0,10,7.34099
14.0,14,7.363538
45.0,45,7.403727
40.0,40,7.453835
17.0,17,7.474818
28.0,28,7.504299
26.0,26,7.537322
11.0,11,7.553013
31.0,31,7.586118
19.0,19,7.601965
12.0,12,7.612175
16.0,16,7.620423
18.0,18,7.640158
14.0,14,7.642346
23.0,23,7.66864
39.0,39,7.701802
12.0,12,7.705834
24.0,24,7.733516
31.0,31,7.75803
19.0,19,7.771032
32.0,32,7.791388
21.0,21,7.808855
15.0,15,7.826454
20.0,20,7.840715
21.0,21,7.853792
14.0,14,7.865897
40.0,40,7.891203
35.0,35,9.194556
23.0,23,9.194556
21.0,21,9.221993
26.0,26,9.235479
19.0,19,9.24375
32.0,32,9.25974
13.0,13,9.274443
15.0,15,9.277755
22.0,22,9.293802
24.0,24,9.309481
29.0,29,9.325964
52.0,52,9.346182
11.0,11,9.358278
18.0,18,9.359388
18.0,18,9.376152
23.0,23,9.390547
15.0,15,9.393726
34.0,34,9.410415
18.0,18,9.426482
29.0,29,9.441889
23.0,23,9.454579
15.0,15,9.460349
17.0,17,9.472014
18.0,18,9.477527
16.0,16,9.490929
23.0,23,9.504607
33.0,33,9.522871
17.0,17,9.527169
26.0,26,9.552339
31.0,31,9.570148
25.0,25,9.577172
38.0,38,9.605247
16.0,16,9.610061
21.0,21,9.626573
22.0,22,9.63829
13.0,13,9.643308
49.0,49,9.674224
21.0,21,9.677471
13.0,13,9.693825
10.0,10,9.693825
30.0,30,9.710372
82.0,82,9.76306
35.0,35,9.770553
44.0,44,9.813149
23.0,23,9.821421
12.0,12,9.842002
15.0,15,9.851356
17.0,17,9.855573
9.0,9,9.868481
21.0,21,9.882715
12.0,12,9.888624
19.0,19,9.906692
14.0,14,9.909994
32.0,32,9.935988
17.0,17,9.94342
29.0,29,9.970532
20.0,20,9.983078
13.0,13,9.991075
38.0,38,10.010231
30.0,30,10.027646
15.0,15,10.044819
17.0,17,10.060118
17.0,17,10.074122
26.0,26,10.090877
23.0,23,10.108103
54.0,54,10.140998
30.0,30,10.16029
17.0,17,10.175719
19.0,19,10.186275
18.0,18,10.194951
23.0,23,10.211477
40.0,40,10.244085
21.0,21,10.26096
11.0,11,10.26972
12.0,12,10.278269
14.0,14,10.289702
19.0,19,10.294024
60.0,60,10.343408
9.0,9,10.345572
34.0,34,10.371927
12.0,12,10.371927
27.0,27,10.396592
18.0,18,10.411263
11.0,11,10.422091
29.0,29,10.442586
14.0,14,10.444701
24.0,24,10.461426
37.0,37,11.563883
17.0,17,11.58423
24.0,24,11.606238
69.0,69,11.646102
15.0,15,11.663035
53.0,53,11.694946
12.0,12,11.707104
24.0,24,11.723838
31.0,31,11.754124
13.0,13,11.787557
12.0,12,11.818809
20.0,20,11.863537
13.0,13,11.897907
16.0,16,11.920494
25.0,25,11.946082
14.0,14,11.967339
13.0,13,11.983638
20.0,20,11.99152
17.0,17,12.014954
16.0,16,12.029196
16.0,16,12.046509
21.0,21,12.063911
13.0,13,12.080296
14.0,14,12.097049
39.0,39,12.130366
18.0,18,12.146204
20.0,20,12.163972
11.0,11,12.17406
11.0,11,12.187979
25.0,25,12.207821
14.0,14,12.216292
14.0,14,12.229893
20.0,20,12.245861
18.0,18,12.259135
14.0,14,12.263455
16.0,16,12.280247
16.0,16,12.290303
52.0,52,12.33199
16.0,16,12.341054
31.0,31,12.361509
16.0,16,12.379586
10.0,10,12.39081
13.0,13,12.39576
16.0,16,12.411469
15.0,15,12.413677
16.0,16,12.432073
10.0,10,12.442463
37.0,37,12.462226
20.0,20,12.479354
13.0,13,12.494443
13.0,13,12.496533
22.0,22,12.51313
14.0,14,12.528664
9.0,9,12.528664
11.0,11,12.562503
17.0,17,12.580195
15.0,15,12.609429
16.0,16,12.630118
10.0,10,12.643409
10.0,10,12.651581
43.0,43,12.705098
17.0,17,12.727286
14.0,14,12.742882
49.0,49,12.796194
25.0,25,12.817305
14.0,14,12.824378
54.0,54,12.876275
22.0,22,12.897472
13.0,13,12.907281
13.0,13,12.914674
13.0,13,12.929781
20.0,20,12.947008
45.0,45,12.982903
19.0,19,12.993972
17.0,17,13.013278
13.0,13,13.02424
16.0,16,13.030163
67.0,67,13.091061
23.0,23,13.107751
20.0,20,13.124505
12.0,12,13.125162
11.0,11,13.144292
12.0,12,13.14535
24.0,24,13.175828
14.0,14,13.183064
17.0,17,13.190909
13.0,13,13.211265
32.0,32,13.230225
17.0,17,13.247096
15.0,15,13.264057
17.0,17,13.281761
26.0,26,13.309644
21.0,21,13.326313
13.0,13,13.330673
61.0,61,13.374841
58.0,58,13.429237
