#{"t_start": 1747226301.264014, "env_id": "None"}
r,l,t
18.0,18,1.348042
21.0,21,1.392861
35.0,35,1.460558
20.0,20,1.499229
14.0,14,1.51793
15.0,15,1.55323
48.0,48,1.610873
17.0,17,1.632091
18.0,18,1.649134
44.0,44,1.688952
9.0,9,1.707724
13.0,13,1.723105
20.0,20,1.746875
73.0,73,1.812391
13.0,13,1.834546
36.0,36,1.868244
24.0,24,1.889132
16.0,16,1.901736
25.0,25,1.911922
24.0,24,1.946223
23.0,23,1.98068
30.0,30,2.015348
20.0,20,2.03394
24.0,24,2.068349
15.0,15,2.084734
24.0,24,2.121207
22.0,22,2.148755
12.0,12,2.163434
45.0,45,2.219487
33.0,33,2.26312
11.0,11,2.278939
16.0,16,2.294778
19.0,19,2.311496
15.0,15,2.326908
19.0,19,2.347126
14.0,14,2.361332
70.0,70,2.412876
12.0,12,2.433306
11.0,11,2.445822
13.0,13,2.454126
14.0,14,2.46874
26.0,26,2.495932
11.0,11,2.505698
10.0,10,2.51453
23.0,23,2.534338
13.0,13,2.553254
19.0,19,2.580197
12.0,12,2.590368
17.0,17,2.602637
15.0,15,2.617765
25.0,25,2.639587
22.0,22,2.664082
14.0,14,2.686475
12.0,12,2.705213
13.0,13,2.71884
10.0,10,2.732742
48.0,48,2.770491
74.0,74,2.82993
20.0,20,2.85344
26.0,26,2.871464
21.0,21,2.888577
17.0,17,2.901213
14.0,14,2.917056
14.0,14,2.930472
18.0,18,2.94612
30.0,30,2.968135
27.0,27,2.985703
24.0,24,2.996229
14.0,14,3.018099
26.0,26,3.034817
45.0,45,3.074236
16.0,16,3.088159
21.0,21,3.113155
16.0,16,3.127641
43.0,43,3.165292
15.0,15,3.168364
20.0,20,3.195456
28.0,28,3.21707
22.0,22,3.236766
15.0,15,3.248542
29.0,29,3.272022
18.0,18,3.290334
37.0,37,3.31941
27.0,27,3.336682
17.0,17,3.351486
16.0,16,3.371334
59.0,59,3.420423
24.0,24,3.442189
44.0,44,4.547737
18.0,18,4.570665
21.0,21,4.586273
14.0,14,4.598635
63.0,63,4.640883
34.0,34,4.665208
19.0,19,4.678885
53.0,53,4.71845
17.0,17,4.739795
24.0,24,4.748073
51.0,51,4.793954
32.0,32,4.817532
40.0,40,4.846752
32.0,32,4.870392
30.0,30,4.898982
13.0,13,4.912422
19.0,19,4.929201
12.0,12,4.942027
24.0,24,4.965627
19.0,19,4.982305
13.0,13,4.993052
27.0,27,5.014707
15.0,15,5.019956
39.0,39,5.059243
15.0,15,5.070682
12.0,12,5.086254
24.0,24,5.103149
15.0,15,5.1167
23.0,23,5.135858
27.0,27,5.154047
78.0,78,5.221588
13.0,13,5.231905
28.0,28,5.263913
46.0,46,5.303575
14.0,14,5.315898
23.0,23,5.335071
17.0,17,5.349277
87.0,87,5.415107
21.0,21,5.433207
33.0,33,5.453207
28.0,28,5.483779
22.0,22,5.49949
38.0,38,5.525761
81.0,81,5.581682
21.0,21,5.604199
15.0,15,5.619878
13.0,13,5.631139
16.0,16,5.64296
47.0,47,5.676091
63.0,63,5.726279
17.0,17,5.753743
22.0,22,5.780184
40.0,40,5.815237
58.0,58,5.879661
20.0,20,5.901673
25.0,25,5.931413
74.0,74,5.997768
17.0,17,6.019556
31.0,31,6.051906
18.0,18,6.070394
15.0,15,6.100861
14.0,14,6.113464
54.0,54,6.156004
44.0,44,6.198987
24.0,24,6.223958
25.0,25,6.26908
24.0,24,6.299936
18.0,18,6.326127
32.0,32,7.699498
38.0,38,7.722754
73.0,73,7.776983
33.0,33,7.810628
45.0,45,7.850235
15.0,15,7.873027
77.0,77,7.916953
12.0,12,7.945093
24.0,24,7.955124
65.0,65,8.017582
22.0,22,8.042067
56.0,56,8.08696
19.0,19,8.116338
22.0,22,8.144613
24.0,24,8.16627
21.0,21,8.185017
39.0,39,8.211457
37.0,37,8.236661
26.0,26,8.265141
19.0,19,8.273242
14.0,14,8.283944
106.0,106,8.376642
19.0,19,8.401719
12.0,12,8.412984
57.0,57,8.456746
19.0,19,8.494349
27.0,27,8.527292
86.0,86,8.608492
50.0,50,8.672837
29.0,29,8.707275
40.0,40,8.765554
13.0,13,8.775866
24.0,24,8.795016
14.0,14,8.80922
64.0,64,8.866661
54.0,54,8.901178
23.0,23,8.93512
131.0,131,9.026148
20.0,20,9.055494
20.0,20,9.08554
21.0,21,9.104445
14.0,14,9.111852
29.0,29,9.138851
27.0,27,9.160861
20.0,20,9.182613
16.0,16,9.190373
20.0,20,9.211803
22.0,22,9.232643
32.0,32,9.25995
13.0,13,9.270025
14.0,14,9.282804
64.0,64,9.324047
13.0,13,9.336216
46.0,46,9.374275
24.0,24,9.384949
20.0,20,9.408896
17.0,17,9.426866
39.0,39,9.456758
12.0,12,9.46804
54.0,54,9.519547
59.0,59,10.58421
113.0,113,10.680058
58.0,58,10.737379
47.0,47,10.77535
64.0,64,10.827607
53.0,53,10.8678
124.0,124,10.973635
53.0,53,11.019309
30.0,30,11.05266
84.0,84,11.119304
32.0,32,11.144763
27.0,27,11.17473
13.0,13,11.190351
21.0,21,11.207598
17.0,17,11.221954
33.0,33,11.245471
37.0,37,11.284364
54.0,54,11.334397
48.0,48,11.371785
34.0,34,11.391044
31.0,31,11.425536
17.0,17,11.441614
12.0,12,11.456576
123.0,123,11.544382
39.0,39,11.576031
82.0,82,11.653216
22.0,22,11.707757
