,final,final,final,final,final,final,final,final,auc,auc,auc,auc,auc,auc,auc,auc,step80,step80,step80,step80,step80,step80,step80,step80,reachability,reachability,reachability,reachability,reachability,reachability,reachability,reachability
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
topology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,1.0,82.6,,82.6,82.6,82.6,82.6,82.6,1.0,60.949295539380536,,60.949295539380536,60.949295539380536,60.949295539380536,60.949295539380536,60.949295539380536,0.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
modular,1.0,41.15,,41.15,41.15,41.15,41.15,41.15,1.0,35.427171418813515,,35.427171418813515,35.427171418813515,35.427171418813515,35.427171418813515,35.427171418813515,0.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
rs,1.0,46.16,,46.16,46.16,46.16,46.16,46.16,1.0,37.843288919198265,,37.843288919198265,37.843288919198265,37.843288919198265,37.843288919198265,37.843288919198265,0.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
sw_neat,1.0,46.16,,46.16,46.16,46.16,46.16,46.16,1.0,37.38941270959069,,37.38941270959069,37.38941270959069,37.38941270959069,37.38941270959069,37.38941270959069,0.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
sw_ws,1.0,47.0,,47.0,47.0,47.0,47.0,47.0,1.0,38.677346903595335,,38.677346903595335,38.677346903595335,38.677346903595335,38.677346903595335,38.677346903595335,0.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
