,final,final,final,final,final,final,final,final,auc,auc,auc,auc,auc,auc,auc,auc,step80,step80,step80,step80,step80,step80,step80,step80,reachability,reachability,reachability,reachability,reachability,reachability,reachability,reachability
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
topology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,2.0,82.91999999999999,0.4525483399593908,82.6,82.75999999999999,82.91999999999999,83.08,83.24,2.0,64.53722686348173,4.509541148263311,61.34849973750497,62.94286330049335,64.53722686348173,66.13159042647011,67.72595398945849,0.0,,,,,,,,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
modular,2.0,21.1,1.8243354954612938,19.81,20.455,21.1,21.745,22.39,2.0,22.22238248567579,0.17273280173592,22.10024195023497,22.16131221795538,22.22238248567579,22.2834527533962,22.34452302111661,0.0,,,,,,,,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
rs,2.0,63.379999999999995,8.994398256692879,57.02,60.2,63.379999999999995,66.56,69.74,2.0,52.21864887787786,9.174913324435494,45.73100544937071,48.97482716362428,52.21864887787786,55.46247059213144,58.70629230638501,0.0,,,,,,,,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
sw_neat,2.0,21.09,0.6929646455628143,20.6,20.845,21.09,21.335,21.58,2.0,22.354270015254823,0.9592892202065212,21.675950102527636,22.01511005889123,22.354270015254823,22.693429971618414,23.03258992798201,0.0,,,,,,,,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
sw_ws,2.0,21.945,0.6293250352560277,21.5,21.7225,21.945,22.1675,22.39,2.0,22.15059866351499,0.31121871158811754,21.93053380211889,22.04056623281694,22.15059866351499,22.26063109421304,22.370663524911087,0.0,,,,,,,,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
