#{"t_start": 1747226446.6555672, "env_id": "None"}
r,l,t
21.0,21,0.844574
11.0,11,0.859893
12.0,12,0.873256
14.0,14,0.882397
63.0,63,0.911147
76.0,76,0.964126
20.0,20,0.973565
14.0,14,0.995472
15.0,15,1.005878
14.0,14,1.013747
37.0,37,1.043497
18.0,18,1.045705
15.0,15,1.066619
13.0,13,1.073484
20.0,20,1.088085
11.0,11,1.094469
22.0,22,1.112886
29.0,29,1.130311
17.0,17,1.148265
21.0,21,1.156916
18.0,18,1.176776
18.0,18,1.188094
26.0,26,1.205964
22.0,22,1.212452
14.0,14,1.229701
17.0,17,1.24535
20.0,20,1.263563
15.0,15,1.276457
12.0,12,1.279697
22.0,22,1.295988
21.0,21,1.312106
30.0,30,1.330407
19.0,19,1.346689
47.0,47,1.379996
26.0,26,1.39134
10.0,10,1.41198
26.0,26,1.42915
41.0,41,1.460146
14.0,14,1.463319
21.0,21,1.488359
30.0,30,1.5136
15.0,15,1.524248
12.0,12,1.530337
31.0,31,1.546909
14.0,14,1.56278
21.0,21,1.580437
13.0,13,1.589568
17.0,17,1.596661
51.0,51,1.639748
11.0,11,1.641179
26.0,26,1.662445
32.0,32,1.68866
26.0,26,1.707578
10.0,10,1.712808
14.0,14,1.724144
20.0,20,1.729627
14.0,14,1.744972
16.0,16,1.758159
10.0,10,1.763524
16.0,16,1.776487
22.0,22,1.802889
21.0,21,1.846548
14.0,14,1.862494
29.0,29,1.882717
17.0,17,1.89506
12.0,12,1.907577
24.0,24,1.927285
15.0,15,1.929909
12.0,12,1.946342
21.0,21,1.963353
12.0,12,1.972109
13.0,13,1.983608
21.0,21,1.996882
20.0,20,2.010863
21.0,21,2.024627
18.0,18,2.031003
42.0,42,2.063878
37.0,37,2.091552
14.0,14,2.099497
17.0,17,2.113446
16.0,16,2.125355
14.0,14,2.131242
11.0,11,2.147656
39.0,39,2.191711
48.0,48,2.241104
40.0,40,2.305382
28.0,28,2.3591
13.0,13,2.372776
25.0,25,2.409585
17.0,17,2.443928
57.0,57,2.529081
9.0,9,2.544251
23.0,23,2.556861
19.0,19,3.857105
12.0,12,3.86764
36.0,36,3.891356
13.0,13,3.891356
22.0,22,3.920885
40.0,40,3.948322
22.0,22,3.964833
26.0,26,3.975884
11.0,11,3.995471
11.0,11,3.997599
30.0,30,4.024822
23.0,23,4.041937
12.0,12,4.047476
12.0,12,4.060664
17.0,17,4.064912
18.0,18,4.08224
35.0,35,4.1139
16.0,16,4.12772
20.0,20,4.14099
16.0,16,4.151452
22.0,22,4.165685
19.0,19,4.175977
21.0,21,4.198108
23.0,23,4.214038
16.0,16,4.226577
24.0,24,4.242803
19.0,19,4.260076
31.0,31,4.281705
10.0,10,4.281705
43.0,43,4.314429
19.0,19,4.334393
49.0,49,4.365049
18.0,18,4.381124
15.0,15,4.399506
51.0,51,4.434751
11.0,11,4.442814
26.0,26,4.465061
18.0,18,4.482306
20.0,20,4.501472
11.0,11,4.511214
42.0,42,4.541883
16.0,16,4.541883
15.0,15,4.563825
33.0,33,4.581354
41.0,41,4.60949
24.0,24,4.635283
20.0,20,4.642616
46.0,46,4.682279
18.0,18,4.698076
11.0,11,4.698076
