#{"t_start": 1747230339.1435006, "env_id": "None"}
r,l,t
18.0,18,0.458441
21.0,21,0.51724
35.0,35,0.577567
20.0,20,0.618668
14.0,14,0.630322
15.0,15,0.657959
48.0,48,0.722139
17.0,17,0.749277
18.0,18,0.776699
62.0,62,0.834198
19.0,19,0.851568
33.0,33,0.871011
30.0,30,0.886595
16.0,16,0.901587
14.0,14,0.908735
33.0,33,0.927839
19.0,19,0.945194
15.0,15,0.960206
38.0,38,1.012074
24.0,24,1.038376
25.0,25,1.055629
16.0,16,1.066638
80.0,80,1.118067
29.0,29,1.141762
13.0,13,1.155507
14.0,14,1.161934
16.0,16,1.171871
25.0,25,1.186868
17.0,17,1.195252
32.0,32,1.218976
31.0,31,1.237842
16.0,16,1.250513
11.0,11,1.264
24.0,24,1.291597
23.0,23,1.310654
12.0,12,1.320905
16.0,16,1.338982
16.0,16,1.348812
14.0,14,1.361191
28.0,28,1.37676
34.0,34,1.393531
15.0,15,1.408945
16.0,16,1.420174
17.0,17,1.430022
20.0,20,1.441819
11.0,11,1.451242
30.0,30,1.481721
46.0,46,1.510997
18.0,18,1.523037
18.0,18,1.531254
25.0,25,1.544488
20.0,20,1.559221
17.0,17,1.582518
18.0,18,1.605126
15.0,15,1.629189
11.0,11,1.646115
19.0,19,1.668381
24.0,24,1.695576
24.0,24,1.713736
15.0,15,1.729385
25.0,25,1.756344
17.0,17,1.778665
14.0,14,1.79247
19.0,19,1.808202
26.0,26,1.828117
21.0,21,1.842053
15.0,15,1.849729
17.0,17,1.859604
14.0,14,1.870831
15.0,15,1.877421
11.0,11,1.885422
28.0,28,1.91126
12.0,12,1.92546
14.0,14,1.939961
18.0,18,1.958958
15.0,15,1.974113
16.0,16,1.986764
19.0,19,2.007842
23.0,23,2.050998
9.0,9,2.067537
16.0,16,2.108147
16.0,16,2.129097
30.0,30,2.179651
15.0,15,2.201694
17.0,17,2.211475
21.0,21,2.240232
20.0,20,2.259574
19.0,19,2.300195
17.0,17,2.327258
9.0,9,2.342402
25.0,25,2.379783
20.0,20,2.4157
16.0,16,2.43573
72.0,72,2.485689
18.0,18,3.602386
15.0,15,3.611364
12.0,12,3.621696
22.0,22,3.636396
19.0,19,3.646368
20.0,20,3.658217
23.0,23,3.677062
14.0,14,3.693816
12.0,12,3.725889
43.0,43,3.793857
41.0,41,3.83404
21.0,21,3.851045
9.0,9,3.857538
25.0,25,3.879325
15.0,15,3.894263
26.0,26,3.913529
15.0,15,3.926861
22.0,22,3.950867
19.0,19,3.982855
20.0,20,4.004853
29.0,29,4.043833
56.0,56,4.107636
28.0,28,4.125013
23.0,23,4.136315
29.0,29,4.154062
25.0,25,4.171009
27.0,27,4.1919
38.0,38,4.221031
31.0,31,4.23849
12.0,12,4.24425
21.0,21,4.256649
11.0,11,4.263766
16.0,16,4.273605
17.0,17,4.28408
15.0,15,4.293062
17.0,17,4.30212
22.0,22,4.313794
28.0,28,4.329963
15.0,15,4.341511
23.0,23,4.359714
26.0,26,4.375448
12.0,12,4.384221
18.0,18,4.399199
54.0,54,4.446954
50.0,50,4.497664
26.0,26,4.531554
20.0,20,4.55534
38.0,38,4.603404
45.0,45,4.661608
50.0,50,4.722136
19.0,19,4.735103
35.0,35,4.790374
71.0,71,4.854424
13.0,13,4.862135
24.0,24,4.877669
30.0,30,4.894039
11.0,11,4.900917
49.0,49,4.931273
32.0,32,4.95049
42.0,42,4.983755
61.0,61,5.016038
12.0,12,5.023846
16.0,16,5.030993
17.0,17,5.042701
13.0,13,5.05006
15.0,15,5.060208
64.0,64,5.100293
65.0,65,5.160174
42.0,42,5.182483
45.0,45,5.208367
26.0,26,5.224248
13.0,13,5.232633
20.0,20,5.245122
38.0,38,5.26704
44.0,44,5.293185
27.0,27,6.644344
16.0,16,6.6614
60.0,60,6.774588
27.0,27,6.822211
38.0,38,6.885449
20.0,20,6.913624
30.0,30,6.947593
46.0,46,7.001545
18.0,18,7.017171
22.0,22,7.032686
14.0,14,7.042555
18.0,18,7.051255
57.0,57,7.086427
16.0,16,7.095708
21.0,21,7.109049
48.0,48,7.138983
15.0,15,7.155625
31.0,31,7.174456
33.0,33,7.209081
14.0,14,7.225769
14.0,14,7.234032
22.0,22,7.255078
39.0,39,7.279863
33.0,33,7.326388
28.0,28,7.383038
36.0,36,7.432036
62.0,62,7.508899
24.0,24,7.562152
14.0,14,7.60555
39.0,39,7.651332
12.0,12,7.672158
72.0,72,7.768092
26.0,26,7.824255
14.0,14,7.858189
93.0,93,8.036717
25.0,25,8.098026
34.0,34,8.145752
25.0,25,8.179853
14.0,14,8.218298
56.0,56,8.303955
39.0,39,8.375649
24.0,24,8.426898
18.0,18,8.468517
47.0,47,8.545954
42.0,42,8.604356
16.0,16,8.636065
20.0,20,8.649892
32.0,32,8.690688
20.0,20,8.724729
26.0,26,8.772928
32.0,32,8.835423
43.0,43,8.918751
15.0,15,8.942492
21.0,21,8.978115
14.0,14,9.016212
31.0,31,9.071528
19.0,19,9.101156
11.0,11,9.115377
19.0,19,9.143422
