#{"t_start": 1747234000.7730746, "env_id": "None"}
r,l,t
18.0,18,0.067398
18.0,18,0.08697
13.0,13,0.095482
20.0,20,0.111577
37.0,37,0.141163
12.0,12,0.157692
11.0,11,0.164055
10.0,10,0.172102
18.0,18,0.181107
17.0,17,0.195165
19.0,19,0.207807
20.0,20,0.221414
39.0,39,0.242393
11.0,11,0.248594
39.0,39,0.273737
13.0,13,0.284922
32.0,32,0.304051
23.0,23,0.31773
33.0,33,0.341693
14.0,14,0.365219
39.0,39,0.395753
12.0,12,0.409987
46.0,46,0.439146
29.0,29,0.465544
24.0,24,0.488784
16.0,16,0.514704
17.0,17,0.537318
47.0,47,0.589926
13.0,13,0.615074
11.0,11,0.630403
25.0,25,0.655906
15.0,15,0.668418
13.0,13,0.686636
27.0,27,0.708137
16.0,16,0.727046
27.0,27,0.754583
11.0,11,0.762848
14.0,14,0.777799
21.0,21,0.801967
18.0,18,0.815476
20.0,20,0.828641
19.0,19,0.84055
15.0,15,0.848203
13.0,13,0.857921
37.0,37,0.878171
16.0,16,0.889114
52.0,52,0.920706
14.0,14,0.927314
12.0,12,0.937034
11.0,11,0.943314
17.0,17,0.955244
17.0,17,0.968357
37.0,37,0.996108
19.0,19,1.011625
13.0,13,1.021833
13.0,13,1.034986
13.0,13,1.045912
12.0,12,1.056123
10.0,10,1.06237
28.0,28,1.092239
12.0,12,1.101316
16.0,16,1.110409
58.0,58,1.153179
28.0,28,1.178004
15.0,15,1.188863
11.0,11,1.196613
11.0,11,1.205537
37.0,37,1.22753
35.0,35,1.250092
21.0,21,1.264056
15.0,15,1.276346
16.0,16,1.291857
19.0,19,1.30912
14.0,14,1.32839
30.0,30,1.364737
29.0,29,1.402864
21.0,21,1.425737
15.0,15,1.437599
16.0,16,1.446934
19.0,19,1.477021
21.0,21,1.496176
12.0,12,1.511448
42.0,42,1.568185
27.0,27,1.603977
14.0,14,1.612976
15.0,15,1.628885
23.0,23,1.65762
19.0,19,1.686339
15.0,15,1.778198
14.0,14,1.828955
11.0,11,1.848434
35.0,35,1.905353
46.0,46,2.044256
22.0,22,2.078804
14.0,14,2.1078
17.0,17,2.134035
14.0,14,2.146926
26.0,26,3.358303
27.0,27,3.372672
20.0,20,3.389772
14.0,14,3.398856
67.0,67,3.455537
46.0,46,3.501127
68.0,68,3.564578
24.0,24,3.580619
23.0,23,3.5993
17.0,17,3.610284
67.0,67,3.662322
12.0,12,3.669464
67.0,67,3.714951
20.0,20,3.742093
17.0,17,3.766434
10.0,10,3.774137
25.0,25,3.788339
9.0,9,3.793703
39.0,39,3.818099
17.0,17,3.829315
38.0,38,3.849316
29.0,29,3.869521
13.0,13,3.881211
28.0,28,3.906538
22.0,22,3.919056
20.0,20,3.931213
41.0,41,3.957542
21.0,21,3.969923
44.0,44,4.003649
30.0,30,4.030334
27.0,27,4.059109
25.0,25,4.085229
13.0,13,4.095119
14.0,14,4.113237
40.0,40,4.158012
49.0,49,4.209998
18.0,18,4.246825
25.0,25,4.27543
72.0,72,4.330261
12.0,12,4.351066
24.0,24,4.38029
37.0,37,4.427475
43.0,43,4.469102
12.0,12,4.48759
18.0,18,4.498129
36.0,36,4.52136
18.0,18,4.540463
24.0,24,4.561189
28.0,28,4.577978
41.0,41,4.609757
27.0,27,4.626621
79.0,79,4.686451
22.0,22,4.707294
13.0,13,4.728112
19.0,19,4.744618
11.0,11,4.750916
17.0,17,4.763009
17.0,17,4.776705
28.0,28,4.799057
13.0,13,4.80773
14.0,14,4.814981
15.0,15,4.824503
32.0,32,4.845135
15.0,15,4.853662
25.0,25,4.88062
14.0,14,4.898913
24.0,24,4.912633
30.0,30,4.93143
22.0,22,4.944578
66.0,66,4.989979
15.0,15,5.007239
71.0,71,6.191192
58.0,58,6.23492
17.0,17,6.251181
20.0,20,6.281041
15.0,15,6.302542
32.0,32,6.326081
22.0,22,6.34751
15.0,15,6.3572
19.0,19,6.368397
19.0,19,6.381238
46.0,46,6.410855
16.0,16,6.429834
12.0,12,6.436121
10.0,10,6.443667
30.0,30,6.46199
30.0,30,6.483527
24.0,24,6.499279
14.0,14,6.50962
28.0,28,6.524775
22.0,22,6.546194
14.0,14,6.553643
25.0,25,6.577007
31.0,31,6.606003
15.0,15,6.625815
14.0,14,6.632423
44.0,44,6.659167
10.0,10,6.665319
