#{"t_start": 1747234123.294703, "env_id": "None"}
r,l,t
18.0,18,2.309194
21.0,21,2.361096
35.0,35,2.433599
20.0,20,2.460712
14.0,14,2.474933
15.0,15,2.489732
48.0,48,2.553181
17.0,17,2.566731
18.0,18,2.588837
44.0,44,2.635685
9.0,9,2.648116
13.0,13,2.658167
20.0,20,2.680787
73.0,73,2.744289
13.0,13,2.769838
36.0,36,2.791994
24.0,24,2.821051
16.0,16,2.858286
25.0,25,2.878096
24.0,24,2.902882
23.0,23,2.931042
30.0,30,2.958608
20.0,20,2.979079
24.0,24,3.003999
15.0,15,3.024087
24.0,24,3.058413
22.0,22,3.117293
12.0,12,3.131659
45.0,45,3.204373
33.0,33,3.255856
11.0,11,3.271658
16.0,16,3.294298
19.0,19,3.366488
15.0,15,3.388186
19.0,19,3.432325
14.0,14,3.463857
70.0,70,3.547606
12.0,12,3.569437
11.0,11,3.584186
13.0,13,3.596434
14.0,14,3.619193
26.0,26,3.648188
11.0,11,3.66008
10.0,10,3.676357
23.0,23,3.707148
13.0,13,3.719627
19.0,19,3.755199
12.0,12,3.772817
17.0,17,3.791788
15.0,15,3.809144
25.0,25,3.841566
22.0,22,3.858884
14.0,14,3.872804
12.0,12,3.888268
13.0,13,3.902292
10.0,10,3.914312
48.0,48,3.952553
74.0,74,4.029066
20.0,20,4.044554
26.0,26,4.077132
21.0,21,4.098626
17.0,17,4.122355
14.0,14,4.142825
14.0,14,4.172022
18.0,18,4.192267
30.0,30,4.238781
27.0,27,4.274646
24.0,24,4.30316
14.0,14,4.331289
26.0,26,4.371817
45.0,45,4.459695
16.0,16,4.502856
21.0,21,4.558696
16.0,16,4.58742
43.0,43,4.666969
15.0,15,4.67913
20.0,20,4.709191
28.0,28,4.748151
22.0,22,4.779135
15.0,15,4.791646
29.0,29,4.811795
18.0,18,4.837183
37.0,37,4.892773
27.0,27,4.930356
17.0,17,4.945615
16.0,16,4.96916
59.0,59,5.042711
24.0,24,5.064444
44.0,44,6.666226
18.0,18,6.688324
21.0,21,6.718676
14.0,14,6.757333
63.0,63,6.830646
34.0,34,6.877807
19.0,19,6.904016
53.0,53,6.97698
17.0,17,6.993586
24.0,24,7.031798
51.0,51,7.10445
32.0,32,7.14953
40.0,40,7.205508
32.0,32,7.242157
30.0,30,7.283887
13.0,13,7.3163
19.0,19,7.342563
12.0,12,7.359217
24.0,24,7.391491
19.0,19,7.422528
13.0,13,7.442637
27.0,27,7.477005
15.0,15,7.502769
39.0,39,7.556224
15.0,15,7.573228
12.0,12,7.593648
24.0,24,7.63223
15.0,15,7.667005
23.0,23,7.708837
27.0,27,7.743907
78.0,78,7.849347
13.0,13,7.867606
28.0,28,7.905547
46.0,46,7.971138
14.0,14,7.991983
23.0,23,8.028141
17.0,17,8.053179
87.0,87,8.153171
21.0,21,8.18093
33.0,33,8.227602
28.0,28,8.273883
22.0,22,8.307958
38.0,38,8.338906
81.0,81,8.437713
21.0,21,8.473769
15.0,15,8.490668
13.0,13,8.514445
16.0,16,8.541258
47.0,47,8.628422
63.0,63,8.715711
17.0,17,8.757204
22.0,22,8.787606
40.0,40,8.855474
58.0,58,8.938668
20.0,20,8.966394
25.0,25,9.015825
74.0,74,9.134622
17.0,17,9.171268
31.0,31,9.217479
18.0,18,9.258842
15.0,15,9.292257
14.0,14,9.306455
54.0,54,9.3682
44.0,44,9.459346
24.0,24,9.513757
25.0,25,9.574746
24.0,24,9.639241
18.0,18,9.685956
32.0,32,12.534855
38.0,38,12.612853
73.0,73,12.752531
33.0,33,12.811136
45.0,45,12.891794
15.0,15,12.92438
77.0,77,13.028965
12.0,12,13.059991
24.0,24,13.092211
65.0,65,13.17739
22.0,22,13.219409
56.0,56,13.298738
19.0,19,13.34777
22.0,22,13.38174
24.0,24,13.416872
21.0,21,13.453252
39.0,39,13.533799
37.0,37,13.602518
26.0,26,13.670738
19.0,19,13.69502
14.0,14,13.708293
106.0,106,13.844907
19.0,19,13.885843
12.0,12,13.903579
57.0,57,13.988162
19.0,19,14.031527
27.0,27,14.081997
86.0,86,14.172351
50.0,50,14.249172
29.0,29,14.310196
40.0,40,14.385704
13.0,13,14.398922
24.0,24,14.429155
14.0,14,14.447473
64.0,64,14.550049
54.0,54,14.627751
23.0,23,14.667828
131.0,131,14.845169
20.0,20,14.882597
20.0,20,14.911161
21.0,21,14.943544
14.0,14,14.962524
29.0,29,15.000319
27.0,27,15.056384
20.0,20,15.109905
16.0,16,15.165057
20.0,20,15.214133
22.0,22,15.262445
32.0,32,15.342249
13.0,13,15.376581
14.0,14,15.405494
64.0,64,15.532421
13.0,13,15.549035
46.0,46,15.631529
24.0,24,15.670398
20.0,20,15.703763
17.0,17,15.730633
39.0,39,15.775946
12.0,12,15.798769
54.0,54,15.894646
59.0,59,18.06457
113.0,113,18.226442
58.0,58,18.329916
47.0,47,18.402285
64.0,64,18.511344
53.0,53,18.611388
124.0,124,18.805094
53.0,53,18.918076
30.0,30,19.022754
84.0,84,19.197614
32.0,32,19.232462
27.0,27,19.333471
13.0,13,19.365372
21.0,21,19.450085
17.0,17,19.488081
33.0,33,19.585892
37.0,37,19.670021
54.0,54,19.766753
48.0,48,19.849287
34.0,34,19.908539
31.0,31,19.998286
17.0,17,20.025823
12.0,12,20.049762
123.0,123,20.218847
39.0,39,20.272562
82.0,82,20.409666
22.0,22,20.481012
61.0,61,20.592383
23.0,23,20.639072
21.0,21,20.670436
34.0,34,20.723332
74.0,74,20.829746
27.0,27,20.912891
21.0,21,20.968394
60.0,60,21.065626
32.0,32,21.099556
67.0,67,21.142543
40.0,40,21.178569
46.0,46,21.210558
22.0,22,21.236368
43.0,43,21.267332
24.0,24,21.295661
19.0,19,21.310278
18.0,18,21.31963
151.0,151,22.578899
59.0,59,22.675278
34.0,34,22.72607
39.0,39,22.751619
25.0,25,22.771715
85.0,85,22.818729
50.0,50,22.864261
35.0,35,22.891576
39.0,39,22.9268
107.0,107,22.992323
13.0,13,23.012858
88.0,88,23.090534
15.0,15,23.109819
103.0,103,23.174143
20.0,20,23.245325
56.0,56,23.305045
55.0,55,23.397232
