#{"t_start": 1747233934.3515909, "env_id": "None"}
r,l,t
33.0,33,0.132166
22.0,22,0.171954
17.0,17,0.198496
60.0,60,0.300186
24.0,24,0.341116
16.0,16,0.357081
17.0,17,0.377593
29.0,29,0.412174
35.0,35,0.446666
11.0,11,0.458338
15.0,15,0.47442
25.0,25,0.501043
13.0,13,0.516469
19.0,19,0.543539
15.0,15,0.558783
12.0,12,0.566519
21.0,21,0.599288
11.0,11,0.616013
20.0,20,0.646013
20.0,20,0.675742
33.0,33,0.719543
32.0,32,0.750519
14.0,14,0.764033
13.0,13,0.774894
33.0,33,0.817658
26.0,26,0.853012
12.0,12,0.878345
13.0,13,0.894977
20.0,20,0.909407
11.0,11,0.917556
9.0,9,0.925323
35.0,35,0.964527
23.0,23,0.976444
14.0,14,0.98473
10.0,10,0.99227
41.0,41,1.018708
44.0,44,1.051636
16.0,16,1.065679
20.0,20,1.095576
13.0,13,1.110504
14.0,14,1.119542
31.0,31,1.141583
19.0,19,1.163232
18.0,18,1.186294
34.0,34,1.233082
21.0,21,1.256177
30.0,30,1.287286
27.0,27,1.312449
23.0,23,1.328312
14.0,14,1.338954
13.0,13,1.345577
9.0,9,1.352063
22.0,22,1.364328
25.0,25,1.386253
24.0,24,1.398886
58.0,58,1.432728
33.0,33,1.453719
23.0,23,1.46697
16.0,16,1.480858
20.0,20,1.498305
10.0,10,1.506358
79.0,79,1.56058
43.0,43,1.607341
23.0,23,1.623623
34.0,34,1.644214
15.0,15,1.660917
13.0,13,1.679044
32.0,32,1.703308
23.0,23,1.71675
18.0,18,1.727806
12.0,12,1.733691
19.0,19,1.745738
11.0,11,1.751739
32.0,32,1.775968
16.0,16,1.802391
33.0,33,1.846175
17.0,17,1.867859
15.0,15,1.883555
10.0,10,1.905129
12.0,12,1.932372
13.0,13,1.958035
13.0,13,1.972034
9.0,9,1.988034
10.0,10,2.002086
24.0,24,2.033982
10.0,10,2.045336
41.0,41,2.092999
31.0,31,2.142469
30.0,30,2.204965
18.0,18,2.242305
16.0,16,2.286675
15.0,15,2.314382
31.0,31,3.743277
36.0,36,3.763171
49.0,49,3.803522
28.0,28,3.824983
38.0,38,3.843081
17.0,17,3.857752
27.0,27,3.874351
26.0,26,3.890739
13.0,13,3.897186
13.0,13,3.904782
18.0,18,3.914821
21.0,21,3.927025
39.0,39,3.949413
12.0,12,3.959202
12.0,12,3.966653
55.0,55,4.000473
30.0,30,4.018276
27.0,27,4.035939
43.0,43,4.079648
39.0,39,4.124743
29.0,29,4.14809
13.0,13,4.157736
22.0,22,4.170162
13.0,13,4.178253
20.0,20,4.191818
30.0,30,4.21062
25.0,25,4.225524
11.0,11,4.231206
24.0,24,4.24817
46.0,46,4.296013
44.0,44,4.354264
40.0,40,4.395855
10.0,10,4.401923
67.0,67,4.440957
13.0,13,4.448961
27.0,27,4.474928
18.0,18,4.485263
27.0,27,4.505465
51.0,51,4.536593
14.0,14,4.544895
19.0,19,4.557816
17.0,17,4.565511
14.0,14,4.57434
25.0,25,4.588606
26.0,26,4.60883
27.0,27,4.623627
19.0,19,4.63446
32.0,32,4.660117
53.0,53,4.701767
14.0,14,4.708744
17.0,17,4.718562
42.0,42,4.747283
20.0,20,4.758155
17.0,17,4.766654
12.0,12,4.775281
27.0,27,4.790919
21.0,21,4.802283
29.0,29,4.826655
17.0,17,4.84032
45.0,45,4.878094
18.0,18,4.898473
14.0,14,4.919326
15.0,15,4.93194
35.0,35,4.954061
16.0,16,4.963741
11.0,11,4.974061
28.0,28,4.994077
24.0,24,5.010332
32.0,32,5.028789
16.0,16,5.039208
25.0,25,5.056128
15.0,15,5.075238
24.0,24,5.107584
14.0,14,5.12401
19.0,19,5.158782
20.0,20,5.185733
13.0,13,5.19544
29.0,29,5.228963
29.0,29,5.269112
26.0,26,5.296261
29.0,29,6.632956
73.0,73,6.686988
26.0,26,6.715609
54.0,54,6.762729
11.0,11,6.772405
16.0,16,6.79432
24.0,24,6.817863
32.0,32,6.843507
16.0,16,6.856251
11.0,11,6.86708
18.0,18,6.882391
34.0,34,6.900552
17.0,17,6.911253
17.0,17,6.920415
30.0,30,6.943068
15.0,15,6.951254
36.0,36,6.971642
23.0,23,6.986523
27.0,27,7.003869
15.0,15,7.013936
19.0,19,7.026168
31.0,31,7.048882
34.0,34,7.069283
22.0,22,7.085799
20.0,20,7.105641
16.0,16,7.119934
29.0,29,7.139956
20.0,20,7.163545
40.0,40,7.189495
62.0,62,7.294902
34.0,34,7.333753
16.0,16,7.343449
24.0,24,7.366485
19.0,19,7.378674
26.0,26,7.398802
64.0,64,7.435817
22.0,22,7.448628
16.0,16,7.457823
12.0,12,7.464041
50.0,50,7.493876
14.0,14,7.502065
35.0,35,7.527502
32.0,32,7.555595
12.0,12,7.570447
28.0,28,7.649527
14.0,14,7.68402
12.0,12,7.709327
19.0,19,7.731946
21.0,21,7.76689
38.0,38,7.796432
22.0,22,7.810629
22.0,22,7.828481
44.0,44,7.870046
39.0,39,7.906361
19.0,19,7.916353
14.0,14,7.927385
34.0,34,7.945928
23.0,23,7.959345
18.0,18,7.969859
76.0,76,8.03297
37.0,37,8.066437
32.0,32,8.098902
16.0,16,8.112721
12.0,12,8.122759
14.0,14,8.132905
14.0,14,8.144037
12.0,12,8.150984
42.0,42,8.177694
12.0,12,8.184587
58.0,58,8.249321
29.0,29,8.280739
17.0,17,8.313756
16.0,16,8.333358
20.0,20,8.353554
15.0,15,8.362892
20.0,20,8.382632
43.0,43,8.406127
30.0,30,9.656889
36.0,36,9.675285
37.0,37,9.698531
30.0,30,9.715441
26.0,26,9.732344
28.0,28,9.748842
31.0,31,9.777298
20.0,20,9.793046
36.0,36,9.848791
21.0,21,9.862881
41.0,41,9.885676
17.0,17,9.903463
45.0,45,9.953641
64.0,64,10.015501
32.0,32,10.042067
23.0,23,10.076737
18.0,18,10.095516
42.0,42,10.149354
24.0,24,10.183083
42.0,42,10.239506
32.0,32,10.28434
40.0,40,10.342387
40.0,40,10.385875
16.0,16,10.395716
16.0,16,10.407661
28.0,28,10.42968
20.0,20,10.460743
29.0,29,10.52423
43.0,43,10.573775
42.0,42,10.602888
15.0,15,10.612796
21.0,21,10.623348
20.0,20,10.635802
11.0,11,10.6469
24.0,24,10.668714
13.0,13,10.68407
73.0,73,10.789483
48.0,48,10.846076
24.0,24,10.884316
22.0,22,10.927866
27.0,27,10.953457
39.0,39,11.014093
44.0,44,11.054692
