#{"t_start": 1747226354.0768037, "env_id": "None"}
r,l,t
18.0,18,0.076452
21.0,21,0.106954
35.0,35,0.156673
20.0,20,0.224609
14.0,14,0.224609
15.0,15,0.24634
48.0,48,0.281435
17.0,17,0.297292
18.0,18,0.314435
62.0,62,0.381021
19.0,19,0.42292
33.0,33,0.446362
30.0,30,0.473023
16.0,16,0.497576
14.0,14,0.511016
33.0,33,0.525247
19.0,19,0.547378
15.0,15,0.562622
38.0,38,0.593077
24.0,24,0.614663
25.0,25,0.631439
16.0,16,0.648934
80.0,80,0.708766
29.0,29,0.745795
13.0,13,0.777597
14.0,14,0.797584
16.0,16,0.814259
25.0,25,0.848684
17.0,17,0.861706
32.0,32,0.888409
31.0,31,0.912465
16.0,16,0.928546
11.0,11,0.935308
24.0,24,0.94265
23.0,23,0.976781
12.0,12,0.981272
16.0,16,1.000933
16.0,16,1.015449
14.0,14,1.029923
28.0,28,1.042409
34.0,34,1.075855
15.0,15,1.081886
16.0,16,1.097764
17.0,17,1.115163
20.0,20,1.132138
11.0,11,1.143652
30.0,30,1.184268
46.0,46,1.242601
18.0,18,1.261312
18.0,18,1.279308
25.0,25,1.297663
20.0,20,1.314229
17.0,17,1.329412
18.0,18,1.344578
15.0,15,1.348821
11.0,11,1.367301
19.0,19,1.375872
24.0,24,1.39918
24.0,24,1.424927
15.0,15,1.432679
25.0,25,1.460478
17.0,17,1.492248
14.0,14,1.510372
19.0,19,1.527996
26.0,26,1.548399
21.0,21,1.580873
15.0,15,1.596095
17.0,17,1.61056
14.0,14,1.623587
15.0,15,1.639838
11.0,11,1.651522
28.0,28,1.681206
12.0,12,1.693144
14.0,14,1.693144
18.0,18,1.717806
15.0,15,1.73187
16.0,16,1.749126
19.0,19,1.767325
23.0,23,1.783132
9.0,9,1.798493
16.0,16,1.812749
16.0,16,1.827812
30.0,30,1.851748
15.0,15,1.859979
17.0,17,1.880865
21.0,21,1.897951
20.0,20,1.915131
19.0,19,1.930824
17.0,17,1.945995
9.0,9,1.95345
25.0,25,1.973881
20.0,20,1.99731
16.0,16,2.009851
72.0,72,2.059841
18.0,18,3.167508
15.0,15,3.184429
12.0,12,3.184429
22.0,22,3.209914
19.0,19,3.209914
20.0,20,3.236113
23.0,23,3.251196
14.0,14,3.260597
12.0,12,3.260597
43.0,43,3.29983
41.0,41,3.328273
21.0,21,3.348664
9.0,9,3.351395
25.0,25,3.366826
15.0,15,3.384572
26.0,26,3.400371
15.0,15,3.414708
22.0,22,3.42765
19.0,19,3.42765
20.0,20,3.449749
29.0,29,3.469697
56.0,56,3.510923
28.0,28,3.531819
23.0,23,3.550263
29.0,29,3.566961
25.0,25,3.585091
27.0,27,3.613505
38.0,38,3.642238
31.0,31,3.666419
12.0,12,3.677413
21.0,21,3.694227
11.0,11,3.700413
16.0,16,3.716812
17.0,17,3.809785
15.0,15,3.849474
17.0,17,3.886098
22.0,22,3.924149
28.0,28,3.97313
15.0,15,3.993238
23.0,23,4.052228
26.0,26,4.102657
12.0,12,4.128212
18.0,18,4.162993
54.0,54,4.29829
50.0,50,4.440667
26.0,26,4.505213
20.0,20,4.538983
38.0,38,4.602487
45.0,45,4.686322
50.0,50,4.763016
19.0,19,4.822164
35.0,35,4.889055
71.0,71,5.004147
13.0,13,5.030931
24.0,24,5.094571
30.0,30,5.152724
11.0,11,5.171771
49.0,49,5.259981
32.0,32,5.312738
42.0,42,5.382887
61.0,61,5.477381
12.0,12,5.499457
16.0,16,5.534082
17.0,17,5.563822
13.0,13,5.587385
15.0,15,5.612669
64.0,64,5.710938
65.0,65,5.82936
42.0,42,5.942377
45.0,45,5.997642
26.0,26,6.025284
13.0,13,6.029954
20.0,20,6.046283
38.0,38,6.079782
44.0,44,6.11426
27.0,27,7.255845
16.0,16,7.262991
60.0,60,7.314167
27.0,27,7.336249
38.0,38,7.362134
20.0,20,7.369964
30.0,30,7.396739
46.0,46,7.419441
18.0,18,7.431103
22.0,22,7.451786
14.0,14,7.463315
18.0,18,7.470134
57.0,57,7.513428
16.0,16,7.514436
21.0,21,7.535733
48.0,48,7.569392
15.0,15,7.5908
31.0,31,7.619229
33.0,33,7.653109
14.0,14,7.671043
14.0,14,7.684841
22.0,22,7.703765
39.0,39,7.735927
33.0,33,7.769542
28.0,28,7.805461
36.0,36,7.814513
62.0,62,7.886646
24.0,24,7.916422
14.0,14,7.938756
39.0,39,7.968447
12.0,12,7.998248
72.0,72,8.047348
26.0,26,8.080781
14.0,14,8.10279
93.0,93,8.173069
25.0,25,8.198585
34.0,34,8.220175
25.0,25,8.236962
14.0,14,8.253469
56.0,56,8.298321
39.0,39,8.33659
24.0,24,8.362883
18.0,18,8.385697
47.0,47,8.419399
42.0,42,8.462903
16.0,16,8.487658
20.0,20,8.498461
32.0,32,8.519611
20.0,20,8.537486
26.0,26,8.554366
32.0,32,8.581724
43.0,43,8.60699
15.0,15,8.615175
21.0,21,8.636533
14.0,14,8.647596
31.0,31,8.670136
19.0,19,8.683345
11.0,11,8.687675
19.0,19,8.703866
32.0,32,8.720624
32.0,32,8.751014
50.0,50,8.785945
31.0,31,8.815503
18.0,18,8.83729
40.0,40,8.865458
24.0,24,8.904862
53.0,53,8.949275
44.0,44,10.153585
28.0,28,10.18062
57.0,57,10.223847
75.0,75,10.266463
21.0,21,10.302893
25.0,25,10.319852
71.0,71,10.371525
25.0,25,10.402545
25.0,25,10.424763
26.0,26,10.443093
23.0,23,10.460983
66.0,66,10.509144
29.0,29,10.530159
15.0,15,10.539319
25.0,25,10.558656
21.0,21,10.575729
27.0,27,10.594751
57.0,57,10.637709
17.0,17,10.650824
24.0,24,10.668351
38.0,38,10.694699
14.0,14,10.702037
35.0,35,10.722126
16.0,16,10.742037
24.0,24,10.758652
29.0,29,10.783456
31.0,31,10.809057
34.0,34,10.833334
28.0,28,10.855165
48.0,48,10.890414
66.0,66,10.938264
48.0,48,10.967035
64.0,64,11.014943
13.0,13,11.024103
34.0,34,11.050663
53.0,53,11.088215
30.0,30,11.111049
30.0,30,11.136162
45.0,45,11.168584
18.0,18,11.190439
79.0,79,11.249446
23.0,23,11.273001
42.0,42,11.30963
23.0,23,11.338458
134.0,134,11.438259
33.0,33,11.468571
32.0,32,11.490819
33.0,33,11.516469
34.0,34,11.669199
34.0,34,11.700451
33.0,33,11.740664
16.0,16,11.768755
49.0,49,11.805596
21.0,21,11.832473
41.0,41,11.868279
51.0,51,11.920639
34.0,34,12.953053
34.0,34,12.98174
66.0,66,13.038974
34.0,34,13.073707
55.0,55,13.11056
28.0,28,13.145302
37.0,37,13.188044
76.0,76,13.239693
39.0,39,13.287769
38.0,38,13.306736
20.0,20,13.321657
38.0,38,13.358203
24.0,24,13.37409
45.0,45,13.41258
49.0,49,13.455253
44.0,44,13.490271
35.0,35,13.521314
29.0,29,13.544653
25.0,25,13.558344
33.0,33,13.591725
53.0,53,13.621667
20.0,20,13.644493
24.0,24,13.657946
32.0,32,13.689098
21.0,21,13.706747
63.0,63,13.752014
50.0,50,13.786055
45.0,45,13.838498
47.0,47,13.874619
42.0,42,13.918931
44.0,44,13.961245
53.0,53,14.012109
42.0,42,14.048194
39.0,39,14.084575
65.0,65,14.140097
23.0,23,14.177319
56.0,56,14.222061
38.0,38,14.264549
39.0,39,14.302149
41.0,41,14.325464
26.0,26,14.336398
25.0,25,14.373079
54.0,54,14.408857
44.0,44,14.452483
39.0,39,14.494036
26.0,26,14.522802
78.0,78,14.6192
53.0,53,14.696345
62.0,62,14.736543
12.0,12,14.759287
