#{"t_start": 1747226372.7895682, "env_id": "None"}
r,l,t
18.0,18,6.773015
21.0,21,6.805004
35.0,35,6.847615
20.0,20,6.871114
14.0,14,6.88309
15.0,15,6.893937
48.0,48,6.93394
17.0,17,6.943105
18.0,18,6.9594
44.0,44,6.992054
9.0,9,7.008679
13.0,13,7.01696
20.0,20,7.038504
73.0,73,7.08828
13.0,13,7.1085
36.0,36,7.132229
24.0,24,7.154041
16.0,16,7.157318
25.0,25,7.183596
24.0,24,7.201842
23.0,23,7.216756
30.0,30,7.238841
20.0,20,7.2553
24.0,24,7.272121
15.0,15,7.284995
24.0,24,7.303461
22.0,22,7.321175
12.0,12,7.332028
45.0,45,7.368708
33.0,33,7.385677
11.0,11,7.403066
16.0,16,7.405065
19.0,19,7.423103
15.0,15,7.438711
19.0,19,7.45548
14.0,14,7.465831
70.0,70,7.521349
12.0,12,7.525373
11.0,11,7.5384
13.0,13,7.539522
14.0,14,7.555831
26.0,26,7.572499
11.0,11,7.588508
10.0,10,7.595593
23.0,23,7.612135
13.0,13,7.622602
19.0,19,7.639234
12.0,12,7.639234
17.0,17,7.660265
15.0,15,7.673827
25.0,25,7.709919
22.0,22,7.757917
14.0,14,7.852829
12.0,12,7.891634
13.0,13,7.918024
10.0,10,7.956368
48.0,48,8.034824
74.0,74,8.123043
20.0,20,8.151215
26.0,26,8.186962
21.0,21,8.204254
17.0,17,8.232126
14.0,14,8.24001
14.0,14,8.255527
18.0,18,8.286152
30.0,30,8.325086
27.0,27,8.359758
24.0,24,8.4178
14.0,14,8.444743
26.0,26,8.473262
45.0,45,8.523887
16.0,16,8.552427
21.0,21,8.574988
16.0,16,8.596202
43.0,43,8.652054
15.0,15,8.671733
20.0,20,8.685507
28.0,28,8.747365
22.0,22,8.786531
15.0,15,8.806849
29.0,29,8.835239
18.0,18,8.866957
37.0,37,8.904414
27.0,27,8.926205
17.0,17,8.954969
16.0,16,8.973298
59.0,59,9.040576
24.0,24,9.07381
22.0,22,10.31489
15.0,15,10.32426
18.0,18,10.340142
14.0,14,10.354276
32.0,32,10.375011
39.0,39,10.40888
11.0,11,10.427434
39.0,39,10.458464
21.0,21,10.475521
42.0,42,10.508599
11.0,11,10.520076
17.0,17,10.525222
13.0,13,10.543509
15.0,15,10.557187
29.0,29,10.584047
61.0,61,10.620002
14.0,14,10.638264
34.0,34,10.660918
17.0,17,10.677186
19.0,19,10.692695
26.0,26,10.709306
12.0,12,10.72165
23.0,23,10.738186
16.0,16,10.742285
18.0,18,10.758982
11.0,11,10.771445
26.0,26,10.786585
77.0,77,10.836596
23.0,23,10.856928
18.0,18,10.871805
12.0,12,10.874977
10.0,10,10.88636
10.0,10,10.894605
15.0,15,10.90643
39.0,39,10.934323
18.0,18,10.944519
26.0,26,10.963636
43.0,43,10.993393
16.0,16,11.006797
18.0,18,11.0179
23.0,23,11.035306
36.0,36,11.058943
9.0,9,11.068971
34.0,34,11.092444
18.0,18,11.107549
26.0,26,11.124694
14.0,14,11.136793
14.0,14,11.141758
46.0,46,11.176649
30.0,30,11.193415
11.0,11,11.20834
19.0,19,11.220851
13.0,13,11.230023
31.0,31,11.247152
32.0,32,11.276405
16.0,16,11.289806
28.0,28,11.310292
12.0,12,11.319036
9.0,9,11.325715
15.0,15,11.336074
20.0,20,11.338765
20.0,20,11.352472
30.0,30,11.387766
21.0,21,11.403695
37.0,37,11.430841
14.0,14,11.437124
17.0,17,11.455744
15.0,15,11.458744
45.0,45,11.492292
12.0,12,11.506786
30.0,30,11.538633
14.0,14,11.542328
37.0,37,11.598788
23.0,23,11.639743
70.0,70,11.728443
36.0,36,11.77587
18.0,18,11.805818
11.0,11,11.824446
15.0,15,11.853983
14.0,14,11.885122
15.0,15,11.901798
26.0,26,11.928281
20.0,20,11.937536
14.0,14,11.957446
17.0,17,11.970591
18.0,18,11.989098
23.0,23,12.00952
11.0,11,12.01971
13.0,13,12.030682
17.0,17,13.126242
11.0,11,13.135297
19.0,19,13.148915
33.0,33,13.175193
60.0,60,13.211271
50.0,50,13.24342
12.0,12,13.259305
21.0,21,13.272407
16.0,16,13.276656
58.0,58,13.327939
23.0,23,13.341354
11.0,11,13.341354
14.0,14,13.360684
21.0,21,13.375613
24.0,24,13.39203
22.0,22,13.411132
29.0,29,13.427818
33.0,33,13.457322
41.0,41,13.476367
16.0,16,13.490924
29.0,29,13.515915
15.0,15,13.527086
11.0,11,13.528425
24.0,24,13.55704
69.0,69,13.60518
26.0,26,13.626329
42.0,42,13.657754
14.0,14,13.666093
13.0,13,13.678021
22.0,22,13.695351
21.0,21,13.712002
