#{"t_start": 1747234181.6558867, "env_id": "None"}
r,l,t
18.0,18,0.459913
21.0,21,0.48843
35.0,35,0.522918
20.0,20,0.543494
14.0,14,0.554368
15.0,15,0.563044
48.0,48,0.593812
17.0,17,0.605254
18.0,18,0.613753
44.0,44,0.658001
9.0,9,0.675393
13.0,13,0.683176
20.0,20,0.693377
73.0,73,0.74592
13.0,13,0.764209
36.0,36,0.791562
24.0,24,0.809402
16.0,16,0.820727
25.0,25,0.833362
24.0,24,0.849122
23.0,23,0.878865
30.0,30,0.902596
20.0,20,0.914824
24.0,24,0.940737
15.0,15,0.962665
24.0,24,0.996184
22.0,22,1.020394
12.0,12,1.03027
45.0,45,1.078769
33.0,33,1.105381
11.0,11,1.113245
16.0,16,1.126212
19.0,19,1.144615
15.0,15,1.163977
19.0,19,1.1856
14.0,14,1.20028
70.0,70,1.286477
12.0,12,1.310624
11.0,11,1.338753
13.0,13,1.357889
14.0,14,1.372612
26.0,26,1.402411
11.0,11,1.417386
10.0,10,1.431271
23.0,23,1.462832
13.0,13,1.477322
19.0,19,1.494189
12.0,12,1.504896
17.0,17,1.522172
15.0,15,1.531389
25.0,25,1.547107
22.0,22,1.561132
14.0,14,1.57212
12.0,12,1.577766
13.0,13,1.587151
10.0,10,1.59381
48.0,48,1.622436
74.0,74,1.6628
20.0,20,1.673613
26.0,26,1.689675
21.0,21,1.703674
17.0,17,1.712046
14.0,14,1.721254
14.0,14,1.729259
18.0,18,1.741441
30.0,30,1.759449
27.0,27,1.776269
24.0,24,1.791461
14.0,14,1.79991
26.0,26,1.820282
45.0,45,1.854945
16.0,16,1.893957
21.0,21,1.967968
16.0,16,2.001826
43.0,43,2.095767
15.0,15,2.115911
20.0,20,2.149393
28.0,28,2.195051
22.0,22,2.219971
15.0,15,2.242246
29.0,29,2.276405
18.0,18,2.293287
37.0,37,2.329861
27.0,27,2.363103
17.0,17,2.383148
16.0,16,2.40449
59.0,59,2.465356
24.0,24,2.485373
22.0,22,3.623316
15.0,15,3.631316
18.0,18,3.639944
14.0,14,3.652013
32.0,32,3.670741
39.0,39,3.696824
12.0,12,3.706584
26.0,26,3.723149
21.0,21,3.733155
28.0,28,3.749236
18.0,18,3.760656
18.0,18,3.77203
16.0,16,3.780547
13.0,13,3.788776
33.0,33,3.81045
33.0,33,3.829051
14.0,14,3.838976
34.0,34,3.859031
16.0,16,3.867789
13.0,13,3.876786
19.0,19,3.886302
18.0,18,3.898283
20.0,20,3.909675
12.0,12,3.915676
13.0,13,3.92408
