#{"t_start": 1747227053.4878254, "env_id": "None"}
r,l,t
21.0,21,0.073375
11.0,11,0.1177
12.0,12,0.15065
14.0,14,0.179174
63.0,63,0.261963
76.0,76,0.378723
20.0,20,0.417816
14.0,14,0.439201
15.0,15,0.4572
14.0,14,0.475802
37.0,37,0.521243
18.0,18,0.556988
15.0,15,0.576507
13.0,13,0.593346
20.0,20,0.612833
11.0,11,0.625567
22.0,22,0.652703
29.0,29,0.684487
17.0,17,0.704364
21.0,21,0.726121
18.0,18,0.742719
18.0,18,0.761949
26.0,26,0.795615
22.0,22,0.825634
14.0,14,0.837816
17.0,17,0.854669
20.0,20,0.871738
15.0,15,0.885953
12.0,12,0.898232
22.0,22,0.919112
21.0,21,1.021705
30.0,30,1.061626
19.0,19,1.076212
47.0,47,1.118691
26.0,26,1.160605
10.0,10,1.179976
26.0,26,1.243434
41.0,41,1.301822
14.0,14,1.316616
21.0,21,1.345901
30.0,30,1.368063
15.0,15,1.379776
12.0,12,1.390929
31.0,31,1.418793
14.0,14,1.443358
21.0,21,1.471928
13.0,13,1.484286
17.0,17,1.497559
51.0,51,1.534864
11.0,11,1.545157
26.0,26,1.567723
32.0,32,1.59666
26.0,26,1.620916
10.0,10,1.632302
14.0,14,1.644835
20.0,20,1.662221
14.0,14,1.677478
16.0,16,1.692923
10.0,10,1.700142
16.0,16,1.714467
22.0,22,1.732339
21.0,21,1.748022
14.0,14,1.759168
29.0,29,1.78205
17.0,17,1.795325
12.0,12,1.810987
24.0,24,1.82946
15.0,15,1.84103
12.0,12,1.849897
21.0,21,1.867005
12.0,12,1.877767
13.0,13,1.887381
21.0,21,1.903454
20.0,20,1.919519
21.0,21,1.935027
18.0,18,1.948007
42.0,42,1.977947
37.0,37,2.003823
14.0,14,2.014428
17.0,17,2.027515
16.0,16,2.041265
14.0,14,2.050929
11.0,11,2.059197
39.0,39,2.087139
48.0,48,2.121321
40.0,40,2.157924
28.0,28,2.182838
13.0,13,2.197816
25.0,25,2.219445
17.0,17,2.235975
57.0,57,2.293541
9.0,9,2.300443
23.0,23,2.323998
19.0,19,3.401742
12.0,12,3.409513
29.0,29,3.430287
22.0,22,3.446216
20.0,20,3.462774
40.0,40,3.491811
22.0,22,3.505092
26.0,26,3.525505
14.0,14,3.536278
16.0,16,3.549738
19.0,19,3.563952
24.0,24,3.585363
37.0,37,3.630518
11.0,11,3.644245
16.0,16,3.663064
15.0,15,3.682929
17.0,17,3.70694
16.0,16,3.731179
20.0,20,3.767437
19.0,19,3.802319
11.0,11,3.821651
21.0,21,3.853956
33.0,33,3.932005
29.0,29,3.969522
12.0,12,3.986649
31.0,31,4.019983
24.0,24,4.048035
18.0,18,4.067283
16.0,16,4.086294
106.0,106,4.224259
11.0,11,4.239898
27.0,27,4.28487
11.0,11,4.306258
19.0,19,4.335946
15.0,15,4.354256
43.0,43,4.398486
43.0,43,4.448616
15.0,15,4.465445
27.0,27,4.500191
21.0,21,4.523352
42.0,42,4.580533
29.0,29,4.619967
10.0,10,4.631599
16.0,16,4.649844
29.0,29,4.684853
30.0,30,4.710001
18.0,18,4.725243
38.0,38,4.759479
45.0,45,4.801257
25.0,25,4.819935
33.0,33,4.846387
29.0,29,4.867984
18.0,18,4.881741
30.0,30,4.905155
34.0,34,4.931853
22.0,22,4.948316
13.0,13,4.957692
11.0,11,4.966759
13.0,13,4.978317
47.0,47,5.013758
14.0,14,5.022475
37.0,37,5.048611
18.0,18,5.062396
13.0,13,5.070819
26.0,26,5.089541
14.0,14,5.100369
17.0,17,5.112345
16.0,16,5.122807
23.0,23,5.149495
26.0,26,5.173157
16.0,16,5.200222
20.0,20,5.21725
18.0,18,5.23054
35.0,35,5.26794
36.0,36,5.323014
10.0,10,5.332357
14.0,14,5.342261
15.0,15,5.422379
13.0,13,5.451606
18.0,18,5.497718
17.0,17,5.51999
23.0,23,5.553246
12.0,12,5.568988
13.0,13,5.585788
56.0,56,5.651115
21.0,21,5.687302
68.0,68,7.148956
68.0,68,7.231842
12.0,12,7.247732
46.0,46,7.308678
35.0,35,7.34691
32.0,32,7.373633
64.0,64,7.422758
28.0,28,7.446839
