#{"t_start": 1747234209.111248, "env_id": "None"}
r,l,t
33.0,33,0.093712
22.0,22,0.127684
17.0,17,0.145604
60.0,60,0.207546
24.0,24,0.245581
16.0,16,0.278574
17.0,17,0.307576
29.0,29,0.365371
35.0,35,0.413393
11.0,11,0.431758
15.0,15,0.455379
25.0,25,0.502586
13.0,13,0.531169
19.0,19,0.572377
15.0,15,0.594048
12.0,12,0.612846
21.0,21,0.638425
11.0,11,0.662234
20.0,20,0.706371
20.0,20,0.737843
33.0,33,0.783892
32.0,32,0.829384
14.0,14,0.843256
13.0,13,0.861211
33.0,33,0.925638
26.0,26,0.95283
12.0,12,0.965723
13.0,13,0.975194
20.0,20,0.998937
11.0,11,1.011057
9.0,9,1.020437
35.0,35,1.05438
23.0,23,1.070724
14.0,14,1.082273
10.0,10,1.088785
41.0,41,1.114335
44.0,44,1.145073
16.0,16,1.157078
20.0,20,1.181136
13.0,13,1.19283
14.0,14,1.199993
31.0,31,1.219477
19.0,19,1.229881
18.0,18,1.241044
34.0,34,1.264788
21.0,21,1.276235
30.0,30,1.300725
27.0,27,1.31469
23.0,23,1.331844
14.0,14,1.345631
13.0,13,1.358063
9.0,9,1.364031
22.0,22,1.382578
25.0,25,1.400188
24.0,24,1.415695
58.0,58,1.454847
33.0,33,1.471983
23.0,23,1.486076
16.0,16,1.494393
20.0,20,1.503748
10.0,10,1.509361
79.0,79,1.55453
43.0,43,1.585298
23.0,23,1.597144
34.0,34,1.61671
15.0,15,1.630837
13.0,13,1.637479
32.0,32,1.665233
23.0,23,1.688319
18.0,18,1.702168
12.0,12,1.70838
19.0,19,1.717006
11.0,11,1.725708
32.0,32,1.739496
16.0,16,1.747262
33.0,33,1.766259
17.0,17,1.774624
15.0,15,1.783702
10.0,10,1.78818
12.0,12,1.793624
13.0,13,1.801272
13.0,13,1.806772
9.0,9,1.812725
10.0,10,1.81765
24.0,24,1.829585
10.0,10,1.834239
41.0,41,1.854707
31.0,31,1.87008
30.0,30,1.885449
18.0,18,1.905478
16.0,16,1.913205
15.0,15,1.923099
31.0,31,3.212126
36.0,36,3.247828
