#{"t_start": 1747228406.4789617, "env_id": "None"}
r,l,t
21.0,21,0.806105
11.0,11,0.825933
12.0,12,0.835551
14.0,14,0.842249
63.0,63,0.877064
76.0,76,0.926701
20.0,20,0.93776
14.0,14,0.958985
15.0,15,0.965935
14.0,14,0.973922
37.0,37,0.997011
18.0,18,1.008802
15.0,15,1.016885
13.0,13,1.0237
20.0,20,1.033594
11.0,11,1.041991
22.0,22,1.054573
29.0,29,1.071244
17.0,17,1.082612
21.0,21,1.088042
18.0,18,1.108603
18.0,18,1.112878
26.0,26,1.126067
22.0,22,1.142567
14.0,14,1.152523
17.0,17,1.161517
20.0,20,1.172855
15.0,15,1.177037
12.0,12,1.188327
22.0,22,1.193346
21.0,21,1.212668
30.0,30,1.227421
19.0,19,1.241796
47.0,47,1.254569
26.0,26,1.275175
10.0,10,1.290767
26.0,26,1.309465
41.0,41,1.333835
14.0,14,1.343564
21.0,21,1.360812
30.0,30,1.377095
15.0,15,1.391453
12.0,12,1.398238
31.0,31,1.419208
14.0,14,1.424334
21.0,21,1.44067
13.0,13,1.444654
17.0,17,1.458919
51.0,51,1.493543
11.0,11,1.493543
26.0,26,1.510109
32.0,32,1.534004
26.0,26,1.546617
10.0,10,1.555773
14.0,14,1.559929
20.0,20,1.577331
14.0,14,1.577331
16.0,16,1.594269
10.0,10,1.602966
16.0,16,1.605408
22.0,22,1.625423
21.0,21,1.63408
14.0,14,1.643667
29.0,29,1.660199
17.0,17,1.670518
12.0,12,1.676726
24.0,24,1.690612
15.0,15,1.694885
12.0,12,1.708332
21.0,21,1.710756
12.0,12,1.726971
13.0,13,1.733991
21.0,21,1.7463
20.0,20,1.760129
21.0,21,1.774206
18.0,18,1.777614
42.0,42,1.808025
37.0,37,1.826608
14.0,14,1.837289
17.0,17,1.843543
16.0,16,1.857443
14.0,14,1.863682
11.0,11,1.873064
39.0,39,1.888707
48.0,48,1.909754
40.0,40,1.940176
28.0,28,1.954491
13.0,13,1.963326
25.0,25,1.977605
17.0,17,1.986503
57.0,57,2.009335
9.0,9,2.023309
23.0,23,2.034048
19.0,19,3.321906
12.0,12,3.321906
36.0,36,3.359534
