#{"t_start": 1747226524.8819263, "env_id": "None"}
r,l,t
20.0,20,0.027535
12.0,12,0.043529
19.0,19,0.066883
14.0,14,0.081751
15.0,15,0.0934
22.0,22,0.110839
17.0,17,0.11638
10.0,10,0.131378
15.0,15,0.133548
37.0,37,0.16673
10.0,10,0.16673
10.0,10,0.183139
15.0,15,0.195897
12.0,12,0.200374
18.0,18,0.216734
14.0,14,0.230029
26.0,26,0.249153
35.0,35,0.281086
21.0,21,0.304398
11.0,11,0.317003
13.0,13,0.330014
31.0,31,0.354049
41.0,41,0.37985
11.0,11,0.395564
14.0,14,0.399839
18.0,18,0.419568
29.0,29,0.431085
25.0,25,0.461085
15.0,15,0.47008
67.0,67,0.517735
23.0,23,0.544116
15.0,15,0.57058
17.0,17,0.577513
16.0,16,0.598039
10.0,10,0.59914
35.0,35,0.631829
18.0,18,0.646551
20.0,20,0.661966
22.0,22,0.677887
16.0,16,0.677887
14.0,14,0.700158
36.0,36,0.718666
18.0,18,0.732968
16.0,16,0.750877
16.0,16,0.767391
12.0,12,0.771897
24.0,24,0.853794
28.0,28,0.925474
31.0,31,0.944785
23.0,23,0.979043
13.0,13,0.988476
17.0,17,1.001024
22.0,22,1.027652
21.0,21,1.044255
13.0,13,1.051738
28.0,28,1.081528
20.0,20,1.09913
28.0,28,1.118519
25.0,25,1.14621
25.0,25,1.166275
60.0,60,1.211736
15.0,15,1.243145
30.0,30,1.267251
17.0,17,1.287736
17.0,17,1.297565
17.0,17,1.316456
24.0,24,1.333122
24.0,24,1.351801
13.0,13,1.36184
29.0,29,1.382978
19.0,19,1.397248
25.0,25,1.416615
29.0,29,1.433483
15.0,15,1.450625
16.0,16,1.461773
13.0,13,1.476737
17.0,17,1.484238
15.0,15,1.499995
14.0,14,1.499995
82.0,82,1.561556
16.0,16,1.583391
11.0,11,1.59602
18.0,18,1.607703
12.0,12,1.617255
32.0,32,1.640184
21.0,21,1.658348
25.0,25,1.682997
23.0,23,1.699947
23.0,23,1.718088
12.0,12,1.720307
30.0,30,1.751667
30.0,30,1.779016
33.0,33,1.800957
19.0,19,1.825701
19.0,19,3.055427
59.0,59,3.096159
47.0,47,3.158297
20.0,20,3.196479
26.0,26,3.222426
30.0,30,3.263887
94.0,94,3.356042
23.0,23,3.382305
95.0,95,3.462949
10.0,10,3.478892
34.0,34,3.501269
37.0,37,3.536648
24.0,24,3.568762
47.0,47,3.613775
14.0,14,3.635442
31.0,31,3.653996
34.0,34,3.68362
27.0,27,3.71188
58.0,58,3.746911
15.0,15,3.780171
30.0,30,3.813473
14.0,14,3.835101
28.0,28,3.852308
12.0,12,3.869242
24.0,24,3.886604
20.0,20,3.907926
21.0,21,3.923518
18.0,18,3.931017
11.0,11,3.947453
42.0,42,3.963881
37.0,37,4.000612
14.0,14,4.020852
20.0,20,4.035853
13.0,13,4.036978
43.0,43,4.069597
28.0,28,4.103268
20.0,20,4.118938
13.0,13,4.124002
14.0,14,4.137084
23.0,23,4.156462
12.0,12,4.169956
12.0,12,4.17906
18.0,18,4.1861
14.0,14,4.202434
32.0,32,4.224
37.0,37,4.253618
49.0,49,4.286975
21.0,21,4.308371
19.0,19,4.32441
14.0,14,4.33532
47.0,47,4.370811
15.0,15,4.386881
37.0,37,4.43189
34.0,34,4.483491
18.0,18,4.513037
37.0,37,4.535706
27.0,27,4.573174
46.0,46,4.614407
24.0,24,4.645996
23.0,23,4.673329
18.0,18,4.701228
16.0,16,4.720462
24.0,24,4.737066
43.0,43,4.773118
33.0,33,4.797924
27.0,27,4.831525
27.0,27,4.873603
30.0,30,4.887024
28.0,28,4.903705
25.0,25,4.931338
15.0,15,4.937218
46.0,46,4.973468
32.0,32,6.050862
18.0,18,6.073416
20.0,20,6.086868
32.0,32,6.117782
51.0,51,6.148803
47.0,47,6.198414
51.0,51,6.237664
27.0,27,6.270831
19.0,19,6.333886
47.0,47,6.368359
21.0,21,6.398906
27.0,27,6.426662
13.0,13,6.446259
57.0,57,6.481194
16.0,16,6.502082
44.0,44,6.526647
16.0,16,6.552627
41.0,41,6.570786
68.0,68,6.632155
34.0,34,6.665424
70.0,70,6.726808
79.0,79,6.782201
16.0,16,6.804784
71.0,71,6.849278
13.0,13,6.865573
76.0,76,6.932354
34.0,34,6.965674
26.0,26,6.988309
12.0,12,7.005209
16.0,16,7.027394
39.0,39,7.055233
27.0,27,7.071574
42.0,42,7.105389
68.0,68,7.149774
72.0,72,7.215596
14.0,14,7.216639
35.0,35,7.253484
41.0,41,7.284801
48.0,48,7.317067
20.0,20,7.336887
13.0,13,7.345392
32.0,32,7.37037
21.0,21,7.384643
25.0,25,7.399252
51.0,51,7.438978
20.0,20,7.456153
15.0,15,7.466861
18.0,18,7.486945
27.0,27,7.505425
54.0,54,7.587495
18.0,18,7.628525
20.0,20,7.650292
36.0,36,7.706675
22.0,22,7.737315
35.0,35,7.767269
22.0,22,7.788459
26.0,26,7.818875
23.0,23,7.842294
14.0,14,7.855148
43.0,43,7.888529
15.0,15,7.904723
16.0,16,8.895162
33.0,33,8.926784
10.0,10,8.937476
23.0,23,8.9508
54.0,54,8.984697
20.0,20,8.990524
37.0,37,9.023374
84.0,84,9.073768
24.0,24,9.213445
85.0,85,9.301876
37.0,37,9.345452
60.0,60,9.408351
29.0,29,9.435412
93.0,93,9.506188
57.0,57,9.552756
45.0,45,9.590598
35.0,35,9.619416
27.0,27,9.65173
42.0,42,9.673765
22.0,22,9.702015
56.0,56,9.735601
34.0,34,9.772859
36.0,36,9.807589
19.0,19,9.825036
49.0,49,9.8577
40.0,40,9.885411
72.0,72,9.935883
27.0,27,9.973425
30.0,30,10.004023
17.0,17,10.025174
67.0,67,10.068187
53.0,53,10.123732
62.0,62,10.169041
70.0,70,10.235161
17.0,17,10.268571
68.0,68,10.323735
31.0,31,10.357472
13.0,13,10.371686
13.0,13,10.385239
32.0,32,10.414782
15.0,15,10.427825
12.0,12,10.438412
77.0,77,10.508268
49.0,49,10.544174
85.0,85,10.602621
54.0,54,10.652373
26.0,26,10.678635
17.0,17,10.685938
43.0,43,10.725255
15.0,15,10.734453
169.0,169,11.81967
54.0,54,11.870654
41.0,41,11.909786
85.0,85,11.953519
52.0,52,12.006118
22.0,22,12.025985
25.0,25,12.058672
121.0,121,12.13864
108.0,108,12.214094
57.0,57,12.25402
95.0,95,12.325244
122.0,122,12.423376
92.0,92,12.495792
316.0,316,12.691562
54.0,54,12.719904
27.0,27,12.760497
26.0,26,12.794033
85.0,85,12.897475
56.0,56,12.975009
72.0,72,13.049276
14.0,14,13.10961
45.0,45,13.172838
71.0,71,13.226362
31.0,31,13.244193
93.0,93,13.319831
109.0,109,13.409103
15.0,15,13.431621
