topology,count,mean,std,min,25%,50%,75%,max
fc,3.0,104.75,0.38196858509568754,104.32,104.6,104.88,104.965,105.05
modular,3.0,21.69333333333333,0.8277882176821163,20.74,21.424999999999997,22.11,22.17,22.23
rs,3.0,94.81333333333333,19.632968021502332,80.73,83.6,86.47,101.85499999999999,117.24
sw_neat,3.0,23.333333333333332,0.6169548875998412,22.67,23.055,23.44,23.665,23.89
sw_ws,3.0,22.243333333333336,1.3634637264457512,20.74,21.665,22.59,22.994999999999997,23.4
