#{"t_start": 1747228506.6179023, "env_id": "None"}
r,l,t
21.0,21,0.054371
11.0,11,0.076532
12.0,12,0.084749
14.0,14,0.092652
63.0,63,0.128651
76.0,76,0.177061
20.0,20,0.195003
14.0,14,0.20635
15.0,15,0.22796
14.0,14,0.261019
37.0,37,0.306027
18.0,18,0.336829
15.0,15,0.352664
13.0,13,0.375221
20.0,20,0.411156
11.0,11,0.44242
22.0,22,0.503721
29.0,29,0.541447
17.0,17,0.57392
21.0,21,0.595367
18.0,18,0.619212
18.0,18,0.647634
26.0,26,0.687899
22.0,22,0.72422
14.0,14,0.747201
17.0,17,0.776604
20.0,20,0.809758
15.0,15,0.832958
12.0,12,0.848303
22.0,22,0.882956
21.0,21,0.911103
30.0,30,0.935639
19.0,19,0.948453
47.0,47,0.975939
26.0,26,0.994317
10.0,10,1.002933
26.0,26,1.019665
41.0,41,1.042216
14.0,14,1.059907
21.0,21,1.072246
30.0,30,1.088876
15.0,15,1.098978
12.0,12,1.109013
31.0,31,1.145941
14.0,14,1.161241
21.0,21,1.18005
13.0,13,1.187897
17.0,17,1.19796
51.0,51,1.229899
11.0,11,1.237574
26.0,26,1.252836
32.0,32,1.270758
26.0,26,1.294013
10.0,10,1.305627
14.0,14,1.318437
20.0,20,1.345569
14.0,14,1.373781
16.0,16,1.399384
10.0,10,1.417537
16.0,16,1.453556
22.0,22,1.494363
21.0,21,1.520689
14.0,14,1.535005
29.0,29,1.561899
17.0,17,1.587815
12.0,12,1.605934
24.0,24,1.640074
15.0,15,1.649878
12.0,12,1.670212
21.0,21,1.692444
12.0,12,1.702918
13.0,13,1.712625
21.0,21,1.73434
20.0,20,1.749285
21.0,21,1.761841
18.0,18,1.772916
42.0,42,1.802594
37.0,37,1.843901
14.0,14,1.859559
17.0,17,1.879951
16.0,16,1.898559
14.0,14,1.914149
11.0,11,1.924253
39.0,39,1.947416
48.0,48,2.000378
40.0,40,2.05402
28.0,28,2.081213
13.0,13,2.096102
25.0,25,2.121895
17.0,17,2.132186
57.0,57,2.165416
9.0,9,2.174771
23.0,23,2.187948
19.0,19,3.272202
12.0,12,3.287502
36.0,36,3.32734
13.0,13,3.343293
22.0,22,3.364768
40.0,40,3.410167
22.0,22,3.436533
26.0,26,3.456556
11.0,11,3.463228
11.0,11,3.470057
30.0,30,3.487357
23.0,23,3.513244
12.0,12,3.522409
12.0,12,3.530247
17.0,17,3.542474
18.0,18,3.553242
35.0,35,3.584977
16.0,16,3.595335
20.0,20,3.615236
16.0,16,3.63306
22.0,22,3.667864
19.0,19,3.706604
21.0,21,3.754848
23.0,23,3.796108
16.0,16,3.82746
24.0,24,3.874288
19.0,19,3.913095
31.0,31,3.96201
10.0,10,3.971752
43.0,43,3.994767
19.0,19,4.008601
49.0,49,4.043212
18.0,18,4.058343
15.0,15,4.068916
51.0,51,4.106302
11.0,11,4.114319
26.0,26,4.134468
18.0,18,4.146822
20.0,20,4.165479
11.0,11,4.177741
42.0,42,4.206763
16.0,16,4.215993
15.0,15,4.23159
33.0,33,4.255742
41.0,41,4.2789
24.0,24,4.300784
20.0,20,4.312572
46.0,46,4.35296
18.0,18,4.365698
11.0,11,4.37561
20.0,20,4.405314
16.0,16,4.421957
12.0,12,4.434448
13.0,13,4.44828
