#{"t_start": 1747225525.2280557, "env_id": "None"}
r,l,t
18.0,18,5.770056
21.0,21,5.800203
35.0,35,5.839251
20.0,20,5.866141
14.0,14,5.884901
15.0,15,5.897897
48.0,48,5.932838
17.0,17,5.946184
18.0,18,5.958863
44.0,44,5.996429
9.0,9,6.011193
13.0,13,6.023963
20.0,20,6.039533
73.0,73,6.091802
13.0,13,6.111755
36.0,36,6.134537
24.0,24,6.151326
16.0,16,6.162646
25.0,25,6.180423
24.0,24,6.196903
23.0,23,6.213317
30.0,30,6.232118
20.0,20,6.247343
24.0,24,6.262589
15.0,15,6.272445
24.0,24,6.287689
22.0,22,6.303089
12.0,12,6.310699
45.0,45,6.340976
33.0,33,6.36542
11.0,11,6.371968
16.0,16,6.382875
19.0,19,6.396837
15.0,15,6.405453
19.0,19,6.418304
14.0,14,6.430276
70.0,70,6.470425
12.0,12,6.48016
11.0,11,6.497422
13.0,13,6.514615
14.0,14,6.523474
26.0,26,6.539798
11.0,11,6.547303
10.0,10,6.553772
23.0,23,6.57241
13.0,13,6.581687
19.0,19,6.59501
12.0,12,6.601705
17.0,17,6.612462
15.0,15,6.621152
25.0,25,6.636826
22.0,22,6.651002
14.0,14,6.665405
12.0,12,6.676125
13.0,13,6.68371
10.0,10,6.690357
48.0,48,6.720593
74.0,74,6.77596
20.0,20,6.789605
26.0,26,6.80666
21.0,21,6.822628
17.0,17,6.836156
14.0,14,6.848212
14.0,14,6.859564
18.0,18,6.872081
30.0,30,6.896824
27.0,27,6.915246
24.0,24,6.932575
14.0,14,6.94211
26.0,26,6.959674
45.0,45,6.99472
16.0,16,7.008754
21.0,21,7.021906
16.0,16,7.034206
43.0,43,7.072941
15.0,15,7.182831
20.0,20,7.20373
28.0,28,7.242005
22.0,22,7.262565
15.0,15,7.275087
29.0,29,7.295526
18.0,18,7.307892
37.0,37,7.334708
27.0,27,7.354423
17.0,17,7.371387
16.0,16,7.384265
59.0,59,7.423411
24.0,24,7.440581
