#{"t_start": 1747228431.9435072, "env_id": "None"}
r,l,t
31.0,31,13.414523
20.0,20,13.426678
39.0,39,13.455426
55.0,55,13.531938
16.0,16,13.583171
75.0,75,13.707787
36.0,36,13.782554
79.0,79,14.197292
80.0,80,14.535307
24.0,24,14.629294
17.0,17,14.671401
42.0,42,14.773867
50.0,50,14.872719
21.0,21,14.915655
87.0,87,15.10882
21.0,21,15.18293
121.0,121,15.398539
58.0,58,15.497764
15.0,15,15.54729
17.0,17,15.58467
25.0,25,15.640264
23.0,23,15.679272
25.0,25,15.720557
43.0,43,15.782593
60.0,60,15.881413
44.0,44,15.954552
44.0,44,16.038548
45.0,45,16.123636
51.0,51,16.217094
75.0,75,16.359145
29.0,29,16.44554
22.0,22,16.502361
18.0,18,16.546364
31.0,31,16.630832
22.0,22,16.685691
54.0,54,16.813789
26.0,26,16.867891
27.0,27,16.915429
65.0,65,17.017136
39.0,39,17.063794
47.0,47,17.141146
68.0,68,17.258125
35.0,35,17.35253
70.0,70,17.485067
66.0,66,17.608192
26.0,26,17.659255
90.0,90,20.970189
119.0,119,21.321102
125.0,125,21.807692
108.0,108,22.151016
138.0,138,22.41842
62.0,62,22.54246
119.0,119,22.821603
22.0,22,22.897921
53.0,53,23.030696
65.0,65,23.217604
66.0,66,23.442117
126.0,126,23.775923
83.0,83,24.014566
20.0,20,24.07745
63.0,63,24.260205
68.0,68,24.451879
113.0,113,24.73913
18.0,18,24.787389
47.0,47,24.854562
39.0,39,24.91888
23.0,23,24.939925
33.0,33,24.985924
66.0,66,25.085597
64.0,64,25.21703
48.0,48,25.317777
65.0,65,25.424434
39.0,39,25.500973
32.0,32,25.533335
39.0,39,25.598758
20.0,20,25.638994
42.0,42,25.703611
94.0,94,25.940991
97.0,97,27.62766
100.0,100,27.751659
28.0,28,27.791064
163.0,163,27.879068
120.0,120,27.955191
95.0,95,28.011629
78.0,78,28.063228
20.0,20,28.085592
47.0,47,28.126313
41.0,41,28.162173
111.0,111,28.257542
100.0,100,28.385128
62.0,62,28.47335
20.0,20,28.520867
112.0,112,28.680644
105.0,105,28.801421
109.0,109,28.915053
47.0,47,28.980372
31.0,31,29.022799
61.0,61,29.071622
38.0,38,29.10608
62.0,62,29.196068
97.0,97,29.321763
30.0,30,29.355842
52.0,52,29.434564
102.0,102,29.585404
138.0,138,31.363298
29.0,29,31.396489
59.0,59,31.47061
72.0,72,31.564862
119.0,119,31.7211
118.0,118,31.902051
94.0,94,32.027872
31.0,31,32.078781
149.0,149,32.222366
35.0,35,32.269578
132.0,132,32.417204
137.0,137,32.599277
50.0,50,32.708433
179.0,179,32.96002
143.0,143,33.178052
16.0,16,33.235794
82.0,82,33.358152
90.0,90,33.493751
75.0,75,33.59157
107.0,107,33.690633
137.0,137,33.95526
42.0,42,34.044856
87.0,87,34.202094
