#{"t_start": 1747230408.7943306, "env_id": "None"}
r,l,t
18.0,18,0.074163
21.0,21,0.100615
35.0,35,0.134658
20.0,20,0.16036
14.0,14,0.168757
15.0,15,0.180761
48.0,48,0.222746
17.0,17,0.236646
18.0,18,0.260674
44.0,44,0.324463
9.0,9,0.350312
13.0,13,0.368766
20.0,20,0.383632
73.0,73,0.468621
13.0,13,0.496747
36.0,36,0.52822
24.0,24,0.549057
16.0,16,0.56452
25.0,25,0.594956
24.0,24,0.625168
23.0,23,0.64465
30.0,30,0.675907
20.0,20,0.692416
24.0,24,0.709414
15.0,15,0.719581
24.0,24,0.735507
22.0,22,0.751695
12.0,12,0.763558
45.0,45,0.792124
33.0,33,0.81141
11.0,11,0.817124
16.0,16,0.830606
19.0,19,0.845009
15.0,15,0.853873
19.0,19,0.864885
14.0,14,0.874844
70.0,70,0.936026
12.0,12,0.947006
11.0,11,0.967123
13.0,13,0.983863
14.0,14,1.000842
26.0,26,1.0338
11.0,11,1.045521
10.0,10,1.060257
23.0,23,1.094767
13.0,13,1.107277
19.0,19,1.12139
12.0,12,1.135419
17.0,17,1.154435
15.0,15,1.167783
25.0,25,1.186485
22.0,22,1.202766
14.0,14,1.213394
12.0,12,1.221823
13.0,13,1.234924
10.0,10,1.244058
48.0,48,1.28419
74.0,74,1.390155
20.0,20,1.407001
26.0,26,1.424458
21.0,21,1.442208
17.0,17,1.452231
14.0,14,1.465597
14.0,14,1.489596
18.0,18,1.522301
30.0,30,1.565157
27.0,27,1.602709
24.0,24,1.62494
14.0,14,1.633416
26.0,26,1.648782
45.0,45,1.673683
16.0,16,1.684139
21.0,21,1.70243
16.0,16,1.717591
43.0,43,1.759378
15.0,15,1.767348
20.0,20,1.778749
28.0,28,1.795187
22.0,22,1.809408
15.0,15,1.817682
29.0,29,1.833663
18.0,18,1.850899
37.0,37,1.874348
27.0,27,1.894794
17.0,17,1.9044
16.0,16,1.913082
59.0,59,1.950524
24.0,24,1.965824
22.0,22,3.314573
15.0,15,3.322089
18.0,18,3.336242
14.0,14,3.345757
32.0,32,3.365098
39.0,39,3.387772
11.0,11,3.396794
39.0,39,3.420535
21.0,21,3.435755
42.0,42,3.463849
11.0,11,3.469708
17.0,17,3.485298
13.0,13,3.495714
15.0,15,3.507231
29.0,29,3.526228
61.0,61,3.56788
14.0,14,3.578048
34.0,34,3.598425
17.0,17,3.611173
19.0,19,3.62224
26.0,26,3.640626
12.0,12,3.649894
23.0,23,3.663559
16.0,16,3.673259
18.0,18,3.684957
11.0,11,3.698746
26.0,26,3.715824
77.0,77,3.761925
23.0,23,3.774678
18.0,18,3.78615
12.0,12,3.793458
10.0,10,3.799215
10.0,10,3.804309
15.0,15,3.81549
39.0,39,3.840032
18.0,18,3.855657
26.0,26,3.872266
43.0,43,3.904328
16.0,16,3.915894
18.0,18,3.930274
23.0,23,3.945143
36.0,36,3.965778
9.0,9,3.973381
34.0,34,3.995524
18.0,18,4.00437
26.0,26,4.019724
14.0,14,4.031493
14.0,14,4.04081
46.0,46,4.083433
30.0,30,4.102651
11.0,11,4.109207
19.0,19,4.120171
13.0,13,4.129511
31.0,31,4.147949
32.0,32,4.173704
16.0,16,4.18783
28.0,28,4.215976
12.0,12,4.221886
9.0,9,4.229364
15.0,15,4.239486
20.0,20,4.252001
20.0,20,4.26446
30.0,30,4.28467
21.0,21,4.303565
37.0,37,4.325366
14.0,14,4.332635
17.0,17,4.343186
15.0,15,4.351396
45.0,45,4.379111
12.0,12,4.390482
30.0,30,4.408764
14.0,14,4.417484
37.0,37,4.439571
23.0,23,4.463526
70.0,70,4.544786
36.0,36,4.58284
18.0,18,4.59774
11.0,11,4.618453
15.0,15,4.647053
14.0,14,4.655246
15.0,15,4.670837
26.0,26,4.711101
20.0,20,4.734823
14.0,14,4.746245
17.0,17,4.758804
18.0,18,4.770385
23.0,23,4.784982
11.0,11,4.793758
13.0,13,4.80195
17.0,17,5.895911
11.0,11,5.902296
19.0,19,5.917233
33.0,33,5.951446
60.0,60,6.016462
47.0,47,6.064856
19.0,19,6.081624
13.0,13,6.094083
13.0,13,6.104336
37.0,37,6.135201
46.0,46,6.175178
12.0,12,6.184536
34.0,34,6.237428
15.0,15,6.257533
40.0,40,6.386212
12.0,12,6.401858
16.0,16,6.425763
41.0,41,6.47846
52.0,52,6.532975
26.0,26,6.559151
18.0,18,6.574662
25.0,25,6.595792
15.0,15,6.605664
27.0,27,6.625449
16.0,16,6.636344
31.0,31,6.653916
20.0,20,6.667119
15.0,15,6.67488
30.0,30,6.692545
12.0,12,6.701267
13.0,13,6.710174
23.0,23,6.724003
20.0,20,6.737156
12.0,12,6.743614
14.0,14,6.753006
32.0,32,6.772275
14.0,14,6.783246
19.0,19,6.797727
14.0,14,6.805411
12.0,12,6.814262
15.0,15,6.822509
41.0,41,6.85023
18.0,18,6.860202
32.0,32,6.881068
19.0,19,6.891072
16.0,16,6.902195
40.0,40,6.924997
35.0,35,6.945869
20.0,20,6.958026
57.0,57,6.995795
20.0,20,7.009122
55.0,55,7.043879
16.0,16,7.054835
21.0,21,7.068223
14.0,14,7.081458
13.0,13,7.088063
22.0,22,7.101749
35.0,35,7.123154
13.0,13,7.131896
10.0,10,7.138575
14.0,14,7.150635
45.0,45,7.183647
40.0,40,7.20643
17.0,17,7.216823
28.0,28,7.233889
26.0,26,7.250476
11.0,11,7.254863
31.0,31,7.272626
19.0,19,7.287097
12.0,12,7.295934
16.0,16,7.303687
18.0,18,7.315374
14.0,14,7.324116
23.0,23,7.340593
39.0,39,7.36494
12.0,12,7.372646
24.0,24,7.388175
31.0,31,7.405799
19.0,19,7.418995
32.0,32,7.43657
21.0,21,7.448695
15.0,15,7.456439
20.0,20,7.469669
21.0,21,7.481882
14.0,14,7.489558
40.0,40,7.513963
35.0,35,8.670108
23.0,23,8.752467
21.0,21,8.781362
26.0,26,8.814356
19.0,19,8.825097
32.0,32,8.866381
13.0,13,8.886146
15.0,15,8.914912
22.0,22,8.944769
19.0,19,8.968147
12.0,12,8.982885
33.0,33,9.01217
24.0,24,9.036564
49.0,49,9.082731
22.0,22,9.096577
23.0,23,9.118378
26.0,26,9.136103
21.0,21,9.148546
12.0,12,9.155439
37.0,37,9.184668
15.0,15,9.194129
19.0,19,9.205139
25.0,25,9.223399
27.0,27,9.251325
20.0,20,9.262089
18.0,18,9.274077
30.0,30,9.291717
14.0,14,9.301386
25.0,25,9.315101
13.0,13,9.32271
15.0,15,9.332985
13.0,13,9.342731
11.0,11,9.351429
16.0,16,9.360203
20.0,20,9.373371
18.0,18,9.387556
43.0,43,9.409414
