#{"t_start": 1747226594.3497946, "env_id": "None"}
r,l,t
20.0,20,6.082592
12.0,12,6.106708
19.0,19,6.126176
14.0,14,6.163863
15.0,15,6.228918
22.0,22,6.253039
17.0,17,6.259796
10.0,10,6.277244
15.0,15,6.296051
37.0,37,6.327545
10.0,10,6.344832
10.0,10,6.359849
15.0,15,6.374867
12.0,12,6.378101
18.0,18,6.401326
14.0,14,6.415947
26.0,26,6.450344
35.0,35,6.481131
21.0,21,6.498945
11.0,11,6.517379
13.0,13,6.531675
31.0,31,6.587674
41.0,41,6.621018
11.0,11,6.634201
14.0,14,6.639195
18.0,18,6.655644
29.0,29,6.69229
25.0,25,6.711291
15.0,15,6.72857
67.0,67,6.772533
23.0,23,6.813238
15.0,15,6.826014
17.0,17,6.839197
16.0,16,6.8602
10.0,10,6.8602
35.0,35,6.897333
18.0,18,6.923007
20.0,20,6.940982
22.0,22,6.958474
16.0,16,6.973166
14.0,14,6.978682
36.0,36,7.020556
18.0,18,7.023098
16.0,16,7.044095
16.0,16,7.061887
12.0,12,7.073039
24.0,24,7.094178
28.0,28,7.116119
31.0,31,7.139732
23.0,23,7.160287
13.0,13,7.172213
17.0,17,7.17857
22.0,22,7.195155
21.0,21,7.224085
13.0,13,7.228267
28.0,28,7.261253
20.0,20,7.281517
28.0,28,7.309564
25.0,25,7.333322
25.0,25,7.367676
60.0,60,7.42338
15.0,15,7.443169
30.0,30,7.471694
17.0,17,7.498401
17.0,17,7.512007
17.0,17,7.527854
24.0,24,7.546773
24.0,24,7.564622
13.0,13,7.57565
29.0,29,7.598307
19.0,19,7.615475
25.0,25,7.640856
29.0,29,7.661804
15.0,15,7.693721
16.0,16,7.708863
13.0,13,7.719035
17.0,17,7.740052
15.0,15,7.757889
14.0,14,7.770237
82.0,82,7.847923
16.0,16,7.875253
11.0,11,7.883292
18.0,18,7.902286
12.0,12,7.913205
32.0,32,7.950204
21.0,21,7.962724
25.0,25,8.007009
23.0,23,8.029835
23.0,23,8.048726
12.0,12,8.061091
30.0,30,8.07792
30.0,30,8.110213
33.0,33,8.129201
20.0,20,8.157543
26.0,26,9.491688
66.0,66,9.627272
19.0,19,9.715619
22.0,22,9.757898
28.0,28,9.808598
20.0,20,9.868567
17.0,17,9.901447
33.0,33,9.952925
14.0,14,9.989949
19.0,19,10.013896
14.0,14,10.027317
19.0,19,10.063635
15.0,15,10.08516
13.0,13,10.114974
23.0,23,10.152451
31.0,31,10.21017
23.0,23,10.2496
17.0,17,10.296316
20.0,20,10.341513
43.0,43,10.425773
14.0,14,10.459048
14.0,14,10.486667
12.0,12,10.512554
39.0,39,10.567993
16.0,16,10.594972
22.0,22,10.626492
20.0,20,10.670191
32.0,32,10.735616
13.0,13,10.752966
16.0,16,10.777693
23.0,23,10.798501
12.0,12,10.810108
15.0,15,10.840647
14.0,14,10.862168
21.0,21,10.896615
21.0,21,10.916913
31.0,31,10.959494
12.0,12,10.980488
15.0,15,10.99979
34.0,34,11.030527
60.0,60,11.076006
25.0,25,11.108863
26.0,26,11.13215
21.0,21,11.15459
22.0,22,11.176339
14.0,14,11.176339
41.0,41,11.214973
14.0,14,11.247111
27.0,27,11.270332
18.0,18,11.276368
30.0,30,11.315097
22.0,22,11.410739
13.0,13,11.515384
13.0,13,11.530852
18.0,18,11.552213
23.0,23,11.581162
35.0,35,11.618358
22.0,22,11.653763
27.0,27,11.698712
18.0,18,11.723646
15.0,15,11.743361
22.0,22,11.766198
21.0,21,11.791563
22.0,22,11.813173
12.0,12,11.842638
12.0,12,11.863347
13.0,13,11.88537
24.0,24,11.939679
11.0,11,11.960396
23.0,23,11.998937
14.0,14,12.01716
9.0,9,12.03741
14.0,14,12.065789
24.0,24,12.10011
37.0,37,12.15232
15.0,15,12.174884
13.0,13,12.199626
27.0,27,12.233365
13.0,13,12.260901
22.0,22,12.283363
18.0,18,12.299208
22.0,22,12.316633
23.0,23,12.341991
24.0,24,12.392524
12.0,12,12.432569
18.0,18,12.477756
12.0,12,12.496704
27.0,27,12.527621
25.0,25,12.54933
32.0,32,12.577811
30.0,30,12.609488
26.0,26,12.648459
23.0,23,12.684584
40.0,40,14.483195
19.0,19,14.513663
20.0,20,14.535786
19.0,19,14.552352
14.0,14,14.567993
30.0,30,14.632272
25.0,25,14.692072
12.0,12,14.71151
11.0,11,14.728801
22.0,22,14.765951
39.0,39,14.828734
16.0,16,14.84729
26.0,26,14.896096
13.0,13,14.922971
16.0,16,14.951348
16.0,16,14.965356
17.0,17,14.997489
16.0,16,15.025291
19.0,19,15.051747
40.0,40,15.095212
14.0,14,15.096817
48.0,48,15.164231
20.0,20,15.179484
11.0,11,15.189926
36.0,36,15.230041
29.0,29,15.251468
22.0,22,15.262923
36.0,36,15.303042
21.0,21,15.317746
12.0,12,15.32922
10.0,10,15.335334
47.0,47,15.368384
29.0,29,15.385019
43.0,43,15.421742
21.0,21,15.429924
13.0,13,15.451395
45.0,45,15.482607
17.0,17,15.493942
16.0,16,15.501596
27.0,27,15.52322
