#{"t_start": 1747233966.7553527, "env_id": "None"}
r,l,t
33.0,33,0.169152
22.0,22,0.247845
17.0,17,0.280681
60.0,60,0.356558
24.0,24,0.391135
16.0,16,0.402012
17.0,17,0.413851
29.0,29,0.476591
35.0,35,0.542017
11.0,11,0.551177
15.0,15,0.578076
25.0,25,0.614796
13.0,13,0.63699
19.0,19,0.656064
15.0,15,0.680663
12.0,12,0.698101
21.0,21,0.723904
11.0,11,0.736869
20.0,20,0.765874
20.0,20,0.786077
33.0,33,0.839308
32.0,32,0.881407
14.0,14,0.896331
13.0,13,0.928005
33.0,33,0.969218
26.0,26,1.019557
12.0,12,1.04412
13.0,13,1.066813
20.0,20,1.096178
11.0,11,1.115069
9.0,9,1.126407
35.0,35,1.175424
23.0,23,1.204458
14.0,14,1.226549
10.0,10,1.235688
41.0,41,1.282976
44.0,44,1.337078
16.0,16,1.358024
20.0,20,1.38899
13.0,13,1.417116
14.0,14,1.43841
31.0,31,1.492747
19.0,19,1.518731
18.0,18,1.538853
34.0,34,1.57344
21.0,21,1.59561
30.0,30,1.623183
27.0,27,1.640286
23.0,23,1.655296
14.0,14,1.671737
13.0,13,1.681833
9.0,9,1.68664
22.0,22,1.699419
25.0,25,1.713663
24.0,24,1.72636
58.0,58,1.757792
33.0,33,1.779614
23.0,23,1.791811
16.0,16,1.801638
20.0,20,1.815585
10.0,10,1.821056
79.0,79,1.897596
43.0,43,1.954112
23.0,23,1.98856
34.0,34,2.032974
15.0,15,2.053017
13.0,13,2.07024
32.0,32,2.099749
23.0,23,2.11406
18.0,18,2.122038
12.0,12,2.130143
19.0,19,2.142256
11.0,11,2.149931
32.0,32,2.169887
16.0,16,2.181357
33.0,33,2.202835
17.0,17,2.217796
15.0,15,2.234449
10.0,10,2.248254
12.0,12,2.262502
13.0,13,2.276481
13.0,13,2.287355
9.0,9,2.293437
10.0,10,2.301884
24.0,24,2.317452
10.0,10,2.324081
41.0,41,2.35192
31.0,31,2.372964
30.0,30,2.410733
18.0,18,2.452703
16.0,16,2.468362
15.0,15,2.492374
31.0,31,3.678508
36.0,36,3.699854
49.0,49,3.730584
28.0,28,3.751885
38.0,38,3.773858
17.0,17,3.785267
27.0,27,3.803046
26.0,26,3.818968
13.0,13,3.83452
13.0,13,3.848135
18.0,18,3.864755
21.0,21,3.895394
39.0,39,3.96557
12.0,12,3.977911
12.0,12,3.999404
55.0,55,4.111293
30.0,30,4.151124
27.0,27,4.192837
43.0,43,4.250392
39.0,39,4.286527
29.0,29,4.328027
13.0,13,4.350425
22.0,22,4.383747
13.0,13,4.404371
20.0,20,4.425707
30.0,30,4.458173
25.0,25,4.4849
11.0,11,4.495762
24.0,24,4.50991
46.0,46,4.567576
44.0,44,4.595516
40.0,40,4.620549
10.0,10,4.628133
67.0,67,4.666863
13.0,13,4.675122
27.0,27,4.689405
18.0,18,4.699509
27.0,27,4.71545
51.0,51,4.74386
14.0,14,4.753286
19.0,19,4.76337
17.0,17,4.772321
14.0,14,4.780831
25.0,25,4.799344
26.0,26,4.816274
27.0,27,4.833316
19.0,19,4.843573
32.0,32,4.881896
53.0,53,4.945406
14.0,14,4.958867
17.0,17,4.971092
42.0,42,5.013919
20.0,20,5.039254
17.0,17,5.056477
12.0,12,5.0743
27.0,27,5.102437
21.0,21,5.116025
29.0,29,5.138641
17.0,17,5.153124
45.0,45,5.179451
18.0,18,5.18866
14.0,14,5.199205
15.0,15,5.210241
35.0,35,5.236875
16.0,16,5.250733
11.0,11,5.255854
28.0,28,5.275485
24.0,24,5.288907
32.0,32,5.311524
16.0,16,5.332286
25.0,25,5.351735
15.0,15,5.36139
24.0,24,5.376668
14.0,14,5.385568
19.0,19,5.400366
20.0,20,5.417403
13.0,13,5.429806
29.0,29,5.46065
29.0,29,5.479061
26.0,26,5.49264
29.0,29,6.789834
73.0,73,6.836574
26.0,26,6.851295
54.0,54,6.887936
11.0,11,6.897622
16.0,16,6.909302
24.0,24,6.925412
32.0,32,6.957441
16.0,16,6.976776
11.0,11,6.989803
18.0,18,7.010644
34.0,34,7.050281
17.0,17,7.067286
17.0,17,7.083114
30.0,30,7.100088
15.0,15,7.109892
36.0,36,7.132105
23.0,23,7.145456
27.0,27,7.161921
15.0,15,7.170402
19.0,19,7.181512
31.0,31,7.20234
34.0,34,7.221465
22.0,22,7.246061
20.0,20,7.270017
16.0,16,7.288853
29.0,29,7.311032
20.0,20,7.323039
40.0,40,7.348202
62.0,62,7.390137
34.0,34,7.422632
16.0,16,7.434386
24.0,24,7.4551
19.0,19,7.468773
26.0,26,7.486712
64.0,64,7.543856
22.0,22,7.567433
16.0,16,7.585294
12.0,12,7.599536
50.0,50,7.643218
14.0,14,7.655328
35.0,35,7.678578
32.0,32,7.704584
12.0,12,7.713868
28.0,28,7.749172
14.0,14,7.75824
12.0,12,7.768738
19.0,19,7.785385
21.0,21,7.803001
38.0,38,7.843943
22.0,22,7.871953
22.0,22,7.899182
44.0,44,7.963989
39.0,39,8.026275
19.0,19,8.046847
14.0,14,8.064182
34.0,34,8.095738
23.0,23,8.115233
18.0,18,8.125613
76.0,76,8.195708
37.0,37,8.223862
32.0,32,8.242589
16.0,16,8.255594
12.0,12,8.262176
14.0,14,8.271382
14.0,14,8.28054
12.0,12,8.287817
42.0,42,8.309902
12.0,12,8.318394
58.0,58,8.351251
29.0,29,8.367823
17.0,17,8.377484
16.0,16,8.391417
20.0,20,8.404399
15.0,15,8.418696
20.0,20,8.430033
43.0,43,8.453651
30.0,30,10.217055
36.0,36,10.262298
37.0,37,10.292687
30.0,30,10.325351
26.0,26,10.357002
28.0,28,10.390465
31.0,31,10.433605
20.0,20,10.478284
36.0,36,10.589417
21.0,21,10.63027
41.0,41,10.689514
17.0,17,10.706279
45.0,45,10.749877
64.0,64,10.806862
32.0,32,10.863191
23.0,23,10.954036
18.0,18,10.994719
42.0,42,11.089851
24.0,24,11.114925
42.0,42,11.198406
32.0,32,11.251512
40.0,40,11.336334
40.0,40,11.397499
16.0,16,11.430899
16.0,16,11.452036
28.0,28,11.502226
20.0,20,11.544278
29.0,29,11.589579
43.0,43,11.650013
42.0,42,11.70261
15.0,15,11.716187
21.0,21,11.73587
20.0,20,11.761275
11.0,11,11.775841
24.0,24,11.812514
13.0,13,11.831132
73.0,73,11.906296
48.0,48,11.963871
24.0,24,12.008656
22.0,22,12.039749
27.0,27,12.07895
39.0,39,12.120024
44.0,44,12.158801
22.0,22,12.189839
13.0,13,12.209876
16.0,16,12.22479
28.0,28,12.263932
34.0,34,12.294175
30.0,30,12.332157
73.0,73,12.414557
12.0,12,12.421206
12.0,12,12.431017
15.0,15,12.44555
12.0,12,12.461045
33.0,33,12.510031
15.0,15,12.534812
20.0,20,12.559828
46.0,46,12.62662
20.0,20,12.659055
33.0,33,12.70506
28.0,28,12.734239
13.0,13,12.745388
41.0,41,12.772459
25.0,25,12.78496
12.0,12,12.791975
45.0,45,12.831886
33.0,33,12.85583
16.0,16,12.863286
13.0,13,12.878051
14.0,14,12.897648
11.0,11,12.91092
22.0,22,12.943019
27.0,27,12.965364
70.0,70,14.305848
16.0,16,14.319938
24.0,24,14.336655
59.0,59,14.373678
15.0,15,14.382145
69.0,69,14.426359
16.0,16,14.436416
23.0,23,14.449187
29.0,29,14.4649
22.0,22,14.479308
17.0,17,14.490076
25.0,25,14.503588
20.0,20,14.51653
45.0,45,14.548001
23.0,23,14.56285
103.0,103,14.624748
12.0,12,14.63111
38.0,38,14.654058
24.0,24,14.667791
74.0,74,14.716999
18.0,18,14.727702
55.0,55,14.764458
17.0,17,14.775898
42.0,42,14.807271
14.0,14,14.816685
18.0,18,14.829013
14.0,14,14.842492
44.0,44,14.881961
52.0,52,14.950011
38.0,38,15.011206
41.0,41,15.05544
28.0,28,15.071622
95.0,95,15.136781
53.0,53,15.187383
32.0,32,15.235121
23.0,23,15.265181
50.0,50,15.329697
31.0,31,15.367273
12.0,12,15.379719
25.0,25,15.403138
18.0,18,15.413478
41.0,41,15.441779
32.0,32,15.475903
32.0,32,15.50486
31.0,31,15.558496
49.0,49,15.62486
23.0,23,15.701712
29.0,29,15.855791
26.0,26,15.924193
72.0,72,16.041008
22.0,22,16.071599
20.0,20,16.107139
44.0,44,16.310277
30.0,30,16.382669
78.0,78,16.496256
22.0,22,16.554563
21.0,21,16.604271
17.0,17,16.64307
15.0,15,16.6682
41.0,41,18.766174
32.0,32,18.817746
23.0,23,18.854205
17.0,17,18.885697
48.0,48,18.949026
82.0,82,19.033134
24.0,24,19.051669
32.0,32,19.079492
22.0,22,19.095997
46.0,46,19.128309
56.0,56,19.164732
50.0,50,19.192445
43.0,43,19.220408
43.0,43,19.263988
28.0,28,19.283889
23.0,23,19.299306
16.0,16,19.316908
33.0,33,19.337772
172.0,172,19.503164
36.0,36,19.552844
30.0,30,19.59839
44.0,44,19.648027
17.0,17,19.67101
69.0,69,19.746125
54.0,54,19.812147
55.0,55,19.869128
46.0,46,19.936998
45.0,45,19.980416
29.0,29,20.008717
33.0,33,20.033624
69.0,69,20.088321
39.0,39,20.124744
69.0,69,20.172428
14.0,14,20.190594
21.0,21,20.202169
46.0,46,20.238748
32.0,32,20.260653
20.0,20,20.282595
33.0,33,20.315685
46.0,46,20.361274
42.0,42,20.406863
65.0,65,20.469803
13.0,13,20.483956
28.0,28,20.504203
70.0,70,20.548385
78.0,78,20.612
50.0,50,20.648701
57.0,57,21.584081
20.0,20,21.607855
38.0,38,21.627419
45.0,45,21.669845
14.0,14,21.692087
39.0,39,21.718169
42.0,42,21.757944
80.0,80,21.816452
27.0,27,21.844972
59.0,59,21.891953
28.0,28,21.908767
70.0,70,21.95292
27.0,27,21.981197
23.0,23,22.006375
41.0,41,22.032451
23.0,23,22.048802
48.0,48,22.079751
42.0,42,22.102462
31.0,31,22.121768
44.0,44,22.149173
79.0,79,22.202171
