#{"t_start": 1747234238.8837368, "env_id": "None"}
r,l,t
33.0,33,0.079359
22.0,22,0.110557
17.0,17,0.125211
60.0,60,0.218816
24.0,24,0.243144
16.0,16,0.264227
17.0,17,0.287063
29.0,29,0.333799
35.0,35,0.378284
11.0,11,0.386283
15.0,15,0.403883
25.0,25,0.42908
13.0,13,0.446472
19.0,19,0.4763
15.0,15,0.501454
12.0,12,0.516015
21.0,21,0.546329
11.0,11,0.563593
20.0,20,0.590774
20.0,20,0.616429
33.0,33,0.658244
32.0,32,0.688093
14.0,14,0.698499
13.0,13,0.715963
33.0,33,0.743136
26.0,26,0.759337
12.0,12,0.765792
13.0,13,0.776322
20.0,20,0.796744
11.0,11,0.814421
9.0,9,0.829378
35.0,35,0.896342
23.0,23,0.941453
14.0,14,0.963782
10.0,10,0.97488
41.0,41,1.012372
44.0,44,1.034928
16.0,16,1.045163
20.0,20,1.058079
13.0,13,1.069231
14.0,14,1.079943
31.0,31,1.098123
19.0,19,1.111694
18.0,18,1.121154
34.0,34,1.143999
21.0,21,1.161356
30.0,30,1.229277
27.0,27,1.263627
23.0,23,1.287719
14.0,14,1.297118
13.0,13,1.305263
9.0,9,1.311727
22.0,22,1.329814
25.0,25,1.352551
24.0,24,1.369734
58.0,58,1.399547
33.0,33,1.416708
23.0,23,1.431824
16.0,16,1.448041
20.0,20,1.463778
10.0,10,1.468351
79.0,79,1.527951
43.0,43,1.574195
23.0,23,1.594748
34.0,34,1.616688
15.0,15,1.641742
13.0,13,1.6728
32.0,32,1.71585
23.0,23,1.741753
18.0,18,1.752882
12.0,12,1.778579
19.0,19,1.807042
11.0,11,1.826534
32.0,32,1.872631
16.0,16,1.899039
33.0,33,1.937901
17.0,17,1.960603
15.0,15,1.981612
10.0,10,1.994286
12.0,12,2.012009
13.0,13,2.034371
13.0,13,2.05668
9.0,9,2.06846
10.0,10,2.083573
24.0,24,2.120387
10.0,10,2.132687
41.0,41,2.184019
31.0,31,2.218787
30.0,30,2.253273
18.0,18,2.29376
16.0,16,2.315703
15.0,15,2.338924
31.0,31,3.9448
36.0,36,3.969761
49.0,49,3.999578
28.0,28,4.015337
38.0,38,4.037087
17.0,17,4.048428
27.0,27,4.063767
26.0,26,4.078854
13.0,13,4.085443
13.0,13,4.092792
18.0,18,4.102679
21.0,21,4.115933
39.0,39,4.137322
12.0,12,4.145226
12.0,12,4.152665
55.0,55,4.181975
30.0,30,4.200098
27.0,27,4.225664
43.0,43,4.295758
39.0,39,4.340394
29.0,29,4.39922
13.0,13,4.422713
22.0,22,4.44926
13.0,13,4.464938
20.0,20,4.480758
30.0,30,4.50577
25.0,25,4.519015
11.0,11,4.526913
24.0,24,4.539781
46.0,46,4.564174
44.0,44,4.586894
40.0,40,4.608734
10.0,10,4.614374
67.0,67,4.652238
