#{"t_start": 1747226506.2564619, "env_id": "None"}
r,l,t
21.0,21,0.053322
11.0,11,0.086782
12.0,12,0.107438
14.0,14,0.122311
63.0,63,0.204093
76.0,76,0.324225
20.0,20,0.3703
14.0,14,0.384992
15.0,15,0.397722
14.0,14,0.409667
37.0,37,0.443328
18.0,18,0.459588
15.0,15,0.471781
13.0,13,0.477335
20.0,20,0.495021
11.0,11,0.504836
22.0,22,0.526792
29.0,29,0.544271
17.0,17,0.559623
21.0,21,0.576245
18.0,18,0.593808
18.0,18,0.605012
26.0,26,0.626426
22.0,22,0.644756
14.0,14,0.6594
17.0,17,0.67728
20.0,20,0.694055
15.0,15,0.708596
12.0,12,0.710721
22.0,22,0.736117
21.0,21,0.755747
30.0,30,0.788015
19.0,19,0.807902
47.0,47,0.858412
26.0,26,0.881823
10.0,10,0.888202
26.0,26,0.941762
41.0,41,0.990852
14.0,14,1.007438
21.0,21,1.027071
30.0,30,1.058268
15.0,15,1.072387
12.0,12,1.07777
31.0,31,1.109862
14.0,14,1.124944
21.0,21,1.144524
13.0,13,1.155859
17.0,17,1.176542
51.0,51,1.222111
11.0,11,1.225149
26.0,26,1.243048
32.0,32,1.271955
26.0,26,1.294225
10.0,10,1.294225
14.0,14,1.311957
20.0,20,1.325242
14.0,14,1.344099
16.0,16,1.357066
10.0,10,1.361394
16.0,16,1.377802
22.0,22,1.392737
21.0,21,1.405602
14.0,14,1.405602
29.0,29,1.436822
17.0,17,1.438524
12.0,12,1.461
24.0,24,1.475162
15.0,15,1.475162
12.0,12,1.494401
21.0,21,1.508663
12.0,12,1.510792
13.0,13,1.525493
21.0,21,1.541184
20.0,20,1.559732
21.0,21,1.576018
18.0,18,1.588398
42.0,42,1.610997
37.0,37,1.641513
14.0,14,1.644709
17.0,17,1.661344
16.0,16,1.677211
14.0,14,1.68691
11.0,11,1.688849
39.0,39,1.728868
48.0,48,1.760873
40.0,40,1.793616
28.0,28,1.811357
13.0,13,1.826536
25.0,25,1.84178
17.0,17,1.858162
57.0,57,1.894042
9.0,9,1.905695
23.0,23,1.926367
19.0,19,3.160889
12.0,12,3.160889
36.0,36,3.195962
13.0,13,3.212677
22.0,22,3.227452
