#{"t_start": 1747225536.1768625, "env_id": "None"}
r,l,t
18.0,18,0.038156
21.0,21,0.060571
35.0,35,0.101275
20.0,20,0.120163
14.0,14,0.136323
15.0,15,0.145533
48.0,48,0.181286
17.0,17,0.192267
18.0,18,0.204689
44.0,44,0.233196
9.0,9,0.245476
13.0,13,0.258074
20.0,20,0.272046
73.0,73,0.319798
13.0,13,0.335143
36.0,36,0.357795
24.0,24,0.37279
16.0,16,0.385675
25.0,25,0.406373
24.0,24,0.423018
23.0,23,0.436964
30.0,30,0.45537
20.0,20,0.467587
24.0,24,0.483778
15.0,15,0.492008
24.0,24,0.506596
22.0,22,0.521465
12.0,12,0.527582
45.0,45,0.569264
33.0,33,0.589683
11.0,11,0.598111
16.0,16,0.606168
19.0,19,0.619565
15.0,15,0.635719
19.0,19,0.651955
14.0,14,0.666985
70.0,70,0.728311
12.0,12,0.735595
11.0,11,0.756011
13.0,13,0.76451
14.0,14,0.774715
26.0,26,0.805901
11.0,11,0.816325
10.0,10,0.823304
23.0,23,0.84005
13.0,13,0.848864
19.0,19,0.861962
12.0,12,0.869486
17.0,17,0.881652
15.0,15,0.893639
25.0,25,0.910312
22.0,22,0.925602
14.0,14,0.938326
12.0,12,0.945635
13.0,13,0.957022
10.0,10,0.962439
48.0,48,0.995878
74.0,74,1.051435
20.0,20,1.065031
26.0,26,1.083802
21.0,21,1.100393
17.0,17,1.1132
14.0,14,1.122884
14.0,14,1.131889
18.0,18,1.144768
30.0,30,1.164237
27.0,27,1.183079
24.0,24,1.19771
14.0,14,1.208642
26.0,26,1.225523
45.0,45,1.255084
16.0,16,1.265857
21.0,21,1.280473
16.0,16,1.289774
43.0,43,1.319636
15.0,15,1.329576
20.0,20,1.343389
28.0,28,1.366856
22.0,22,1.381351
15.0,15,1.391131
29.0,29,1.408119
18.0,18,1.421783
37.0,37,1.443916
27.0,27,1.461935
17.0,17,1.477408
16.0,16,1.488674
59.0,59,1.529011
24.0,24,1.559484
